"Step","SimpleQMIX_CNN_baseline_blox_schedule__20241212_203031 - lr","SimpleQMIX_CNN_baseline_blox_schedule__20241212_203031 - lr__MIN","SimpleQMIX_CNN_baseline_blox_schedule__20241212_203031 - lr__MAX"
"92","0.000002189","0.000002189","0.000002189"
"181","0.000002178055","0.000002178055","0.000002178055"
"276","0.000002167164725","0.000002167164725","0.000002167164725"
"378","0.000002156328901375","0.000002156328901375","0.000002156328901375"
"482","0.000002145547256868125","0.000002145547256868125","0.000002145547256868125"
"568","0.0000021348195205837844","0.0000021348195205837844","0.0000021348195205837844"
"660","0.0000021241454229808654","0.0000021241454229808654","0.0000021241454229808654"
"752","0.000002113524695865961","0.000002113524695865961","0.000002113524695865961"
"844","0.000002102957072386631","0.000002102957072386631","0.000002102957072386631"
"932","0.0000020924422870246976","0.0000020924422870246976","0.0000020924422870246976"
"1034","0.0000020819800755895743","0.0000020819800755895743","0.0000020819800755895743"
"1136","0.0000020715701752116262","0.0000020715701752116262","0.0000020715701752116262"
"1228","0.0000020612123243355683","0.0000020612123243355683","0.0000020612123243355683"
"1330","0.0000020509062627138906","0.0000020509062627138906","0.0000020509062627138906"
"1418","0.000002040651731400321","0.000002040651731400321","0.000002040651731400321"
"1504","0.0000020304484727433194","0.0000020304484727433194","0.0000020304484727433194"
"1769","0.000002020296230379603","0.000002020296230379603","0.000002020296230379603"
"1936","0.000002010194749227705","0.000002010194749227705","0.000002010194749227705"
"2225","0.0000020001437754815664","0.0000020001437754815664","0.0000020001437754815664"
"2319","0.0000019901430566041587","0.0000019901430566041587","0.0000019901430566041587"
"2486","0.000001980192341321138","0.000001980192341321138","0.000001980192341321138"
"2578","0.0000019702913796145323","0.0000019702913796145323","0.0000019702913796145323"
"2678","0.0000019604399227164595","0.0000019604399227164595","0.0000019604399227164595"
"2772","0.0000019506377231028774","0.0000019506377231028774","0.0000019506377231028774"
"2870","0.000001940884534487363","0.000001940884534487363","0.000001940884534487363"
"2964","0.0000019311801118149264","0.0000019311801118149264","0.0000019311801118149264"
"3056","0.000001921524211255852","0.000001921524211255852","0.000001921524211255852"
"3158","0.0000019119165901995725","0.0000019119165901995725","0.0000019119165901995725"
"3256","0.0000019023570072485747","0.0000019023570072485747","0.0000019023570072485747"
"3348","0.000001892845222212332","0.000001892845222212332","0.000001892845222212332"
"3512","0.0000018833809961012703","0.0000018833809961012703","0.0000018833809961012703"
"3604","0.000001873964091120764","0.000001873964091120764","0.000001873964091120764"
"3841","0.0000018645942706651602","0.0000018645942706651602","0.0000018645942706651602"
"3947","0.0000018552712993118343","0.0000018552712993118343","0.0000018552712993118343"
"4037","0.0000018459949428152752","0.0000018459949428152752","0.0000018459949428152752"
"4127","0.0000018367649681011987","0.0000018367649681011987","0.0000018367649681011987"
"4219","0.0000018275811432606928","0.0000018275811432606928","0.0000018275811432606928"
"4321","0.0000018184432375443894","0.0000018184432375443894","0.0000018184432375443894"
"4628","0.0000018093510213566675","0.0000018093510213566675","0.0000018093510213566675"
"4732","0.0000018003042662498842","0.0000018003042662498842","0.0000018003042662498842"
"4826","0.0000017913027449186349","0.0000017913027449186349","0.0000017913027449186349"
"4920","0.0000017823462311940417","0.0000017823462311940417","0.0000017823462311940417"
"5022","0.0000017734345000380714","0.0000017734345000380714","0.0000017734345000380714"
"5124","0.0000017645673275378811","0.0000017645673275378811","0.0000017645673275378811"
"5228","0.0000017557444909001917","0.0000017557444909001917","0.0000017557444909001917"
"5535","0.0000017469657684456906","0.0000017469657684456906","0.0000017469657684456906"
"5630","0.000001738230939603462","0.000001738230939603462","0.000001738230939603462"
"5734","0.0000017295397849054448","0.0000017295397849054448","0.0000017295397849054448"
"5838","0.0000017208920859809176","0.0000017208920859809176","0.0000017208920859809176"
"5929","0.000001712287625551013","0.000001712287625551013","0.000001712287625551013"
"6031","0.0000017037261874232578","0.0000017037261874232578","0.0000017037261874232578"
"6135","0.0000016952075564861416","0.0000016952075564861416","0.0000016952075564861416"
"6269","0.0000016867315187037108","0.0000016867315187037108","0.0000016867315187037108"
"6373","0.0000016782978611101923","0.0000016782978611101923","0.0000016782978611101923"
"6473","0.0000016699063718046413","0.0000016699063718046413","0.0000016699063718046413"
"6624","0.000001661556839945618","0.000001661556839945618","0.000001661556839945618"
"6931","0.0000016532490557458899","0.0000016532490557458899","0.0000016532490557458899"
"7142","0.0000016449828104671605","0.0000016449828104671605","0.0000016449828104671605"
"7246","0.0000016367578964148247","0.0000016367578964148247","0.0000016367578964148247"
"7341","0.0000016285741069327506","0.0000016285741069327506","0.0000016285741069327506"
"7445","0.0000016204312363980868","0.0000016204312363980868","0.0000016204312363980868"
"7547","0.0000016123290802160964","0.0000016123290802160964","0.0000016123290802160964"
"7641","0.0000016042674348150158","0.0000016042674348150158","0.0000016042674348150158"
"7729","0.0000015962460976409406","0.0000015962460976409406","0.0000015962460976409406"
"7817","0.000001588264867152736","0.000001588264867152736","0.000001588264867152736"
"7919","0.0000015803235428169724","0.0000015803235428169724","0.0000015803235428169724"
"8226","0.0000015724219251028876","0.0000015724219251028876","0.0000015724219251028876"
"8326","0.0000015645598154773732","0.0000015645598154773732","0.0000015645598154773732"
"8426","0.0000015567370163999864","0.0000015567370163999864","0.0000015567370163999864"
"8733","0.0000015489533313179865","0.0000015489533313179865","0.0000015489533313179865"
"8824","0.0000015412085646613965","0.0000015412085646613965","0.0000015412085646613965"
"8916","0.0000015335025218380895","0.0000015335025218380895","0.0000015335025218380895"
