"Step","SimpleQMIX_everything_varying_blox_gamma0.995_lr0.001_hidden64_target20__20241215_150207 - score","SimpleQMIX_everything_varying_blox_gamma0.995_lr0.001_hidden64_target20__20241215_150207 - score__MIN","SimpleQMIX_everything_varying_blox_gamma0.995_lr0.001_hidden64_target20__20241215_150207 - score__MAX"
"306","4","4","4"
"613","13","13","13"
"920","13","13","13"
"1227","11","11","11"
"1534","10","10","10"
"1841","21","21","21"
"2148","-27","-27","-27"
"2455","14","14","14"
"2762","21","21","21"
"3069","27","27","27"
"3376","10","10","10"
"3683","18","18","18"
"3990","-27","-27","-27"
"4297","33","33","33"
"4604","-27","-27","-27"
"4911","15","15","15"
"5011","-37","-37","-37"
"5318","-27","-27","-27"
"5625","0","0","0"
"5932","0","0","0"
"6239","12","12","12"
"6546","-35","-35","-35"
"6853","-26","-26","-26"
"7160","-30","-30","-30"
"7270","-37","-37","-37"
"7577","-35","-35","-35"
"7884","-27","-27","-27"
"8191","29","29","29"
"8498","0","0","0"
"8592","-29","-29","-29"
"8899","16","16","16"
"9073","-28","-28","-28"
"9380","-21","-21","-21"
"9687","-9","-9","-9"
"9994","-19","-19","-19"
"10096","-37","-37","-37"
"10403","0","0","0"
"10710","-26","-26","-26"
"11017","-26","-26","-26"
"11324","-12","-12","-12"
"11631","17","17","17"
"11938","-20","-20","-20"
"12050","-37","-37","-37"
"12357","-27","-27","-27"
"12487","-37","-37","-37"
"12794","-27","-27","-27"
"13101","-29","-29","-29"
"13408","-20","-20","-20"
"13715","24","24","24"
"14022","20","20","20"
"14329","-20","-20","-20"
"14636","-4","-4","-4"
"14743","-37","-37","-37"
"15050","-22","-22","-22"
"15152","-37","-37","-37"
"15459","0","0","0"
"15766","-29","-29","-29"
"16073","-24","-24","-24"
"16380","9","9","9"
"16516","-37","-37","-37"
"16823","0","0","0"
"17130","-27","-27","-27"
"17437","-27","-27","-27"
"17744","-25","-25","-25"
"18051","-25","-25","-25"
"18358","-27","-27","-27"
"18462","-30","-30","-30"
"18769","-16","-16","-16"
"18860","-31","-31","-31"
"19167","-17","-17","-17"
"19259","-37","-37","-37"
"19351","-37","-37","-37"
"19658","-24","-24","-24"
"19965","-12","-12","-12"
"20272","-26","-26","-26"
"20579","-29","-29","-29"
"20674","-37","-37","-37"
"20775","-37","-37","-37"
"21082","-26","-26","-26"
"21389","-24","-24","-24"
"21696","1","1","1"
"21823","-26","-26","-26"
"22130","-35","-35","-35"
"22437","-36","-36","-36"
"22611","-37","-37","-37"
"22918","-27","-27","-27"
"23026","-32","-32","-32"
"23333","-27","-27","-27"
"23496","-30","-30","-30"
"23803","-4","-4","-4"
"24110","4","4","4"
"24417","-27","-27","-27"
"24533","-29","-29","-29"
"24840","-12","-12","-12"
"25147","-6","-6","-6"
"25454","-20","-20","-20"
"25761","-25","-25","-25"
"26068","10","10","10"
"26375","-26","-26","-26"
"26682","-6","-6","-6"
