"Step","SimpleQMIX_everything_later_blox_gamma0.995_lr0.001_hidden64_target20__20241215_143440 - score","SimpleQMIX_everything_later_blox_gamma0.995_lr0.001_hidden64_target20__20241215_143440 - score__MIN","SimpleQMIX_everything_later_blox_gamma0.995_lr0.001_hidden64_target20__20241215_143440 - score__MAX"
"305","13","13","13"
"611","0","0","0"
"917","11","11","11"
"1223","12","12","12"
"1529","13","13","13"
"1835","6","6","6"
"2141","6","6","6"
"2447","11","11","11"
"2753","8","8","8"
"3059","-2","-2","-2"
"3365","10","10","10"
"3671","12","12","12"
"3977","9","9","9"
"4283","11","11","11"
"4589","6","6","6"
"4895","10","10","10"
"5201","9","9","9"
"5507","7","7","7"
"5813","6","6","6"
"6119","1","1","1"
"6425","9","9","9"
"6731","5","5","5"
"7037","11","11","11"
"7343","12","12","12"
"7649","14","14","14"
"7955","10","10","10"
"8261","13","13","13"
"8567","0","0","0"
"8873","6","6","6"
"9179","9","9","9"
"9485","9","9","9"
"9791","1","1","1"
"10097","12","12","12"
"10403","12","12","12"
"10709","4","4","4"
"11015","4","4","4"
"11321","11","11","11"
"11627","-1","-1","-1"
"11933","24","24","24"
"12239","19","19","19"
"12545","8","8","8"
"12851","17","17","17"
"13157","12","12","12"
"13463","11","11","11"
"13769","15","15","15"
"14075","15","15","15"
"14381","9","9","9"
"14687","13","13","13"
"14993","14","14","14"
"15299","9","9","9"
"15605","10","10","10"
"15911","6","6","6"
"16217","11","11","11"
"16523","24","24","24"
"16829","20","20","20"
"17135","15","15","15"
"17441","11","11","11"
"17747","6","6","6"
"18053","12","12","12"
"18359","17","17","17"
"18665","11","11","11"
"18971","27","27","27"
"19277","17","17","17"
"19583","15","15","15"
"19889","22","22","22"
"20195","16","16","16"
"20501","11","11","11"
"20807","27","27","27"
"21113","10","10","10"
"21419","13","13","13"
"21725","14","14","14"
"22031","14","14","14"
"22337","12","12","12"
"22643","16","16","16"
"22949","22","22","22"
"23255","11","11","11"
"23561","13","13","13"
"23867","13","13","13"
"24173","11","11","11"
"24479","18","18","18"
"24785","13","13","13"
"25091","12","12","12"
"25397","17","17","17"
"25703","20","20","20"
"26009","21","21","21"
"26315","11","11","11"
"26621","22","22","22"
"26927","23","23","23"
"27233","20","20","20"
"27539","11","11","11"
"27845","18","18","18"
"28151","11","11","11"
"28457","13","13","13"
"28763","14","14","14"
"29069","11","11","11"
"29375","13","13","13"
"29681","11","11","11"
"29987","10","10","10"
"30293","15","15","15"
"30599","14","14","14"
