"Step","SimpleQMIX_everything_varying_blox_gamma0.995_lr0.001_hidden64_target10__20241215_125937 - score","SimpleQMIX_everything_varying_blox_gamma0.995_lr0.001_hidden64_target10__20241215_125937 - score__MIN","SimpleQMIX_everything_varying_blox_gamma0.995_lr0.001_hidden64_target10__20241215_125937 - score__MAX"
"306","0","0","0"
"613","0","0","0"
"920","0","0","0"
"1227","0","0","0"
"1534","0","0","0"
"1841","0","0","0"
"2148","0","0","0"
"2252","-37","-37","-37"
"2559","0","0","0"
"2866","0","0","0"
"3173","0","0","0"
"3480","0","0","0"
"3787","0","0","0"
"4094","0","0","0"
"4401","0","0","0"
"4708","0","0","0"
"5015","0","0","0"
"5322","0","0","0"
"5629","0","0","0"
"5936","-27","-27","-27"
"6243","-4","-4","-4"
"6550","-27","-27","-27"
"6857","-25","-25","-25"
"7164","-2","-2","-2"
"7471","-27","-27","-27"
"7577","-37","-37","-37"
"7884","-27","-27","-27"
"8191","0","0","0"
"8297","-37","-37","-37"
"8604","-28","-28","-28"
"8911","-35","-35","-35"
"9011","-37","-37","-37"
"9105","-37","-37","-37"
"9412","-27","-27","-27"
"9515","-37","-37","-37"
"9822","-24","-24","-24"
"10129","-27","-27","-27"
"10221","-37","-37","-37"
"10528","-27","-27","-27"
"10835","-27","-27","-27"
"11142","-27","-27","-27"
"11234","-37","-37","-37"
"11541","0","0","0"
"11848","-26","-26","-26"
"12155","-25","-25","-25"
"12269","-37","-37","-37"
"12576","-35","-35","-35"
"12883","-36","-36","-36"
"13190","0","0","0"
"13497","-30","-30","-30"
"13586","-37","-37","-37"
"13893","-8","-8","-8"
"13991","-37","-37","-37"
"14298","-27","-27","-27"
"14605","-26","-26","-26"
"14912","-27","-27","-27"
"15004","-37","-37","-37"
"15311","-25","-25","-25"
"15618","-27","-27","-27"
"15925","-26","-26","-26"
"16232","-26","-26","-26"
"16539","-27","-27","-27"
"16846","0","0","0"
"17153","-32","-32","-32"
"17460","-29","-29","-29"
"17767","-24","-24","-24"
"18074","-35","-35","-35"
"18381","-27","-27","-27"
"18688","-27","-27","-27"
"18779","-37","-37","-37"
"19086","-27","-27","-27"
"19393","-27","-27","-27"
"19700","-35","-35","-35"
"20007","-24","-24","-24"
"20314","-27","-27","-27"
"20621","-10","-10","-10"
"20928","-36","-36","-36"
"21235","-4","-4","-4"
"21337","-37","-37","-37"
"21644","-26","-26","-26"
"21951","-27","-27","-27"
"22258","-27","-27","-27"
"22565","-2","-2","-2"
"22872","-35","-35","-35"
"23179","-26","-26","-26"
"23486","0","0","0"
"23793","-27","-27","-27"
"24100","-26","-26","-26"
"24407","-11","-11","-11"
"24714","-27","-27","-27"
"25021","0","0","0"
"25328","-18","-18","-18"
"25635","-27","-27","-27"
"25942","0","0","0"
"26249","-25","-25","-25"
"26556","0","0","0"
"26863","-27","-27","-27"
"27170","-23","-23","-23"
"27477","-27","-27","-27"
"27784","-34","-34","-34"
