"Step","SimpleQMIX_everything_later_blox_gamma0.995_lr0.001_hidden64_target10__20241215_123210 - score","SimpleQMIX_everything_later_blox_gamma0.995_lr0.001_hidden64_target10__20241215_123210 - score__MIN","SimpleQMIX_everything_later_blox_gamma0.995_lr0.001_hidden64_target10__20241215_123210 - score__MAX"
"305","0","0","0"
"611","0","0","0"
"917","0","0","0"
"1223","0","0","0"
"1529","0","0","0"
"1835","0","0","0"
"2141","0","0","0"
"2447","-1","-1","-1"
"2753","0","0","0"
"3059","-2","-2","-2"
"3365","10","10","10"
"3671","4","4","4"
"3977","13","13","13"
"4283","0","0","0"
"4589","0","0","0"
"4895","-3","-3","-3"
"5201","-1","-1","-1"
"5507","5","5","5"
"5813","0","0","0"
"6119","0","0","0"
"6425","-2","-2","-2"
"6731","0","0","0"
"7037","0","0","0"
"7343","0","0","0"
"7649","1","1","1"
"7955","0","0","0"
"8261","0","0","0"
"8567","0","0","0"
"8873","4","4","4"
"9179","0","0","0"
"9485","0","0","0"
"9791","1","1","1"
"10097","-8","-8","-8"
"10403","0","0","0"
"10709","0","0","0"
"11015","0","0","0"
"11321","0","0","0"
"11627","0","0","0"
"11933","0","0","0"
"12239","0","0","0"
"12545","0","0","0"
"12851","0","0","0"
"13157","1","1","1"
"13463","-1","-1","-1"
"13769","-6","-6","-6"
"14075","0","0","0"
"14381","0","0","0"
"14687","0","0","0"
"14993","5","5","5"
"15299","0","0","0"
"15605","4","4","4"
"15911","0","0","0"
"16217","0","0","0"
"16523","0","0","0"
"16829","6","6","6"
"17135","-3","-3","-3"
"17441","0","0","0"
"17747","1","1","1"
"18053","-7","-7","-7"
"18359","0","0","0"
"18665","0","0","0"
"18971","0","0","0"
"19277","5","5","5"
"19583","-4","-4","-4"
"19889","0","0","0"
"20195","-1","-1","-1"
"20501","0","0","0"
"20807","0","0","0"
"21113","0","0","0"
"21419","0","0","0"
"21725","0","0","0"
"22031","0","0","0"
"22337","0","0","0"
"22643","0","0","0"
"22949","0","0","0"
"23255","5","5","5"
"23561","0","0","0"
"23867","0","0","0"
"24173","-12","-12","-12"
"24479","0","0","0"
"24785","-3","-3","-3"
"25091","-5","-5","-5"
"25397","0","0","0"
"25703","0","0","0"
"26009","0","0","0"
"26315","0","0","0"
"26621","0","0","0"
"26927","0","0","0"
"27233","0","0","0"
"27539","0","0","0"
"27845","-6","-6","-6"
"28151","0","0","0"
"28457","-6","-6","-6"
"28763","0","0","0"
"29069","0","0","0"
"29375","-3","-3","-3"
"29681","0","0","0"
"29987","-2","-2","-2"
"30293","-1","-1","-1"
"30599","0","0","0"
