"Step","SimpleQMIX_everything_random_blox_gamma0.995_lr0.001_hidden64_target10__20241215_113921 - score","SimpleQMIX_everything_random_blox_gamma0.995_lr0.001_hidden64_target10__20241215_113921 - score__MIN","SimpleQMIX_everything_random_blox_gamma0.995_lr0.001_hidden64_target10__20241215_113921 - score__MAX"
"274","0","0","0"
"580","0","0","0"
"886","0","0","0"
"1192","0","0","0"
"1498","0","0","0"
"1804","-3","-3","-3"
"2110","8","8","8"
"2416","12","12","12"
"2722","4","4","4"
"3028","8","8","8"
"3334","0","0","0"
"3640","5","5","5"
"3946","-4","-4","-4"
"4252","0","0","0"
"4558","-8","-8","-8"
"4864","-4","-4","-4"
"5170","0","0","0"
"5476","6","6","6"
"5782","2","2","2"
"6088","1","1","1"
"6394","0","0","0"
"6700","-4","-4","-4"
"7006","-6","-6","-6"
"7312","0","0","0"
"7618","0","0","0"
"7924","0","0","0"
"8230","-3","-3","-3"
"8536","0","0","0"
"8842","0","0","0"
"9148","0","0","0"
"9454","0","0","0"
"9760","0","0","0"
"10066","0","0","0"
"10372","0","0","0"
"10678","-5","-5","-5"
"10984","0","0","0"
"11290","0","0","0"
"11596","0","0","0"
"11902","0","0","0"
"12208","1","1","1"
"12514","-1","-1","-1"
"12820","0","0","0"
"13126","0","0","0"
"13432","0","0","0"
"13738","-3","-3","-3"
"14044","0","0","0"
"14350","0","0","0"
"14656","0","0","0"
"14962","0","0","0"
"15268","0","0","0"
"15574","0","0","0"
"15880","-4","-4","-4"
"16186","0","0","0"
"16492","-1","-1","-1"
"16798","0","0","0"
"17104","0","0","0"
"17410","0","0","0"
"17716","12","12","12"
"18022","0","0","0"
"18328","0","0","0"
"18634","0","0","0"
"18940","0","0","0"
"19246","1","1","1"
"19552","0","0","0"
"19858","-3","-3","-3"
"20164","-2","-2","-2"
"20470","4","4","4"
"20776","0","0","0"
"21082","0","0","0"
"21388","-3","-3","-3"
"21694","2","2","2"
"22000","9","9","9"
"22306","0","0","0"
"22612","15","15","15"
"22918","-3","-3","-3"
"23224","-5","-5","-5"
"23530","0","0","0"
"23836","0","0","0"
"24142","0","0","0"
"24448","0","0","0"
"24754","0","0","0"
"25060","0","0","0"
"25366","0","0","0"
"25672","0","0","0"
"25978","2","2","2"
"26284","-1","-1","-1"
"26590","0","0","0"
"26896","0","0","0"
"27202","0","0","0"
"27508","0","0","0"
"27814","-7","-7","-7"
"28120","0","0","0"
"28426","0","0","0"
"28732","0","0","0"
"29038","0","0","0"
"29344","-1","-1","-1"
"29650","-18","-18","-18"
"29956","0","0","0"
"30262","0","0","0"
"30568","0","0","0"
"30874","0","0","0"
"31180","-14","-14","-14"
"31486","0","0","0"
"31792","1","1","1"
"32098","0","0","0"
"32404","3","3","3"
"32710","5","5","5"
"33016","2","2","2"
"33322","0","0","0"
"33628","0","0","0"
"33934","0","0","0"
"34240","0","0","0"
"34546","0","0","0"
"34852","0","0","0"
"35158","1","1","1"
"35464","0","0","0"
"35770","0","0","0"
"36076","-3","-3","-3"
"36382","0","0","0"
"36688","0","0","0"
"36994","2","2","2"
"37300","-5","-5","-5"
"37606","0","0","0"
"37912","-2","-2","-2"
"38218","0","0","0"
"38524","0","0","0"
"38830","-4","-4","-4"
"39136","1","1","1"
"39442","-4","-4","-4"
"39748","0","0","0"
"40054","0","0","0"
"40360","0","0","0"
"40666","0","0","0"
"40972","0","0","0"
"41278","0","0","0"
"41584","2","2","2"
"41890","0","0","0"
"42196","0","0","0"
"42502","0","0","0"
"42808","0","0","0"
"43114","0","0","0"
"43420","0","0","0"
"43726","-5","-5","-5"
"44032","0","0","0"
"44338","-1","-1","-1"
"44644","-5","-5","-5"
"44950","-15","-15","-15"
"45256","5","5","5"
"45562","0","0","0"
"45868","0","0","0"
"46174","4","4","4"
"46480","4","4","4"
"46786","1","1","1"
"47092","0","0","0"
"47398","0","0","0"
"47704","10","10","10"
"48010","6","6","6"
"48316","3","3","3"
"48622","5","5","5"
"48928","5","5","5"
"49234","2","2","2"
"49540","8","8","8"
"49846","0","0","0"
"50152","-4","-4","-4"
"50458","12","12","12"
"50764","0","0","0"
"51070","6","6","6"
"51376","3","3","3"
"51682","1","1","1"
"51988","2","2","2"
"52294","3","3","3"
"52600","0","0","0"
"52906","0","0","0"
"53212","0","0","0"
"53518","-1","-1","-1"
"53824","-8","-8","-8"
"54130","0","0","0"
"54436","-2","-2","-2"
"54742","-1","-1","-1"
"55048","0","0","0"
"55354","0","0","0"
"55660","0","0","0"
"55966","0","0","0"
"56272","0","0","0"
"56578","-2","-2","-2"
"56884","0","0","0"
"57190","0","0","0"
"57496","0","0","0"
"57802","0","0","0"
"58108","0","0","0"
"58414","0","0","0"
"58720","0","0","0"
"59026","0","0","0"
"59332","-2","-2","-2"
"59638","0","0","0"
"59944","0","0","0"
"60250","0","0","0"
"60556","0","0","0"
"60862","1","1","1"
"61168","-12","-12","-12"
