"Step","SimpleQMIX_everything_random_blox_gamma0.995_lr0.0001_hidden64_target20__20241215_135808 - score","SimpleQMIX_everything_random_blox_gamma0.995_lr0.0001_hidden64_target20__20241215_135808 - score__MIN","SimpleQMIX_everything_random_blox_gamma0.995_lr0.0001_hidden64_target20__20241215_135808 - score__MAX"
"274","0","0","0"
"580","0","0","0"
"886","-2","-2","-2"
"1192","0","0","0"
"1498","-8","-8","-8"
"1804","0","0","0"
"2110","0","0","0"
"2416","5","5","5"
"2722","-1","-1","-1"
"3028","0","0","0"
"3334","-5","-5","-5"
"3640","-1","-1","-1"
"3946","-13","-13","-13"
"4252","-3","-3","-3"
"4558","0","0","0"
"4864","-6","-6","-6"
"5170","0","0","0"
"5476","0","0","0"
"5782","0","0","0"
"6088","0","0","0"
"6394","0","0","0"
"6700","0","0","0"
"7006","0","0","0"
"7312","6","6","6"
"7618","0","0","0"
"7924","0","0","0"
"8230","6","6","6"
"8536","-1","-1","-1"
"8842","9","9","9"
"9148","-17","-17","-17"
"9454","4","4","4"
"9760","1","1","1"
"10066","2","2","2"
"10372","0","0","0"
"10678","1","1","1"
"10984","1","1","1"
"11290","0","0","0"
"11596","0","0","0"
"11902","0","0","0"
"12208","-2","-2","-2"
"12514","0","0","0"
"12820","0","0","0"
"13126","0","0","0"
"13432","-2","-2","-2"
"13738","-4","-4","-4"
"14044","2","2","2"
"14350","0","0","0"
"14656","0","0","0"
"14962","0","0","0"
"15268","0","0","0"
"15574","0","0","0"
"15880","5","5","5"
"16186","0","0","0"
"16492","0","0","0"
"16798","1","1","1"
"17104","-1","-1","-1"
"17410","4","4","4"
"17716","1","1","1"
"18022","3","3","3"
"18328","1","1","1"
"18634","8","8","8"
"18940","1","1","1"
"19246","0","0","0"
"19552","4","4","4"
"19858","0","0","0"
"20164","1","1","1"
"20470","0","0","0"
"20776","4","4","4"
"21082","6","6","6"
"21388","11","11","11"
"21694","2","2","2"
"22000","1","1","1"
"22306","1","1","1"
"22612","4","4","4"
"22918","5","5","5"
"23224","0","0","0"
"23530","-3","-3","-3"
"23836","0","0","0"
"24142","1","1","1"
"24448","5","5","5"
"24754","1","1","1"
"25060","0","0","0"
"25366","1","1","1"
"25672","11","11","11"
"25978","13","13","13"
"26284","1","1","1"
"26590","3","3","3"
"26896","-9","-9","-9"
"27202","0","0","0"
"27508","0","0","0"
"27814","0","0","0"
"28120","1","1","1"
"28426","0","0","0"
"28732","0","0","0"
"29038","0","0","0"
"29344","0","0","0"
"29650","0","0","0"
"29956","4","4","4"
"30262","5","5","5"
"30568","0","0","0"
"30874","0","0","0"
"31180","0","0","0"
"31486","0","0","0"
"31792","0","0","0"
"32098","11","11","11"
"32404","0","0","0"
"32710","0","0","0"
"33016","12","12","12"
"33322","0","0","0"
"33628","7","7","7"
"33934","8","8","8"
"34240","9","9","9"
"34546","15","15","15"
"34852","0","0","0"
"35158","0","0","0"
"35464","-1","-1","-1"
"35770","0","0","0"
"36076","1","1","1"
"36382","0","0","0"
"36688","2","2","2"
"36994","0","0","0"
"37300","0","0","0"
"37606","0","0","0"
"37912","1","1","1"
"38218","0","0","0"
"38524","0","0","0"
"38830","0","0","0"
"39136","0","0","0"
"39442","0","0","0"
"39748","0","0","0"
"40054","0","0","0"
"40360","9","9","9"
"40666","-2","-2","-2"
"40972","5","5","5"
"41278","-7","-7","-7"
"41584","0","0","0"
"41890","0","0","0"
"42196","0","0","0"
"42502","-1","-1","-1"
"42808","-2","-2","-2"
"43114","-7","-7","-7"
"43420","0","0","0"
"43726","1","1","1"
"44032","0","0","0"
"44338","1","1","1"
"44644","0","0","0"
"44950","4","4","4"
"45256","0","0","0"
"45562","-4","-4","-4"
"45868","0","0","0"
"46174","0","0","0"
"46480","5","5","5"
"46786","9","9","9"
"47092","2","2","2"
"47398","15","15","15"
"47704","-1","-1","-1"
"48010","4","4","4"
"48316","7","7","7"
"48622","1","1","1"
"48928","11","11","11"
"49234","-1","-1","-1"
"49540","-2","-2","-2"
"49846","1","1","1"
"50152","0","0","0"
"50458","-8","-8","-8"
"50764","0","0","0"
"51070","-15","-15","-15"
"51376","12","12","12"
"51682","0","0","0"
"51988","0","0","0"
"52294","21","21","21"
"52600","0","0","0"
"52906","0","0","0"
"53212","6","6","6"
"53518","5","5","5"
"53824","13","13","13"
"54130","0","0","0"
"54436","4","4","4"
"54742","9","9","9"
"55048","0","0","0"
"55354","3","3","3"
"55660","-1","-1","-1"
"55966","7","7","7"
"56272","0","0","0"
"56578","7","7","7"
"56884","5","5","5"
"57190","9","9","9"
"57496","11","11","11"
"57802","8","8","8"
"58108","6","6","6"
"58414","6","6","6"
"58720","3","3","3"
"59026","-1","-1","-1"
"59332","3","3","3"
"59638","5","5","5"
"59944","7","7","7"
"60250","10","10","10"
"60556","8","8","8"
"60862","-9","-9","-9"
"61168","-8","-8","-8"
