"Step","SimpleQMIX_everything_later_blox_gamma0.995_lr0.0001_hidden64_target20__20241215_145716 - blue_player2_reward","SimpleQMIX_everything_later_blox_gamma0.995_lr0.0001_hidden64_target20__20241215_145716 - blue_player2_reward__MIN","SimpleQMIX_everything_later_blox_gamma0.995_lr0.0001_hidden64_target20__20241215_145716 - blue_player2_reward__MAX"
"303","-2.660000000000004","-2.660000000000004","-2.660000000000004"
"609","-6.569999999999987","-6.569999999999987","-6.569999999999987"
"915","0.709999999999997","0.709999999999997","0.709999999999997"
"1221","51.53000000000005","51.53000000000005","51.53000000000005"
"1527","12.629999999999988","12.629999999999988","12.629999999999988"
"1833","3.239999999999998","3.239999999999998","3.239999999999998"
"2139","16.82999999999997","16.82999999999997","16.82999999999997"
"2445","-7.999999999999991","-7.999999999999991","-7.999999999999991"
"2751","-5.330000000000001","-5.330000000000001","-5.330000000000001"
"3057","2.2700000000000014","2.2700000000000014","2.2700000000000014"
"3363","-7.769999999999988","-7.769999999999988","-7.769999999999988"
"3669","7.089999999999999","7.089999999999999","7.089999999999999"
"3975","0.5999999999999991","0.5999999999999991","0.5999999999999991"
"4281","9.440000000000005","9.440000000000005","9.440000000000005"
"4587","-5.059999999999996","-5.059999999999996","-5.059999999999996"
"4893","11.60000000000001","11.60000000000001","11.60000000000001"
"5199","12.899999999999974","12.899999999999974","12.899999999999974"
"5505","-6.749999999999996","-6.749999999999996","-6.749999999999996"
"5811","-2.9300000000000033","-2.9300000000000033","-2.9300000000000033"
"6117","0.2999999999999826","0.2999999999999826","0.2999999999999826"
"6423","22.430000000000028","22.430000000000028","22.430000000000028"
"6729","17.49","17.49","17.49"
"7035","18.68000000000001","18.68000000000001","18.68000000000001"
"7341","-5.309999999999989","-5.309999999999989","-5.309999999999989"
"7647","-6.280000000000037","-6.280000000000037","-6.280000000000037"
"7953","-11.83","-11.83","-11.83"
"8259","-10.580000000000052","-10.580000000000052","-10.580000000000052"
"8565","-17.850000000000012","-17.850000000000012","-17.850000000000012"
"8871","-14.040000000000035","-14.040000000000035","-14.040000000000035"
"9177","-11.70000000000004","-11.70000000000004","-11.70000000000004"
"9483","-16.620000000000065","-16.620000000000065","-16.620000000000065"
"9789","-16.000000000000064","-16.000000000000064","-16.000000000000064"
"10095","-19.640000000000057","-19.640000000000057","-19.640000000000057"
"10401","-1.4900000000000226","-1.4900000000000226","-1.4900000000000226"
"10707","-18.88000000000004","-18.88000000000004","-18.88000000000004"
"11013","-15.790000000000056","-15.790000000000056","-15.790000000000056"
"11319","-23.100000000000012","-23.100000000000012","-23.100000000000012"
"11625","-17.490000000000027","-17.490000000000027","-17.490000000000027"
"11931","-17.02000000000002","-17.02000000000002","-17.02000000000002"
"12237","-16.140000000000008","-16.140000000000008","-16.140000000000008"
"12543","-19.440000000000065","-19.440000000000065","-19.440000000000065"
"12849","-18.660000000000014","-18.660000000000014","-18.660000000000014"
"13155","-20.980000000000008","-20.980000000000008","-20.980000000000008"
"13461","-21.24000000000004","-21.24000000000004","-21.24000000000004"
"13767","-22.590000000000003","-22.590000000000003","-22.590000000000003"
"14073","-17.900000000000038","-17.900000000000038","-17.900000000000038"
"14379","-20.930000000000035","-20.930000000000035","-20.930000000000035"
"14685","-18.200000000000017","-18.200000000000017","-18.200000000000017"
"14991","0.019999999999991747","0.019999999999991747","0.019999999999991747"
"15297","-21.350000000000033","-21.350000000000033","-21.350000000000033"
"15603","-23.940000000000005","-23.940000000000005","-23.940000000000005"
"15909","-21.600000000000016","-21.600000000000016","-21.600000000000016"
"16215","-23.510000000000012","-23.510000000000012","-23.510000000000012"
"16521","-19.340000000000046","-19.340000000000046","-19.340000000000046"
"16827","-19.670000000000044","-19.670000000000044","-19.670000000000044"
"17133","-23.630000000000017","-23.630000000000017","-23.630000000000017"
"17439","-5.2200000000000335","-5.2200000000000335","-5.2200000000000335"
"17745","-21.35000000000003","-21.35000000000003","-21.35000000000003"
"18051","-14.660000000000057","-14.660000000000057","-14.660000000000057"
"18357","-21.760000000000016","-21.760000000000016","-21.760000000000016"
"18663","-20.490000000000016","-20.490000000000016","-20.490000000000016"
"18969","-17.140000000000043","-17.140000000000043","-17.140000000000043"
"19275","-21.48000000000002","-21.48000000000002","-21.48000000000002"
"19581","-21.010000000000023","-21.010000000000023","-21.010000000000023"
"19887","-20.350000000000037","-20.350000000000037","-20.350000000000037"
"20193","-19.96000000000004","-19.96000000000004","-19.96000000000004"
"20499","-21.21000000000001","-21.21000000000001","-21.21000000000001"
"20805","-22.89000000000001","-22.89000000000001","-22.89000000000001"
"21111","-19.120000000000044","-19.120000000000044","-19.120000000000044"
"21417","-23.18999999999998","-23.18999999999998","-23.18999999999998"
"21723","-24.979999999999972","-24.979999999999972","-24.979999999999972"
"22029","-23.99999999999999","-23.99999999999999","-23.99999999999999"
"22335","-24.349999999999984","-24.349999999999984","-24.349999999999984"
"22641","-24.87999999999998","-24.87999999999998","-24.87999999999998"
"22947","-21.98999999999996","-21.98999999999996","-21.98999999999996"
"23253","-21.80999999999998","-21.80999999999998","-21.80999999999998"
"23559","-21.150000000000002","-21.150000000000002","-21.150000000000002"
"23865","-25.88999999999999","-25.88999999999999","-25.88999999999999"
"24171","-21.009999999999998","-21.009999999999998","-21.009999999999998"
"24477","-24.899999999999988","-24.899999999999988","-24.899999999999988"
"24783","-18.069999999999975","-18.069999999999975","-18.069999999999975"
"25089","-25.549999999999937","-25.549999999999937","-25.549999999999937"
"25395","-22.199999999999974","-22.199999999999974","-22.199999999999974"
"25701","-21.060000000000002","-21.060000000000002","-21.060000000000002"
"26007","-9.150000000000036","-9.150000000000036","-9.150000000000036"
"26313","-15.79000000000008","-15.79000000000008","-15.79000000000008"
"26619","-12.820000000000102","-12.820000000000102","-12.820000000000102"
"26925","-13.57000000000009","-13.57000000000009","-13.57000000000009"
