"Step","SimpleQMIX_everything_later_blox_gamma0.995_lr0.0001_hidden64_target20__20241215_145716 - score","SimpleQMIX_everything_later_blox_gamma0.995_lr0.0001_hidden64_target20__20241215_145716 - score__MIN","SimpleQMIX_everything_later_blox_gamma0.995_lr0.0001_hidden64_target20__20241215_145716 - score__MAX"
"305","4","4","4"
"611","0","0","0"
"917","0","0","0"
"1223","4","4","4"
"1529","5","5","5"
"1835","4","4","4"
"2141","6","6","6"
"2447","5","5","5"
"2753","-3","-3","-3"
"3059","12","12","12"
"3365","5","5","5"
"3671","5","5","5"
"3977","5","5","5"
"4283","3","3","3"
"4589","6","6","6"
"4895","0","0","0"
"5201","1","1","1"
"5507","0","0","0"
"5813","4","4","4"
"6119","0","0","0"
"6425","4","4","4"
"6731","0","0","0"
"7037","5","5","5"
"7343","5","5","5"
"7649","5","5","5"
"7955","0","0","0"
"8261","2","2","2"
"8567","1","1","1"
"8873","-4","-4","-4"
"9179","0","0","0"
"9485","0","0","0"
"9791","1","1","1"
"10097","-6","-6","-6"
"10403","19","19","19"
"10709","0","0","0"
"11015","0","0","0"
"11321","0","0","0"
"11627","3","3","3"
"11933","0","0","0"
"12239","0","0","0"
"12545","0","0","0"
"12851","5","5","5"
"13157","0","0","0"
"13463","0","0","0"
"13769","-7","-7","-7"
"14075","0","0","0"
"14381","0","0","0"
"14687","5","5","5"
"14993","15","15","15"
"15299","2","2","2"
"15605","0","0","0"
"15911","0","0","0"
"16217","-12","-12","-12"
"16523","2","2","2"
"16829","-1","-1","-1"
"17135","0","0","0"
"17441","14","14","14"
"17747","-1","-1","-1"
"18053","9","9","9"
"18359","-1","-1","-1"
"18665","-10","-10","-10"
"18971","0","0","0"
"19277","0","0","0"
"19583","0","0","0"
"19889","0","0","0"
"20195","0","0","0"
"20501","0","0","0"
"20807","-7","-7","-7"
"21113","-2","-2","-2"
"21419","0","0","0"
"21725","0","0","0"
"22031","-4","-4","-4"
"22337","0","0","0"
"22643","0","0","0"
"22949","0","0","0"
"23255","0","0","0"
"23561","-15","-15","-15"
"23867","0","0","0"
"24173","-10","-10","-10"
"24479","0","0","0"
"24785","-6","-6","-6"
"25091","0","0","0"
"25397","0","0","0"
"25703","0","0","0"
"26009","5","5","5"
"26315","4","4","4"
"26621","0","0","0"
"26927","0","0","0"
"27233","0","0","0"
"27539","0","0","0"
"27845","0","0","0"
"28151","0","0","0"
"28457","0","0","0"
"28763","-1","-1","-1"
"29069","-4","-4","-4"
"29375","0","0","0"
"29681","0","0","0"
"29987","0","0","0"
"30293","0","0","0"
"30599","6","6","6"
