"Step","SimpleQMIX_everything_varying_blox_gamma0.995_lr0.0001_hidden64_target20__20241215_152817 - score","SimpleQMIX_everything_varying_blox_gamma0.995_lr0.0001_hidden64_target20__20241215_152817 - score__MIN","SimpleQMIX_everything_varying_blox_gamma0.995_lr0.0001_hidden64_target20__20241215_152817 - score__MAX"
"306","-8","-8","-8"
"613","0","0","0"
"920","0","0","0"
"1227","0","0","0"
"1534","0","0","0"
"1841","0","0","0"
"2148","-2","-2","-2"
"2455","0","0","0"
"2762","0","0","0"
"3069","-35","-35","-35"
"3376","0","0","0"
"3683","0","0","0"
"3990","0","0","0"
"4297","0","0","0"
"4604","-5","-5","-5"
"4911","-6","-6","-6"
"5218","0","0","0"
"5525","-18","-18","-18"
"5832","-35","-35","-35"
"6139","-35","-35","-35"
"6446","0","0","0"
"6753","0","0","0"
"7060","0","0","0"
"7367","-27","-27","-27"
"7674","-27","-27","-27"
"7981","-26","-26","-26"
"8288","0","0","0"
"8595","0","0","0"
"8902","0","0","0"
"9209","-36","-36","-36"
"9336","-37","-37","-37"
"9643","2","2","2"
"9777","-37","-37","-37"
"9932","-37","-37","-37"
"10239","-28","-28","-28"
"10546","0","0","0"
"10853","-35","-35","-35"
"11160","-25","-25","-25"
"11467","-27","-27","-27"
"11774","0","0","0"
"12081","-26","-26","-26"
"12388","0","0","0"
"12695","-26","-26","-26"
"12896","-37","-37","-37"
"13203","-3","-3","-3"
"13510","-22","-22","-22"
"13817","-31","-31","-31"
"13938","-37","-37","-37"
"14245","-33","-33","-33"
"14552","-36","-36","-36"
"14859","-26","-26","-26"
"15166","0","0","0"
"15473","-35","-35","-35"
"15780","-24","-24","-24"
"16087","0","0","0"
"16394","-7","-7","-7"
"16701","-27","-27","-27"
"16862","-37","-37","-37"
"17169","-17","-17","-17"
"17476","-27","-27","-27"
"17783","-26","-26","-26"
"18090","0","0","0"
"18397","0","0","0"
"18704","-12","-12","-12"
"19011","0","0","0"
"19318","-27","-27","-27"
"19625","-25","-25","-25"
"19723","-37","-37","-37"
"19811","-37","-37","-37"
"20118","-36","-36","-36"
"20210","-37","-37","-37"
"20517","-35","-35","-35"
"20824","-26","-26","-26"
"21131","-27","-27","-27"
"21237","-37","-37","-37"
"21364","-37","-37","-37"
"21671","-26","-26","-26"
"21767","-37","-37","-37"
"22074","-27","-27","-27"
"22381","-24","-24","-24"
"22688","0","0","0"
"22995","-36","-36","-36"
"23302","-25","-25","-25"
"23609","-27","-27","-27"
"23916","-24","-24","-24"
"24223","-4","-4","-4"
"24530","-29","-29","-29"
"24837","-1","-1","-1"
"25144","-28","-28","-28"
"25451","-27","-27","-27"
"25758","-19","-19","-19"
"26065","-14","-14","-14"
"26372","-28","-28","-28"
"26679","-16","-16","-16"
"26986","-26","-26","-26"
"27088","-37","-37","-37"
"27395","-34","-34","-34"
"27702","-27","-27","-27"
"28009","-27","-27","-27"
"28316","-27","-27","-27"
