"Step","SimpleQMIX_everything_varying_blox_gamma0.995_lr0.0001_hidden64_target20__20241215_152817 - blue_player1_reward","SimpleQMIX_everything_varying_blox_gamma0.995_lr0.0001_hidden64_target20__20241215_152817 - blue_player1_reward__MIN","SimpleQMIX_everything_varying_blox_gamma0.995_lr0.0001_hidden64_target20__20241215_152817 - blue_player1_reward__MAX"
"303","20.930000000000017","20.930000000000017","20.930000000000017"
"610","4.239999999999999","4.239999999999999","4.239999999999999"
"917","4.4599999999999795","4.4599999999999795","4.4599999999999795"
"1224","1.8200000000000023","1.8200000000000023","1.8200000000000023"
"1531","2.4799999999999933","2.4799999999999933","2.4799999999999933"
"1838","13.220000000000079","13.220000000000079","13.220000000000079"
"2145","5.260000000000031","5.260000000000031","5.260000000000031"
"2452","4.339999999999989","4.339999999999989","4.339999999999989"
"2759","3.839999999999984","3.839999999999984","3.839999999999984"
"3066","5.029999999999985","5.029999999999985","5.029999999999985"
"3373","1.0800000000000018","1.0800000000000018","1.0800000000000018"
"3680","13.400000000000006","13.400000000000006","13.400000000000006"
"3987","4.5099999999999945","4.5099999999999945","4.5099999999999945"
"4294","6.910000000000008","6.910000000000008","6.910000000000008"
"4601","5.610000000000003","5.610000000000003","5.610000000000003"
"4908","0.5199999999999998","0.5199999999999998","0.5199999999999998"
"5215","6.520000000000007","6.520000000000007","6.520000000000007"
"5522","6.730000000000014","6.730000000000014","6.730000000000014"
"5829","8.179999999999936","8.179999999999936","8.179999999999936"
"6136","-0.9699999999999991","-0.9699999999999991","-0.9699999999999991"
"6443","32.35000000000012","32.35000000000012","32.35000000000012"
"6750","3.989999999999984","3.989999999999984","3.989999999999984"
"7057","5.8599999999999905","5.8599999999999905","5.8599999999999905"
"7364","5.980000000000003","5.980000000000003","5.980000000000003"
"7671","6.879999999999998","6.879999999999998","6.879999999999998"
"7978","4.2299999999999836","4.2299999999999836","4.2299999999999836"
"8285","12.729999999999919","12.729999999999919","12.729999999999919"
"8592","43.62000000000021","43.62000000000021","43.62000000000021"
"8899","19.160000000000053","19.160000000000053","19.160000000000053"
"9206","16.81999999999998","16.81999999999998","16.81999999999998"
"9333","-2.7500000000000018","-2.7500000000000018","-2.7500000000000018"
"9640","51.72999999999997","51.72999999999997","51.72999999999997"
