"Step","SimpleQMIX_CNN_baseline_blox_later_exploration__20241212_181527 - blue_player1_reward","SimpleQMIX_CNN_baseline_blox_later_exploration__20241212_181527 - blue_player1_reward__MIN","SimpleQMIX_CNN_baseline_blox_later_exploration__20241212_181527 - blue_player1_reward__MAX"
"195","4.139999999999986","4.139999999999986","4.139999999999986"
"302","1.3600000000000005","1.3600000000000005","1.3600000000000005"
"393","1.3600000000000008","1.3600000000000008","1.3600000000000008"
"478","0.9200000000000006","0.9200000000000006","0.9200000000000006"
"669","5.09999999999999","5.09999999999999","5.09999999999999"
"762","1.8200000000000007","1.8200000000000007","1.8200000000000007"
"852","1.2900000000000005","1.2900000000000005","1.2900000000000005"
"951","1.0200000000000007","1.0200000000000007","1.0200000000000007"
"1050","1.3400000000000005","1.3400000000000005","1.3400000000000005"
"1141","1.0800000000000007","1.0800000000000007","1.0800000000000007"
"1228","1.0200000000000007","1.0200000000000007","1.0200000000000007"
"1447","4.3599999999999905","4.3599999999999905","4.3599999999999905"
"1753","10.229999999999963","10.229999999999963","10.229999999999963"
"1933","4.159999999999992","4.159999999999992","4.159999999999992"
"2087","4.87999999999998","4.87999999999998","4.87999999999998"
"2176","1.0200000000000007","1.0200000000000007","1.0200000000000007"
"2415","5.949999999999984","5.949999999999984","5.949999999999984"
"2571","3.80999999999999","3.80999999999999","3.80999999999999"
"2658","0.7700000000000005","0.7700000000000005","0.7700000000000005"
"2745","0.7200000000000004","0.7200000000000004","0.7200000000000004"
"2844","0.9100000000000006","0.9100000000000006","0.9100000000000006"
"2931","0.9500000000000006","0.9500000000000006","0.9500000000000006"
"3112","4.589999999999988","4.589999999999988","4.589999999999988"
"3203","1.7100000000000006","1.7100000000000006","1.7100000000000006"
"3509","11.039999999999948","11.039999999999948","11.039999999999948"
"3598","1.2700000000000005","1.2700000000000005","1.2700000000000005"
"3695","1.0400000000000007","1.0400000000000007","1.0400000000000007"
"3795","1.6300000000000008","1.6300000000000008","1.6300000000000008"
"3887","1.1100000000000008","1.1100000000000008","1.1100000000000008"
"4193","8.339999999999971","8.339999999999971","8.339999999999971"
"4433","4.389999999999996","4.389999999999996","4.389999999999996"
"4523","1.5900000000000007","1.5900000000000007","1.5900000000000007"
"4678","4.599999999999986","4.599999999999986","4.599999999999986"
"4771","0.9900000000000007","0.9900000000000007","0.9900000000000007"
"4868","2.0700000000000007","2.0700000000000007","2.0700000000000007"
"4965","1.0700000000000007","1.0700000000000007","1.0700000000000007"
"5215","6.289999999999968","6.289999999999968","6.289999999999968"
"5321","1.4100000000000006","1.4100000000000006","1.4100000000000006"
"5469","2.819999999999998","2.819999999999998","2.819999999999998"
"5691","6.709999999999988","6.709999999999988","6.709999999999988"
"5781","0.9900000000000007","0.9900000000000007","0.9900000000000007"
"5916","3.599999999999995","3.599999999999995","3.599999999999995"
"6017","3.2899999999999987","3.2899999999999987","3.2899999999999987"
"6323","8.249999999999975","8.249999999999975","8.249999999999975"
"6422","0.9400000000000006","0.9400000000000006","0.9400000000000006"
"6524","1.970000000000001","1.970000000000001","1.970000000000001"
"6625","1.520000000000001","1.520000000000001","1.520000000000001"
"6718","0.9700000000000006","0.9700000000000006","0.9700000000000006"
"7024","11.279999999999943","11.279999999999943","11.279999999999943"
"7119","0.9400000000000005","0.9400000000000005","0.9400000000000005"
"7207","2.89","2.89","2.89"
"7391","5.449999999999978","5.449999999999978","5.449999999999978"
"7519","3.6799999999999953","3.6799999999999953","3.6799999999999953"
"7608","1.6500000000000006","1.6500000000000006","1.6500000000000006"
"7713","1.4000000000000008","1.4000000000000008","1.4000000000000008"
"8019","12.189999999999957","12.189999999999957","12.189999999999957"
"8112","1.3500000000000005","1.3500000000000005","1.3500000000000005"
"8237","2.9599999999999946","2.9599999999999946","2.9599999999999946"
"8535","9.159999999999961","9.159999999999961","9.159999999999961"
