"Step","SimpleQMIX_everything_varying_blox_gamma0.95_lr0.0001_hidden128_target20__20241215_124321 - score","SimpleQMIX_everything_varying_blox_gamma0.95_lr0.0001_hidden128_target20__20241215_124321 - score__MIN","SimpleQMIX_everything_varying_blox_gamma0.95_lr0.0001_hidden128_target20__20241215_124321 - score__MAX"
"306","15","15","15"
"613","20","20","20"
"920","2","2","2"
"1227","23","23","23"
"1534","5","5","5"
"1841","12","12","12"
"2148","10","10","10"
"2455","15","15","15"
"2762","9","9","9"
"3069","11","11","11"
"3376","12","12","12"
"3683","11","11","11"
"3990","-21","-21","-21"
"4297","22","22","22"
"4386","-37","-37","-37"
"4693","9","9","9"
"5000","8","8","8"
"5307","-26","-26","-26"
"5614","-29","-29","-29"
"5921","-25","-25","-25"
"6140","-29","-29","-29"
"6447","-16","-16","-16"
"6754","15","15","15"
"6925","-37","-37","-37"
"7232","8","8","8"
"7336","-37","-37","-37"
"7643","-26","-26","-26"
"7950","17","17","17"
"8257","-27","-27","-27"
"8564","-25","-25","-25"
"8871","-24","-24","-24"
"9178","-15","-15","-15"
"9278","-37","-37","-37"
"9585","-24","-24","-24"
"9892","-16","-16","-16"
"10019","-33","-33","-33"
"10326","0","0","0"
"10633","-24","-24","-24"
"10750","-29","-29","-29"
"11057","-14","-14","-14"
"11349","-37","-37","-37"
"11656","-19","-19","-19"
"11963","-14","-14","-14"
"12270","-9","-9","-9"
"12441","-32","-32","-32"
"12748","-13","-13","-13"
"12853","-34","-34","-34"
"13160","-20","-20","-20"
"13262","-34","-34","-34"
"13348","-37","-37","-37"
"13655","-17","-17","-17"
"13962","-17","-17","-17"
"14269","-20","-20","-20"
"14576","-15","-15","-15"
"14883","-9","-9","-9"
"15190","-12","-12","-12"
"15497","-1","-1","-1"
"15804","-24","-24","-24"
"16111","-4","-4","-4"
"16418","-23","-23","-23"
"16725","-3","-3","-3"
"17032","-1","-1","-1"
"17339","-6","-6","-6"
"17646","-19","-19","-19"
"17953","10","10","10"
"18260","-22","-22","-22"
"18420","-27","-27","-27"
"18727","-16","-16","-16"
"19034","-14","-14","-14"
"19341","-17","-17","-17"
"19447","-37","-37","-37"
"19539","-27","-27","-27"
"19846","-16","-16","-16"
"19932","-27","-27","-27"
"20038","-37","-37","-37"
"20345","1","1","1"
"20451","-27","-27","-27"
"20542","-29","-29","-29"
"20849","-8","-8","-8"
"21156","-17","-17","-17"
"21302","-27","-27","-27"
"21609","-17","-17","-17"
"21916","-17","-17","-17"
"22223","9","9","9"
"22530","-16","-16","-16"
"22652","-29","-29","-29"
"22959","-17","-17","-17"
"23057","-37","-37","-37"
"23151","-29","-29","-29"
"23458","-14","-14","-14"
"23765","-13","-13","-13"
"24072","7","7","7"
"24379","8","8","8"
"24686","-15","-15","-15"
"24993","-17","-17","-17"
"25300","-16","-16","-16"
"25607","-15","-15","-15"
"25699","-37","-37","-37"
"26006","-14","-14","-14"
"26313","-15","-15","-15"
