Step,SimpleQMIX_everything_random_blox_gamma0.95_lr0.0001_hidden128_target20__20241215_084416 - blue_player2_reward,SimpleQMIX_everything_random_blox_gamma0.95_lr0.0001_hidden128_target20__20241215_084416 - blue_player2_reward__MIN,SimpleQMIX_everything_random_blox_gamma0.95_lr0.0001_hidden128_target20__20241215_084416 - blue_player2_reward__MAX
272,4.99,4.99,4.99
578,10.93,10.93,10.93
884,19.19,19.19,19.19
1190,-2.4,-2.4,-2.4
1496,5.42,5.42,5.42
1802,2.97,2.97,2.97
2108,5.05,5.05,5.05
2414,-9.58,-9.58,-9.58
2720,-1.32,-1.32,-1.32
3026,-9.55,-9.55,-9.55
3332,3.56,3.56,3.56
3638,5.01,5.01,5.01
3944,4.15,4.15,4.15
4250,3.67,3.67,3.67
4556,4.88,4.88,4.88
4862,3.88,3.88,3.88
5168,37.97,37.97,37.97
5474,-13.14,-13.14,-13.14
5780,-13.91,-13.91,-13.91
6086,-10.64,-10.64,-10.64
6392,0.99,0.99,0.99
6698,4.01,4.01,4.01
7004,1.95,1.95,1.95
7310,1.02,1.02,1.02
7616,0.46,0.46,0.46
7922,3.31,3.31,3.31
8228,3.8,3.8,3.8
8534,3.68,3.68,3.68
8840,3.22,3.22,3.22
9146,1.97,1.97,1.97
9452,3.15,3.15,3.15
9758,3.51,3.51,3.51
10064,-0.63,-0.63,-0.63
10370,3.16,3.16,3.16
10676,1.44,1.44,1.44
10982,2.26,2.26,2.26
11288,-11.66,-11.66,-11.66
11594,-11.99,-11.99,-11.99
11900,-5.44,-5.44,-5.44
12206,9.89,9.89,9.89
12512,-3.17,-3.17,-3.17
12818,4.97,4.97,4.97
13124,21.2,21.2,21.2
13430,0.24,0.24,0.24
13736,-13.2,-13.2,-13.2
14042,-15.59,-15.59,-15.59
14348,-1.34,-1.34,-1.34
14654,35.68,35.68,35.68
14960,47.8,47.8,47.8
15266,-14.65,-14.65,-14.65
15572,1.09,1.09,1.09
15878,11.6,11.6,11.6
16184,-1.08,-1.08,-1.08
16490,35.59,35.59,35.59
16796,-2.55,-2.55,-2.55
17102,4.45,4.45,4.45
17408,-0.57,-0.57,-0.57
17714,-6.62,-6.62,-6.62
18020,1.52,1.52,1.52
18326,5.07,5.07,5.07
18632,-4.01,-4.01,-4.01
18938,4.88,4.88,4.88
19244,8.08,8.08,8.08
19550,4.29,4.29,4.29
19856,2.76,2.76,2.76
20162,4.27,4.27,4.27
20468,4.01,4.01,4.01
20774,27.05,27.05,27.05
21080,7.85,7.85,7.85
21386,5.04,5.04,5.04
21692,3.11,3.11,3.11
21998,2.56,2.56,2.56
22304,1.93,1.93,1.93
22610,3.53,3.53,3.53
