Step,SimpleQMIX_everything_random_blox_gamma0.95_lr0.0001_hidden128_target20__20241215_084416 - blue_player2_reward,SimpleQMIX_everything_random_blox_gamma0.95_lr0.0001_hidden128_target20__20241215_084416 - blue_player2_reward__MIN,SimpleQMIX_everything_random_blox_gamma0.95_lr0.0001_hidden128_target20__20241215_084416 - blue_player2_reward__MAX
22916,15.27,15.27,15.27
23222,23.86,23.86,23.86
23528,44.38,44.38,44.38
23834,16.24,16.24,16.24
24140,15.4,15.4,15.4
24446,85.54,85.54,85.54
24752,66.4,66.4,66.4
25058,10.11,10.11,10.11
25364,9.51,9.51,9.51
25670,46.28,46.28,46.28
25976,3.03,3.03,3.03
26282,19.65,19.65,19.65
26588,42.41,42.41,42.41
26894,45.87,45.87,45.87
27200,1.18,1.18,1.18
27506,66.08,66.08,66.08
27812,-3.64,-3.64,-3.64
28118,-0.07,-0.07,-0.07
28424,9.6,9.6,9.6
28730,-1.86,-1.86,-1.86
29036,9.81,9.81,9.81
29342,-3.2,-3.2,-3.2
29648,6.66,6.66,6.66
29954,0.22,0.22,0.22
30260,-15.12,-15.12,-15.12
30566,-4.84,-4.84,-4.84
30872,3.26,3.26,3.26
31178,7.29,7.29,7.29
31484,4.67,4.67,4.67
31790,5.83,5.83,5.83
32096,5.25,5.25,5.25
32402,5.24,5.24,5.24
32708,20.89,20.89,20.89
33014,-0.61,-0.61,-0.61
33320,6.36,6.36,6.36
33626,7.23,7.23,7.23
33932,15.4,15.4,15.4
34238,-6.32,-6.32,-6.32
34544,2.59,2.59,2.59
34850,-13.99,-13.99,-13.99
35156,2.82,2.82,2.82
35462,7.45,7.45,7.45
35768,-2.52,-2.52,-2.52
36074,-4.28,-4.28,-4.28
36380,1.98,1.98,1.98
36686,3.52,3.52,3.52
36992,8.49,8.49,8.49
37298,1.98,1.98,1.98
37604,-1.33,-1.33,-1.33
37910,20.05,20.05,20.05
38216,4.65,4.65,4.65
38522,9.13,9.13,9.13
38828,1.55,1.55,1.55
39134,5.92,5.92,5.92
39440,0.49,0.49,0.49
39746,5.18,5.18,5.18
40052,5.93,5.93,5.93
40358,6.59,6.59,6.59
40664,4.84,4.84,4.84
40970,6.33,6.33,6.33
41276,16.92,16.92,16.92
41582,11.54,11.54,11.54
41888,4.67,4.67,4.67
42194,3.99,3.99,3.99
42500,22.19,22.19,22.19
42806,4.58,4.58,4.58
43112,10.6,10.6,10.6
43418,-5.96,-5.96,-5.96
43724,9.28,9.28,9.28
44030,13.93,13.93,13.93
44336,15.74,15.74,15.74
44642,26.58,26.58,26.58
44948,22.71,22.71,22.71
45254,25.18,25.18,25.18
45560,6.89,6.89,6.89
45866,8.91,8.91,8.91
46172,34.51,34.51,34.51
46478,45.58,45.58,45.58
46784,46.45,46.45,46.45
47090,48.65,48.65,48.65
47396,0.32,0.32,0.32
47702,13.89,13.89,13.89
48008,11.6,11.6,11.6
48314,8.86,8.86,8.86
48620,25.21,25.21,25.21
48926,43.3,43.3,43.3
272,-5.17,-5.17,-5.17
578,13.73,13.73,13.73
884,13.34,13.34,13.34
1190,-3.53,-3.53,-3.53
1496,29.28,29.28,29.28
1802,12.85,12.85,12.85
2108,-8.64,-8.64,-8.64
2414,4.77,4.77,4.77
2720,18.42,18.42,18.42
3026,5.04,5.04,5.04
3332,-2.44,-2.44,-2.44
3638,0.92,0.92,0.92
3944,-2.46,-2.46,-2.46
4250,0.93,0.93,0.93
4556,2.73,2.73,2.73
4862,1.55,1.55,1.55
5168,4.03,4.03,4.03
5474,-7.08,-7.08,-7.08
5780,6.19,6.19,6.19
6086,-2.46,-2.46,-2.46
6392,6.19,6.19,6.19
6698,9.11,9.11,9.11
7004,0.68,0.68,0.68
7310,4.2,4.2,4.2
7616,14.03,14.03,14.03
7922,-5.1,-5.1,-5.1
8228,3.72,3.72,3.72
8534,9.41,9.41,9.41
8840,14.06,14.06,14.06
9146,6.77,6.77,6.77
9452,-0.7,-0.7,-0.7
9758,-3.11,-3.11,-3.11
10064,-2.26,-2.26,-2.26
10370,-12.35,-12.35,-12.35
10676,-0.42,-0.42,-0.42
10982,0.24,0.24,0.24
11288,-5.24,-5.24,-5.24
11594,-0.38,-0.38,-0.38
11900,-0.48,-0.48,-0.48
12206,-1.56,-1.56,-1.56
