Step,SimpleQMIX_everything_random_blox_gamma0.95_lr0.0001_hidden128_target20__20241215_084416 - blue_player1_reward,SimpleQMIX_everything_random_blox_gamma0.95_lr0.0001_hidden128_target20__20241215_084416 - blue_player1_reward__MIN,SimpleQMIX_everything_random_blox_gamma0.95_lr0.0001_hidden128_target20__20241215_084416 - blue_player1_reward__MAX
271,9.4,9.4,9.4
577,55.55,55.55,55.55
883,-5,-5,-5
1189,-10.88,-10.88,-10.88
1495,-9.32,-9.32,-9.32
1801,-5.47,-5.47,-5.47
2107,-7.81,-7.81,-7.81
2413,-10.8,-10.8,-10.8
2719,-11.31,-11.31,-11.31
3025,-11.54,-11.54,-11.54
3331,-7.26,-7.26,-7.26
3637,-11.95,-11.95,-11.95
3943,-12.33,-12.33,-12.33
4249,-6.25,-6.25,-6.25
4555,-8.8,-8.8,-8.8
4861,-0.95,-0.95,-0.95
5167,3.86,3.86,3.86
5473,-10.53,-10.53,-10.53
5779,-14.71,-14.71,-14.71
6085,-14.12,-14.12,-14.12
6391,-14.99,-14.99,-14.99
6697,-14.48,-14.48,-14.48
7003,-18.16,-18.16,-18.16
7309,-18.14,-18.14,-18.14
7615,-14.67,-14.67,-14.67
7921,-12.15,-12.15,-12.15
8227,-10.69,-10.69,-10.69
8533,-10.53,-10.53,-10.53
8839,-13.47,-13.47,-13.47
9145,-13.84,-13.84,-13.84
9451,-11.24,-11.24,-11.24
9757,-8.61,-8.61,-8.61
10063,-8.55,-8.55,-8.55
10369,-14.33,-14.33,-14.33
10675,-8.83,-8.83,-8.83
10981,-13.41,-13.41,-13.41
11287,-14.41,-14.41,-14.41
11593,-12.69,-12.69,-12.69
11899,12.24,12.24,12.24
12205,2.38,2.38,2.38
12511,18.02,18.02,18.02
12817,-8.16,-8.16,-8.16
13123,11.77,11.77,11.77
13429,14.5,14.5,14.5
13735,2.24,2.24,2.24
14041,1.03,1.03,1.03
14347,0.45,0.45,0.45
14653,-1.19,-1.19,-1.19
14959,21.77,21.77,21.77
15265,-8.54,-8.54,-8.54
15571,1.6,1.6,1.6
15877,13.66,13.66,13.66
16183,3.06,3.06,3.06
16489,53.64,53.64,53.64
16795,-20.01,-20.01,-20.01
17101,-0.01,-0.01,-0.01
17407,1.44,1.44,1.44
17713,-7.59,-7.59,-7.59
18019,-0.26,-0.26,-0.26
18325,-2.34,-2.34,-2.34
18631,-15.88,-15.88,-15.88
18937,3.28,3.28,3.28
19243,9.31,9.31,9.31
19549,-14.2,-14.2,-14.2
19855,1.61,1.61,1.61
20161,0.8,0.8,0.8
20467,4.16,4.16,4.16
20773,-4.93,-4.93,-4.93
21079,-6.83,-6.83,-6.83
21385,0.95,0.95,0.95
21691,-7.02,-7.02,-7.02
21997,3.14,3.14,3.14
22303,-9.46,-9.46,-9.46
22609,11.11,11.11,11.11
22915,-6.84,-6.84,-6.84
23221,52.39,52.39,52.39
23527,-2.42,-2.42,-2.42
23833,23.44,23.44,23.44
24139,-19.17,-19.17,-19.17
24445,13.75,13.75,13.75
24751,59.72,59.72,59.72
25057,8.02,8.02,8.02
25363,-8.11,-8.11,-8.11
25669,2.79,2.79,2.79
25975,-1.13,-1.13,-1.13
26281,1.43,1.43,1.43
26587,-13.4,-13.4,-13.4
26893,-9.39,-9.39,-9.39
27199,-21.47,-21.47,-21.47
27505,16.02,16.02,16.02
27811,-0.21,-0.21,-0.21
28117,-12.36,-12.36,-12.36
28423,34.77,34.77,34.77
28729,-2.55,-2.55,-2.55
29035,14.09,14.09,14.09
29341,-20.61,-20.61,-20.61
29647,46.35,46.35,46.35
29953,17.08,17.08,17.08
30259,-14.28,-14.28,-14.28
30565,-1.7,-1.7,-1.7
30871,-1.34,-1.34,-1.34
31177,1.6,1.6,1.6
31483,-4.59,-4.59,-4.59
31789,-23.64,-23.64,-23.64
32095,-18.77,-18.77,-18.77
32401,-22.98,-22.98,-22.98
32707,-11.83,-11.83,-11.83
33013,-21.07,-21.07,-21.07
33319,-13.88,-13.88,-13.88
33625,-1.76,-1.76,-1.76
33931,-0.28,-0.28,-0.28
34237,-2.79,-2.79,-2.79
34543,36.36,36.36,36.36
34849,-22.4,-22.4,-22.4
35155,18.84,18.84,18.84
35461,-1.09,-1.09,-1.09
35767,3.44,3.44,3.44
36073,-2.72,-2.72,-2.72
36379,-9.61,-9.61,-9.61
36685,-2.8,-2.8,-2.8
36991,-0.67,-0.67,-0.67
37297,7.89,7.89,7.89
37603,-7.49,-7.49,-7.49
37909,-15.05,-15.05,-15.05
38215,-13.5,-13.5,-13.5
38521,6.55,6.55,6.55
38827,-2.33,-2.33,-2.33
39133,-2.55,-2.55,-2.55
39439,-2.08,-2.08,-2.08
39745,-13.14,-13.14,-13.14
40051,-6.18,-6.18,-6.18
40357,-5.45,-5.45,-5.45
40663,-9.87,-9.87,-9.87
40969,-10.89,-10.89,-10.89
41275,-6.77,-6.77,-6.77
41581,16.06,16.06,16.06
41887,-11.35,-11.35,-11.35
42193,-13.09,-13.09,-13.09
42499,-13.97,-13.97,-13.97
42805,-21.84,-21.84,-21.84
43111,2.54,2.54,2.54
43417,2.23,2.23,2.23
43723,16.48,16.48,16.48
44029,11.76,11.76,11.76
44335,-14.83,-14.83,-14.83
44641,9.85,9.85,9.85
44947,11.67,11.67,11.67
45253,40.35,40.35,40.35
45559,4.88,4.88,4.88
45865,21.18,21.18,21.18
46171,45.73,45.73,45.73
46477,34.34,34.34,34.34
46783,14.14,14.14,14.14
47089,63.03,63.03,63.03
47395,5.78,5.78,5.78
47701,57.91,57.91,57.91
48007,43.48,43.48,43.48
48313,35.87,35.87,35.87
48619,-10.6,-10.6,-10.6
48925,5.17,5.17,5.17
271,-4.7,-4.7,-4.7
577,46.76,46.76,46.76
883,50.03,50.03,50.03
1189,31.95,31.95,31.95
1495,61.29,61.29,61.29
1801,51.98,51.98,51.98
2107,16.91,16.91,16.91
2413,46.22,46.22,46.22
2719,27.8,27.8,27.8
3025,42.15,42.15,42.15
3331,17.07,17.07,17.07
3637,31.11,31.11,31.11
3943,17.45,17.45,17.45
4249,15.94,15.94,15.94
4555,31.87,31.87,31.87
4861,23.3,23.3,23.3
5167,21.61,21.61,21.61
5473,14.26,14.26,14.26
5779,46.52,46.52,46.52
6085,19.38,19.38,19.38
6391,39.15,39.15,39.15
6697,48.18,48.18,48.18
7003,16.56,16.56,16.56
7309,36.19,36.19,36.19
7615,67.11,67.11,67.11
7921,18.52,18.52,18.52
8227,12.65,12.65,12.65
8533,32.31,32.31,32.31
8839,53.5,53.5,53.5
9145,25.14,25.14,25.14
9451,-2.72,-2.72,-2.72
9757,-29.77,-29.77,-29.77
10063,-15.16,-15.16,-15.16
10369,-4.14,-4.14,-4.14
10675,4.22,4.22,4.22
10981,-3.72,-3.72,-3.72
11287,-7.15,-7.15,-7.15
11593,-4.32,-4.32,-4.32
11899,-9.99,-9.99,-9.99
12205,-24.26,-24.26,-24.26
