"Step","SimpleQMIX_everything_later_blox_gamma0.95_lr0.0001_hidden128_target20__20241215_112725 - score","SimpleQMIX_everything_later_blox_gamma0.95_lr0.0001_hidden128_target20__20241215_112725 - score__MIN","SimpleQMIX_everything_later_blox_gamma0.95_lr0.0001_hidden128_target20__20241215_112725 - score__MAX"
"274","-8","-8","-8"
"580","-3","-3","-3"
"886","19","19","19"
"1192","1","1","1"
"1498","5","5","5"
"1804","-2","-2","-2"
"2110","12","12","12"
"2416","5","5","5"
"2722","10","10","10"
"3028","8","8","8"
"3334","18","18","18"
"3640","1","1","1"
"3946","8","8","8"
"4252","5","5","5"
"4558","9","9","9"
"4864","9","9","9"
"5170","-1","-1","-1"
"5476","18","18","18"
"5782","0","0","0"
"6088","1","1","1"
"6394","11","11","11"
"6700","12","12","12"
"7006","-3","-3","-3"
"7312","8","8","8"
"7618","0","0","0"
"7924","11","11","11"
"8230","7","7","7"
"8536","17","17","17"
"8842","6","6","6"
"9148","29","29","29"
"9454","25","25","25"
"9760","5","5","5"
"10066","15","15","15"
"10372","24","24","24"
"10678","11","11","11"
"10984","12","12","12"
"11290","15","15","15"
"11596","6","6","6"
"11902","14","14","14"
"12208","12","12","12"
"12514","11","11","11"
"12820","13","13","13"
"13126","4","4","4"
"13432","1","1","1"
"13738","15","15","15"
"14044","14","14","14"
"14350","11","11","11"
"14656","-6","-6","-6"
"14962","16","16","16"
"15268","4","4","4"
"15574","11","11","11"
"15880","14","14","14"
"16186","11","11","11"
"16492","9","9","9"
"16798","14","14","14"
"17104","13","13","13"
"17410","19","19","19"
"17716","13","13","13"
"18022","-1","-1","-1"
"18328","13","13","13"
"18634","0","0","0"
"18940","0","0","0"
"19246","14","14","14"
"19552","0","0","0"
"19858","17","17","17"
"20164","16","16","16"
"20470","11","11","11"
"20776","11","11","11"
"21082","10","10","10"
"21388","-1","-1","-1"
"21694","7","7","7"
"22000","7","7","7"
"22306","11","11","11"
"22612","3","3","3"
"22918","10","10","10"
"23224","11","11","11"
"23530","10","10","10"
"23836","10","10","10"
"24142","7","7","7"
"24448","10","10","10"
"24754","4","4","4"
"25060","3","3","3"
"25366","0","0","0"
"25672","5","5","5"
"25978","8","8","8"
"26284","4","4","4"
"26590","-5","-5","-5"
"26896","7","7","7"
"27202","26","26","26"
"27508","10","10","10"
"27814","4","4","4"
"28120","11","11","11"
"28426","10","10","10"
"28732","11","11","11"
"29038","12","12","12"
"29344","12","12","12"
"29650","3","3","3"
"29956","15","15","15"
"30262","22","22","22"
"30568","11","11","11"
