"Step","SimpleQMIX_CNN_baseline_blox_basic__20241211_153139 - blue_player1_reward","SimpleQMIX_CNN_baseline_blox_basic__20241211_153139 - blue_player1_reward__MIN","SimpleQMIX_CNN_baseline_blox_basic__20241211_153139 - blue_player1_reward__MAX"
"181","3.9199999999999897","3.9199999999999897","3.9199999999999897"
"274","0.7600000000000005","0.7600000000000005","0.7600000000000005"
"367","0.8200000000000005","0.8200000000000005","0.8200000000000005"
"468","0.7800000000000005","0.7800000000000005","0.7800000000000005"
"573","1.2100000000000006","1.2100000000000006","1.2100000000000006"
"660","0.6400000000000003","0.6400000000000003","0.6400000000000003"
"825","3.7999999999999883","3.7999999999999883","3.7999999999999883"
"914","0.4900000000000002","0.4900000000000002","0.4900000000000002"
"1007","0.8700000000000006","0.8700000000000006","0.8700000000000006"
"1096","2.079999999999999","2.079999999999999","2.079999999999999"
"1187","1.4800000000000006","1.4800000000000006","1.4800000000000006"
"1286","0.7000000000000004","0.7000000000000004","0.7000000000000004"
"1387","1.0900000000000005","1.0900000000000005","1.0900000000000005"
"1478","0.7600000000000005","0.7600000000000005","0.7600000000000005"
"1581","0.9600000000000006","0.9600000000000006","0.9600000000000006"
"1684","0.9700000000000006","0.9700000000000006","0.9700000000000006"
"1777","1.4800000000000006","1.4800000000000006","1.4800000000000006"
"1882","1.8300000000000012","1.8300000000000012","1.8300000000000012"
"2011","2.399999999999999","2.399999999999999","2.399999999999999"
"2247","4.749999999999993","4.749999999999993","4.749999999999993"
"2340","2.169999999999998","2.169999999999998","2.169999999999998"
"2515","5.959999999999984","5.959999999999984","5.959999999999984"
"2622","1.2700000000000005","1.2700000000000005","1.2700000000000005"
"2719","0.9500000000000007","0.9500000000000007","0.9500000000000007"
"2857","2.8199999999999923","2.8199999999999923","2.8199999999999923"
"3065","4.279999999999982","4.279999999999982","4.279999999999982"
"3170","1.8900000000000012","1.8900000000000012","1.8900000000000012"
"3277","1.7500000000000004","1.7500000000000004","1.7500000000000004"
"3382","1.2400000000000007","1.2400000000000007","1.2400000000000007"
"3476","1.880000000000001","1.880000000000001","1.880000000000001"
"3578","1.2300000000000004","1.2300000000000004","1.2300000000000004"
"3784","3.5899999999999936","3.5899999999999936","3.5899999999999936"
"3953","3.0599999999999947","3.0599999999999947","3.0599999999999947"
"4046","1.1900000000000004","1.1900000000000004","1.1900000000000004"
"4154","1.1800000000000008","1.1800000000000008","1.1800000000000008"
"4302","3.4799999999999924","3.4799999999999924","3.4799999999999924"
"4389","0.6500000000000004","0.6500000000000004","0.6500000000000004"
"4490","1.8900000000000006","1.8900000000000006","1.8900000000000006"
"4581","1.2300000000000006","1.2300000000000006","1.2300000000000006"
"4668","0.9600000000000006","0.9600000000000006","0.9600000000000006"
"4756","0.9900000000000007","0.9900000000000007","0.9900000000000007"
"4857","1.2900000000000003","1.2900000000000003","1.2900000000000003"
"4946","0.7500000000000004","0.7500000000000004","0.7500000000000004"
"5035","1.1100000000000005","1.1100000000000005","1.1100000000000005"
"5126","0.9900000000000005","0.9900000000000005","0.9900000000000005"
"5215","0.9200000000000006","0.9200000000000006","0.9200000000000006"
