"Step","SimpleQMIX_CNN_random_blox_later_exploration__20241212_162015 - score","SimpleQMIX_CNN_random_blox_later_exploration__20241212_162015 - score__MIN","SimpleQMIX_CNN_random_blox_later_exploration__20241212_162015 - score__MAX"
"83780","0","0","0"
"84086","4","4","4"
"84392","13","13","13"
"84698","7","7","7"
"85004","-2","-2","-2"
"85310","0","0","0"
"85616","16","16","16"
"85922","6","6","6"
"86228","-4","-4","-4"
"86534","17","17","17"
"86840","11","11","11"
"87146","20","20","20"
"87452","0","0","0"
"87758","0","0","0"
"88064","0","0","0"
"88370","0","0","0"
"88676","11","11","11"
"88982","17","17","17"
"89288","24","24","24"
"89594","34","34","34"
"89900","13","13","13"
"90206","12","12","12"
"90512","0","0","0"
"90818","6","6","6"
"91124","19","19","19"
"91430","19","19","19"
"91736","16","16","16"
"92042","8","8","8"
"92348","0","0","0"
