"Step","SimpleQMIX_everything_later_blox_gamma0.95_lr0.001_hidden64_target10__20241215_123403 - score","SimpleQMIX_everything_later_blox_gamma0.95_lr0.001_hidden64_target10__20241215_123403 - score__MIN","SimpleQMIX_everything_later_blox_gamma0.95_lr0.001_hidden64_target10__20241215_123403 - score__MAX"
"305","27","27","27"
"611","12","12","12"
"917","12","12","12"
"1223","17","17","17"
"1529","11","11","11"
"1835","5","5","5"
"2141","12","12","12"
"2447","13","13","13"
"2753","12","12","12"
"3059","29","29","29"
"3365","18","18","18"
"3671","18","18","18"
"3977","13","13","13"
"4283","28","28","28"
"4589","29","29","29"
"4895","29","29","29"
"5201","17","17","17"
"5507","28","28","28"
"5813","13","13","13"
"6119","14","14","14"
"6425","28","28","28"
"6731","31","31","31"
"7037","22","22","22"
"7343","8","8","8"
"7649","2","2","2"
"7955","10","10","10"
"8261","24","24","24"
"8567","28","28","28"
"8873","16","16","16"
"9179","0","0","0"
"9485","30","30","30"
"9791","-1","-1","-1"
"10097","25","25","25"
"10403","22","22","22"
"10709","25","25","25"
"11015","31","31","31"
"11321","28","28","28"
"11627","29","29","29"
"11933","0","0","0"
"12239","29","29","29"
"12545","34","34","34"
"12851","32","32","32"
"13157","11","11","11"
"13463","26","26","26"
"13769","0","0","0"
"14075","0","0","0"
"14381","21","21","21"
"14687","26","26","26"
"14993","0","0","0"
"15299","28","28","28"
"15605","31","31","31"
"15911","25","25","25"
"16217","35","35","35"
"16523","25","25","25"
"16829","0","0","0"
"17135","33","33","33"
"17441","29","29","29"
"17747","32","32","32"
"18053","12","12","12"
"18359","31","31","31"
"18665","29","29","29"
"18971","32","32","32"
"19277","35","35","35"
"19583","30","30","30"
"19889","33","33","33"
"20195","30","30","30"
"20501","30","30","30"
"20807","31","31","31"
"21113","28","28","28"
"21419","33","33","33"
"21725","28","28","28"
"22031","33","33","33"
"22337","29","29","29"
"22643","28","28","28"
"22949","25","25","25"
"23255","22","22","22"
"23561","31","31","31"
"23867","29","29","29"
"24173","28","28","28"
"24479","21","21","21"
"24785","32","32","32"
"25091","20","20","20"
"25397","15","15","15"
"25703","25","25","25"
"26009","0","0","0"
"26315","0","0","0"
"26621","31","31","31"
"26927","30","30","30"
"27233","28","28","28"
"27539","34","34","34"
"27845","0","0","0"
"28151","32","32","32"
"28457","30","30","30"
"28763","30","30","30"
"29069","31","31","31"
"29375","32","32","32"
"29681","32","32","32"
"29987","32","32","32"
"30293","32","32","32"
"30599","25","25","25"
