"Step","SimpleQMIX_everything_varying_blox_gamma0.95_lr0.001_hidden64_target10__20241215_130258 - score","SimpleQMIX_everything_varying_blox_gamma0.95_lr0.001_hidden64_target10__20241215_130258 - score__MIN","SimpleQMIX_everything_varying_blox_gamma0.95_lr0.001_hidden64_target10__20241215_130258 - score__MAX"
"306","30","30","30"
"613","36","36","36"
"920","28","28","28"
"1227","31","31","31"
"1534","34","34","34"
"1841","32","32","32"
"2148","34","34","34"
"2455","32","32","32"
"2571","-37","-37","-37"
"2878","36","36","36"
"3185","31","31","31"
"3492","19","19","19"
"3799","32","32","32"
"4106","27","27","27"
"4413","35","35","35"
"4720","30","30","30"
"5027","30","30","30"
"5120","-37","-37","-37"
"5427","-9","-9","-9"
"5734","32","32","32"
"6041","-5","-5","-5"
"6158","-37","-37","-37"
"6279","-37","-37","-37"
"6586","-21","-21","-21"
"6893","-25","-25","-25"
"7200","-21","-21","-21"
"7507","-27","-27","-27"
"7619","-37","-37","-37"
"7926","-27","-27","-27"
"8233","-8","-8","-8"
"8540","-27","-27","-27"
"8633","-37","-37","-37"
"8940","-27","-27","-27"
"9247","-24","-24","-24"
"9554","-17","-17","-17"
"9861","-23","-23","-23"
"10168","-23","-23","-23"
"10475","-26","-26","-26"
"10782","-22","-22","-22"
"11089","-20","-20","-20"
"11396","0","0","0"
"11488","-37","-37","-37"
"11795","-14","-14","-14"
"11887","-37","-37","-37"
"11992","-13","-13","-13"
"12299","-13","-13","-13"
"12606","-27","-27","-27"
"12913","-11","-11","-11"
"13220","-17","-17","-17"
"13527","1","1","1"
"13834","-6","-6","-6"
"14141","-9","-9","-9"
"14448","-13","-13","-13"
"14755","-15","-15","-15"
"15062","-19","-19","-19"
"15369","-7","-7","-7"
"15676","18","18","18"
"15983","2","2","2"
"16290","-3","-3","-3"
"16597","2","2","2"
"16904","-33","-33","-33"
"17211","11","11","11"
"17518","-6","-6","-6"
"17825","3","3","3"
"18132","-28","-28","-28"
"18439","-9","-9","-9"
"18543","-24","-24","-24"
"18637","-7","-7","-7"
"18731","-37","-37","-37"
"19038","-9","-9","-9"
"19142","-9","-9","-9"
"19449","0","0","0"
"19556","-24","-24","-24"
"19863","-8","-8","-8"
"20170","-6","-6","-6"
"20477","-9","-9","-9"
"20575","-13","-13","-13"
"20882","-7","-7","-7"
"21189","-11","-11","-11"
"21496","-14","-14","-14"
"21803","-9","-9","-9"
"21995","-11","-11","-11"
"22302","-9","-9","-9"
"22609","3","3","3"
"22916","-25","-25","-25"
"23223","-8","-8","-8"
"23530","15","15","15"
"23837","2","2","2"
"24144","6","6","6"
"24451","13","13","13"
"24758","-9","-9","-9"
"25065","-2","-2","-2"
"25372","2","2","2"
"25679","0","0","0"
"25978","-4","-4","-4"
"26285","5","5","5"
"26592","6","6","6"
"26899","-10","-10","-10"
"27206","-22","-22","-22"
"27513","3","3","3"
