Mon Dec  9 14:19:29 2024    test.prof

         22168758 function calls (21994485 primitive calls) in 205.113 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       70   10.638    0.152   10.638    0.152 {method 'run_backward' of 'torch._C._EngineBase' objects}
     9440    0.052    0.000   10.358    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\nn\modules\conv.py:553(forward)
     9440    0.051    0.000   10.263    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\nn\modules\conv.py:536(_conv_forward)
     9440    3.575    0.000   10.212    0.001 {built-in method torch.conv2d}
     2056    0.074    0.000   10.181    0.005 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\pstats.py:502(print_line)
    12400    0.146    0.000    9.814    0.001 {built-in method builtins.print}
    24724    0.140    0.000    9.671    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\lib\redirect.py:644(write)
   175/24    0.019    0.000    9.261    0.386 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\threading.py:637(wait)
     1800    0.034    0.000    8.444    0.005 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\graphicsUtils.py:346(move_by)
     1800    0.010    0.000    8.290    0.005 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\graphicsUtils.py:347(<lambda>)
       70    0.743    0.011    7.950    0.114 LSTM.py:440(sample)
    24800    0.190    0.000    7.929    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\wandb_run.py:392(wrapper_fn)
    24722    0.082    0.000    7.923    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\wandb_run.py:2362(<lambda>)
    24724    0.151    0.000    7.624    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\wandb_run.py:1514(_console_raw_callback)
     8600    0.034    0.000    7.596    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\nn\modules\activation.py:132(forward)
     8600    0.034    0.000    7.562    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\nn\functional.py:1693(relu)
     8600    1.175    0.000    7.518    0.001 {built-in method torch.relu}
    24724    0.535    0.000    7.415    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\interface\interface.py:704(publish_output_raw)
      120    7.124    0.059    7.196    0.060 {method 'recv' of '_socket.socket' objects}
     3840    1.198    0.000    6.926    0.002 {built-in method torch._C._nn.linear}
    17209    0.074    0.000    6.275    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\traceback.py:29(format_list)
      120    0.047    0.000    6.012    0.050 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\lib\sock_client.py:239(_read_packet_bytes)
     3560    0.021    0.000    5.804    0.002 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\nn\modules\linear.py:124(forward)
    17209    0.606    0.000    5.709    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\traceback.py:525(format)
    56446    5.202    0.000    5.208    0.000 {method 'to' of 'torch._C.TensorBase' objects}
    24724    0.216    0.000    5.097    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\interface\interface_shared.py:76(_publish_output_raw)
   304017    1.991    0.000    4.971    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\traceback.py:460(format_frame_summary)
24839/24831    0.153    0.000    4.860    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\interface\interface_sock.py:49(_publish)
      140    0.010    0.000    4.799    0.034 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\nn\modules\activation.py:1134(forward)
24839/24831    0.161    0.000    4.614    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\lib\sock_client.py:219(send_record_publish)
      140    0.057    0.000    4.548    0.032 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\nn\functional.py:5868(multi_head_attention_forward)
24843/24835    0.047    0.000    4.399    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\lib\sock_client.py:153(send_server_request)
24843/24835    0.322    0.000    4.353    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\lib\sock_client.py:145(_send_message)
    24843    0.164    0.000    3.666    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\lib\sock_client.py:121(_sendall_with_error_handle)
        1    0.000    0.000    3.641    3.641 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\_dynamo\variables\functions.py:1(<module>)
   171/21    0.029    0.000    3.543    0.169 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\threading.py:323(wait)
    24843    3.466    0.000    3.466    0.000 {method 'send' of '_socket.socket' objects}
     1484    0.013    0.000    3.014    0.002 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\graphicsUtils.py:203(moveCircle)
  1434749    1.164    0.000    2.966    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\traceback.py:318(line)
        9    0.001    0.000    2.955    0.328 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\gymPacMan.py:15(__init__)
     1484    0.020    0.000    2.908    0.002 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\graphicsUtils.py:324(move_to)
        1    0.000    0.000    2.890    2.890 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\__init__.py:1(<module>)
    34728    2.763    0.000    2.861    0.000 {built-in method torch.stack}
     1484    0.007    0.000    2.825    0.002 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\graphicsUtils.py:325(<lambda>)
       22    0.000    0.000    2.787    0.127 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\captureAgents.py:91(registerInitialState)
       22    0.000    0.000    2.786    0.127 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\distanceCalculator.py:35(getMazeDistances)
       22    0.000    0.000    2.786    0.127 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\distanceCalculator.py:99(run)
       22    1.477    0.067    2.785    0.127 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\distanceCalculator.py:111(computeDistances)
        1    0.000    0.000    2.651    2.651 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\__init__.py:1(<module>)
        1    0.000    0.000    2.537    2.537 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\_higher_order_ops\triton_kernel_wrap.py:1(<module>)
     3690    0.168    0.000    2.485    0.001 {method 'view' of 'torch._C.TensorBase' objects}
      360    0.010    0.000    2.454    0.007 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\captureGraphicsDisplay.py:395(moveEyes)
     2665    0.060    0.000    2.452    0.001 <frozen importlib._bootstrap_external>:1066(get_code)
       17    0.000    0.000    2.380    0.140 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\_ops.py:248(__init__)
     2430    0.010    0.000    2.253    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\nn\modules\pooling.py:1454(forward)
     2430    0.020    0.000    2.243    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\nn\functional.py:1370(adaptive_avg_pool2d)
