Mon Dec  9 14:19:29 2024    test.prof

         22168758 function calls (21994485 primitive calls) in 205.113 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      103    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\lines.py:505(set_pickradius)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\git\cmd.py:1(<module>)
      490    0.001    0.000    0.001    0.000 {method 'append' of 'collections.deque' objects}
        1    0.000    0.000    0.001    0.001 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\importlib\resources\abc.py:1(<module>)
        2    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\requests\adapters.py:446(get_connection_with_tls_context)
        3    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\wandb_settings.py:818(sync_file)
       10    0.000    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\typing.py:2215(get_type_hints)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\numpy\_core\arrayprint.py:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\pydantic\types.py:1989(ByteSize)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\sympy\external\importtools.py:1(<module>)
        9    0.001    0.000    0.001    0.000 {built-in method nt.scandir}
      145    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\lib\mailbox.py:242(_time)
        9    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\typing_extensions.py:579(__new__)
       98    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\lib\import_hooks.py:47(register_post_import_hook)
      387    0.000    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\textwrap.py:482(prefixed_lines)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\wandb_settings.py:389(validate_base_url)
       42    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\fx\experimental\sym_node.py:1045(_make_node_magic)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\sympy\matrices\expressions\permutation.py:1(<module>)
       10    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\axes\_base.py:4364(get_children)
   140/66    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\transforms.py:2387(_invalidate_internal)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\utils\_config_module.py:119(ConfigModule)
       28    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\transforms.py:235(frozen)
        6    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\sympy\printing\printer.py:388(decorator)
        1    0.000    0.000    0.001    0.001 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\asyncio\proactor_events.py:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\mlab.py:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\distributed\fsdp\_wrap_utils.py:1(<module>)
        3    0.000    0.000    0.001    0.000 <frozen ntpath>:656(_getfinalpathname_nonstrict)
       16    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\pydantic\_internal\_generate_schema.py:1365(_literal_schema)
      704    0.000    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\ast.py:257(iter_fields)
        1    0.000    0.000    0.001    0.001 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\tempfile.py:537(NamedTemporaryFile)
      237    0.000    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\typing.py:1088(<genexpr>)
        1    0.000    0.000    0.001    0.001 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\threading.py:1(<module>)
      190    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\pydantic\_internal\_typing_extra.py:157(is_hashable)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\_dynamo\variables\nn_module.py:1(<module>)
       22    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\pyparsing\core.py:4170(_generateDefaultName)
        2    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\wandb_settings.py:748(log_symlink_user)
      545    0.001    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\rcsetup.py:191(validator)
       64    0.000    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\threading.py:277(__init__)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\backend_bases.py:2793(NavigationToolbar2)
       16    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\pyparsing\core.py:4351(__init__)
       82    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\fx\experimental\sym_node.py:1361(_make_user_magic)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\git\util.py:767(Actor)
      477    0.000    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\logging\__init__.py:243(_releaseLock)
       67    0.000    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\importlib\metadata\__init__.py:675(joinpath)
      433    0.000    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\re\_parser.py:953(fix_flags)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\jit\_trace.py:596(ignore_lib_warnings)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\utils\data\graph.py:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\wandb_run.py:2279(_redirect)
      142    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\optim\lr_scheduler.py:811(get_lr)
        6    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\sympy\printing\printer.py:356(__init__)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\sentry_sdk\integrations\__init__.py:123(setup_integrations)
       35    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\click\globals.py:55(resolve_color_default)
      213    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\mpmath\ctx_fp.py:51(_wrap_specfun)
      171    0.000    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\threading.py:308(_release_save)
        5    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\wandb_run.py:793(_telemetry_flush)
       11    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\onnx\_deprecation.py:28(decorator)
       11    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\packaging\version.py:188(__init__)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\pyparsing\unicode.py:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\urllib3\util\timeout.py:1(<module>)
      139    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\pyparsing\core.py:2013(__eq__)
      116    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\lines.py:33(_get_dash_pattern)
       16    0.000    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\tkinter\__init__.py:682(destroy)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\fx\passes\split_module.py:1(<module>)
       12    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\ticker.py:1655(nonsingular)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\numpy\lib\_shape_base_impl.py:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\google\protobuf\internal\containers.py:103(RepeatedScalarFieldContainer)
       88    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\utils\_pytree.py:171(register_pytree_node)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\fx\passes\graph_manipulation.py:1(<module>)
       54    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\numpy\_core\_ufunc_config.py:441(__enter__)
      122    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\_ops.py:688(_namespace)
      347    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\sympy\printing\pretty\pretty_symbology.py:10(U)
       14    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\PIL\Image.py:2097(resize)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\data_types\video.py:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\service\port_file.py:37(read)
     2976    0.001    0.000    0.001    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\_library\fake_class_registry.py:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\urllib3\util\connection.py:114(_has_ipv6)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\setuptools\_vendor\packaging\_musllinux.py:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\distributed\distributed_c10d.py:221(Backend)
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:989(create_module)
       52    0.000    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\ipaddress.py:1920(__init__)
      133    0.000    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\configparser.py:656(options)
       12    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\offsetbox.py:633(get_bbox)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\sympy\series\gruntz.py:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\sympy\matrices\expressions\hadamard.py:1(<module>)
        8    0.001    0.000    0.001    0.000 {built-in method nt.putenv}
       69    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\nn\init.py:345(_calculate_fan_in_and_fan_out)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\backends\_backend_tk.py:548(destroy)
      869    0.001    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\typing.py:494(__repr__)
       10    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\sympy\core\symbol.py:640(symbols)
        8    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\vendor\graphql-core-1.1\wandb_graphql\language\parser.py:349(parse_fragment)
        4    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\colorama\win32.py:114(winapi_test)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\nn\modules\activation.py:1040(__init__)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\package\package_exporter.py:182(PackageExporter)
       25    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\patches.py:361(_set_edgecolor)
        2    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\internal\internal_api.py:465(app_url)
        8    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\pydantic\_internal\_generate_schema.py:2314(apply_model_validators)
       13    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\cbook.py:229(_connect_picklable)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\nn\utils\_named_member_accessor.py:106(NamedMemberAccessor)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\utils\collect_env.py:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\dateutil\parser\isoparser.py:42(isoparser)
      239    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\pydantic\_internal\_decorators.py:716(unwrap_wrapped_function)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\distributed\_shard\sharding_plan\api.py:10(ShardingPlan)
      140    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\optim\optimizer.py:109(_stack_if_compiling)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\utils\_thunk.py:1(<module>)
      488    0.001    0.000    0.001    0.000 {method 'as_arrays' of 'numpy._core._multiarray_umath._array_converter' objects}
      342    0.001    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\_library\utils.py:286(<genexpr>)
       34    0.000    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\urllib\parse.py:859(quote)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\git\index\util.py:33(TemporaryFileSwap)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\sympy\matrices\matrixbase.py:98(MatrixBase)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\interface\interface_sock.py:53(_communicate_async)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\data_types\trace_tree.py:51(Span)
      430    0.001    0.000    0.001    0.000 {method 'truncate' of '_io.StringIO' objects}
       23    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\patches.py:376(set_edgecolor)
        1    0.000    0.000    0.001    0.001 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\unittest\case.py:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\lib\retry.py:46(Retry)
       90    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\transforms.py:1882(inverted)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\_dynamo\output_graph.py:231(OutputGraph)
      964    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\sympy\multipledispatch\utils.py:56(<genexpr>)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\git\remote.py:520(Remote)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\interface\interface_shared.py:458(_deliver_run)
       18    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\transforms.py:2292(__init__)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\ao\nn\quantized\dynamic\modules\conv.py:1(<module>)
       16    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\markers.py:776(_set_tickdown)
       90    0.000    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\typing.py:1442(__mro_entries__)
     1406    0.001    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\inspect.py:1196(tokeneater)
        1    0.000    0.000    0.001    0.001 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\asyncio\runners.py:1(<module>)
      656    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\captureGraphicsDisplay.py:541(isWall)
      116    0.000    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\glob.py:142(_iterdir)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\interface\interface.py:901(deliver_network_status)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\_sources.py:1(<module>)
       46    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\pydantic\_internal\_decorators.py:789(count_positional_required_params)
     1969    0.001    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\typing.py:2183(cast)
      488    0.001    0.000    0.001    0.000 {method 'wrap' of 'numpy._core._multiarray_umath._array_converter' objects}
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\pydantic\_internal\_generics.py:1(<module>)
       14    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\pyparsing\core.py:5973(__init__)
       38    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\patches.py:782(_convert_units)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\_pylab_helpers.py:44(destroy)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\testing\_internal\logging_tensor.py:1(<module>)
        4    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\pyparsing\core.py:1515(__mul__)
        2    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\numpy\lib\_arraysetops_impl.py:1018(isin)
      156    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\pydantic\fields.py:519(_extract_metadata)
      209    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\google\protobuf\symbol_database.py:72(RegisterMessage)
        2    0.000    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\colorama\winterm.py:50(reset_all)
      542    0.000    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\dataclasses.py:349(__set_name__)
     1826    0.001    0.000    0.001    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\capture.py:463(filterForAllowedActions)
      354    0.000    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\enum.py:1182(_generate_next_value_)
      165    0.000    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\email\_policybase.py:289(_sanitize_header)
        1    0.000    0.000    0.001    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\_dynamo\variables\lazy.py:1(<module>)
