"Step","SimpleQMIX_everything_varying_blox_gamma0.995_lr0.001_hidden128_target10__20241215_170557 - score","SimpleQMIX_everything_varying_blox_gamma0.995_lr0.001_hidden128_target10__20241215_170557 - score__MIN","SimpleQMIX_everything_varying_blox_gamma0.995_lr0.001_hidden128_target10__20241215_170557 - score__MAX"
"306","7","7","7"
"613","-2","-2","-2"
"920","7","7","7"
"1227","0","0","0"
"1534","10","10","10"
"1841","-26","-26","-26"
"2148","10","10","10"
"2455","18","18","18"
"2762","-32","-32","-32"
"3069","7","7","7"
"3376","17","17","17"
"3683","17","17","17"
"3990","0","0","0"
"4297","0","0","0"
"4604","19","19","19"
"4692","-37","-37","-37"
"4999","-28","-28","-28"
"5306","-22","-22","-22"
"5613","-23","-23","-23"
"5920","-27","-27","-27"
"6051","-37","-37","-37"
"6231","-37","-37","-37"
"6538","-4","-4","-4"
"6845","0","0","0"
"7152","2","2","2"
"7259","-37","-37","-37"
"7566","0","0","0"
"7873","4","4","4"
"8152","-37","-37","-37"
"8459","0","0","0"
"8766","-27","-27","-27"
"9073","-27","-27","-27"
"9380","-27","-27","-27"
"9687","-27","-27","-27"
"9994","0","0","0"
"10301","-27","-27","-27"
"10608","-35","-35","-35"
"10915","-26","-26","-26"
"11016","-37","-37","-37"
"11323","-27","-27","-27"
"11630","-26","-26","-26"
"11937","-35","-35","-35"
"12244","0","0","0"
"12334","-37","-37","-37"
"12641","2","2","2"
"12948","-25","-25","-25"
"13255","-27","-27","-27"
"13562","-9","-9","-9"
"13869","0","0","0"
"14176","-23","-23","-23"
"14483","10","10","10"
"14790","-1","-1","-1"
"15097","0","0","0"
"15404","-24","-24","-24"
"15711","-33","-33","-33"
"16018","-26","-26","-26"
"16325","-28","-28","-28"
"16632","6","6","6"
"16939","-24","-24","-24"
"17246","-6","-6","-6"
"17553","6","6","6"
"17860","-3","-3","-3"
"18167","-6","-6","-6"
"18474","-24","-24","-24"
"18781","-24","-24","-24"
"19088","-26","-26","-26"
"19395","-26","-26","-26"
"19702","-25","-25","-25"
"20009","10","10","10"
"20316","-26","-26","-26"
"20623","-28","-28","-28"
"20930","-22","-22","-22"
"21237","-23","-23","-23"
"21544","-12","-12","-12"
"21851","-24","-24","-24"
"22158","-23","-23","-23"
"22465","4","4","4"
"22772","-29","-29","-29"
"23079","-26","-26","-26"
"23386","-26","-26","-26"
"23693","-28","-28","-28"
"24000","-26","-26","-26"
"24307","-14","-14","-14"
"24614","-28","-28","-28"
"24921","-27","-27","-27"
"25228","-27","-27","-27"
"25535","-23","-23","-23"
"25842","-27","-27","-27"
"26149","10","10","10"
"26456","-19","-19","-19"
"26763","-4","-4","-4"
"27070","4","4","4"
"27377","-4","-4","-4"
"27684","-23","-23","-23"
"27991","-20","-20","-20"
"28298","-28","-28","-28"
"28605","-5","-5","-5"
"28912","0","0","0"
"29219","-21","-21","-21"
"29526","-10","-10","-10"
