"Step","SimpleQMIX_everything_random_blox_gamma0.995_lr0.001_hidden128_target10__20241215_154024 - score","SimpleQMIX_everything_random_blox_gamma0.995_lr0.001_hidden128_target10__20241215_154024 - score__MIN","SimpleQMIX_everything_random_blox_gamma0.995_lr0.001_hidden128_target10__20241215_154024 - score__MAX"
"274","0","0","0"
"580","0","0","0"
"886","0","0","0"
"1192","0","0","0"
"1498","0","0","0"
"1804","0","0","0"
"2110","-1","-1","-1"
"2416","0","0","0"
"2722","13","13","13"
"3028","4","4","4"
"3334","0","0","0"
"3640","0","0","0"
"3946","24","24","24"
"4252","0","0","0"
"4558","7","7","7"
"4864","14","14","14"
"5170","0","0","0"
"5476","12","12","12"
"5782","4","4","4"
"6088","3","3","3"
"6394","-9","-9","-9"
"6700","4","4","4"
"7006","7","7","7"
"7312","0","0","0"
"7618","5","5","5"
"7924","20","20","20"
"8230","21","21","21"
"8536","10","10","10"
"8842","2","2","2"
"9148","0","0","0"
"9454","5","5","5"
"9760","2","2","2"
"10066","17","17","17"
"10372","14","14","14"
"10678","13","13","13"
"10984","0","0","0"
"11290","7","7","7"
"11596","9","9","9"
"11902","4","4","4"
"12208","7","7","7"
"12514","2","2","2"
"12820","5","5","5"
"13126","3","3","3"
"13432","0","0","0"
"13738","6","6","6"
"14044","-5","-5","-5"
"14350","7","7","7"
"14656","8","8","8"
"14962","4","4","4"
"15268","0","0","0"
"15574","-12","-12","-12"
"15880","0","0","0"
"16186","0","0","0"
"16492","3","3","3"
"16798","0","0","0"
"17104","14","14","14"
"17410","13","13","13"
"17716","-1","-1","-1"
"18022","0","0","0"
"18328","0","0","0"
"18634","0","0","0"
"18940","18","18","18"
"19246","1","1","1"
"19552","0","0","0"
"19858","0","0","0"
"20164","-1","-1","-1"
"20470","0","0","0"
"20776","0","0","0"
"21082","0","0","0"
"21388","10","10","10"
"21694","0","0","0"
"22000","12","12","12"
"22306","20","20","20"
"22612","0","0","0"
"22918","-3","-3","-3"
"23224","0","0","0"
"23530","0","0","0"
"23836","0","0","0"
"24142","0","0","0"
"24448","-19","-19","-19"
"24754","-9","-9","-9"
"25060","0","0","0"
"25366","1","1","1"
"25672","7","7","7"
"25978","8","8","8"
"26284","1","1","1"
"26590","4","4","4"
"26896","0","0","0"
"27202","0","0","0"
"27508","4","4","4"
"27814","17","17","17"
"28120","12","12","12"
"28426","1","1","1"
"28732","-10","-10","-10"
"29038","0","0","0"
"29344","0","0","0"
"29650","0","0","0"
"29956","3","3","3"
"30262","4","4","4"
"30568","6","6","6"
"30874","3","3","3"
"31180","-5","-5","-5"
"31486","0","0","0"
"31792","8","8","8"
"32098","-5","-5","-5"
"32404","1","1","1"
"32710","-2","-2","-2"
"33016","-1","-1","-1"
"33322","0","0","0"
"33628","8","8","8"
"33934","1","1","1"
"34240","-5","-5","-5"
"34546","-1","-1","-1"
"34852","0","0","0"
"35158","16","16","16"
"35464","1","1","1"
"35770","2","2","2"
"36076","0","0","0"
"36382","0","0","0"
"36688","0","0","0"
"36994","0","0","0"
"37300","0","0","0"
"37606","-2","-2","-2"
"37912","-3","-3","-3"
"38218","0","0","0"
"38524","0","0","0"
"38830","0","0","0"
"39136","0","0","0"
"39442","0","0","0"
"39748","1","1","1"
"40054","0","0","0"
"40360","-5","-5","-5"
"40666","0","0","0"
"40972","0","0","0"
"41278","0","0","0"
"41584","0","0","0"
"41890","0","0","0"
"42196","-5","-5","-5"
"42502","0","0","0"
"42808","0","0","0"
"43114","3","3","3"
"43420","0","0","0"
"43726","0","0","0"
"44032","0","0","0"
"44338","0","0","0"
"44644","3","3","3"
"44950","-5","-5","-5"
"45256","-1","-1","-1"
"45562","0","0","0"
"45868","0","0","0"
"46174","0","0","0"
"46480","-15","-15","-15"
"46786","0","0","0"
"47092","0","0","0"
"47398","0","0","0"
"47704","0","0","0"
"48010","-13","-13","-13"
"48316","0","0","0"
"48622","-2","-2","-2"
"48928","0","0","0"
"49234","5","5","5"
"49540","0","0","0"
"49846","0","0","0"
"50152","0","0","0"
"50458","0","0","0"
"50764","4","4","4"
"51070","9","9","9"
"51376","-23","-23","-23"
"51682","0","0","0"
"51988","0","0","0"
"52294","0","0","0"
"52600","0","0","0"
"52906","-1","-1","-1"
"53212","0","0","0"
"53518","4","4","4"
"53824","0","0","0"
"54130","0","0","0"
"54436","7","7","7"
"54742","-4","-4","-4"
"55048","0","0","0"
"55354","0","0","0"
"55660","0","0","0"
"55966","0","0","0"
"56272","12","12","12"
"56578","0","0","0"
"56884","2","2","2"
"57190","0","0","0"
"57496","0","0","0"
"57802","0","0","0"
"58108","0","0","0"
"58414","0","0","0"
"58720","11","11","11"
"59026","0","0","0"
"59332","0","0","0"
"59638","10","10","10"
"59944","0","0","0"
"60250","1","1","1"
"60556","0","0","0"
"60862","0","0","0"
"61168","0","0","0"
