"Step","SimpleQMIX_everything_later_blox_gamma0.995_lr0.001_hidden128_target10__20241215_163651 - score","SimpleQMIX_everything_later_blox_gamma0.995_lr0.001_hidden128_target10__20241215_163651 - score__MIN","SimpleQMIX_everything_later_blox_gamma0.995_lr0.001_hidden128_target10__20241215_163651 - score__MAX"
"305","8","8","8"
"611","0","0","0"
"917","0","0","0"
"1223","0","0","0"
"1529","0","0","0"
"1835","0","0","0"
"2141","-2","-2","-2"
"2447","0","0","0"
"2753","0","0","0"
"3059","0","0","0"
"3365","0","0","0"
"3671","0","0","0"
"3977","3","3","3"
"4283","0","0","0"
"4589","0","0","0"
"4895","0","0","0"
"5201","0","0","0"
"5507","-2","-2","-2"
"5813","-1","-1","-1"
"6119","0","0","0"
"6425","11","11","11"
"6731","0","0","0"
"7037","0","0","0"
"7343","14","14","14"
"7649","20","20","20"
"7955","0","0","0"
"8261","2","2","2"
"8567","1","1","1"
"8873","8","8","8"
"9179","0","0","0"
"9485","-3","-3","-3"
"9791","0","0","0"
"10097","8","8","8"
"10403","3","3","3"
"10709","0","0","0"
"11015","12","12","12"
"11321","23","23","23"
"11627","5","5","5"
"11933","17","17","17"
"12239","7","7","7"
"12545","12","12","12"
"12851","0","0","0"
"13157","16","16","16"
"13463","6","6","6"
"13769","4","4","4"
"14075","4","4","4"
"14381","-11","-11","-11"
"14687","0","0","0"
"14993","-1","-1","-1"
"15299","0","0","0"
"15605","3","3","3"
"15911","0","0","0"
"16217","0","0","0"
"16523","-3","-3","-3"
"16829","0","0","0"
"17135","0","0","0"
"17441","0","0","0"
"17747","7","7","7"
"18053","0","0","0"
"18359","11","11","11"
"18665","17","17","17"
"18971","0","0","0"
"19277","2","2","2"
"19583","0","0","0"
"19889","0","0","0"
"20195","9","9","9"
"20501","0","0","0"
"20807","0","0","0"
"21113","-1","-1","-1"
"21419","-2","-2","-2"
"21725","1","1","1"
"22031","4","4","4"
"22337","0","0","0"
"22643","0","0","0"
"22949","7","7","7"
"23255","1","1","1"
"23561","-5","-5","-5"
"23867","4","4","4"
"24173","0","0","0"
"24479","1","1","1"
"24785","4","4","4"
"25091","9","9","9"
"25397","10","10","10"
"25703","0","0","0"
"26009","1","1","1"
"26315","0","0","0"
"26621","0","0","0"
"26927","0","0","0"
"27233","0","0","0"
"27539","20","20","20"
"27845","2","2","2"
"28151","0","0","0"
"28457","19","19","19"
"28763","3","3","3"
"29069","6","6","6"
"29375","1","1","1"
"29681","-3","-3","-3"
"29987","2","2","2"
"30293","1","1","1"
"30599","3","3","3"
