"Step","SimpleQMIX_everything_later_blox_gamma0.995_lr0.0001_hidden64_target10__20241215_110643 - score","SimpleQMIX_everything_later_blox_gamma0.995_lr0.0001_hidden64_target10__20241215_110643 - score__MIN","SimpleQMIX_everything_later_blox_gamma0.995_lr0.0001_hidden64_target10__20241215_110643 - score__MAX"
"305","-12","-12","-12"
"611","0","0","0"
"917","0","0","0"
"1223","0","0","0"
"1529","0","0","0"
"1835","0","0","0"
"2141","-16","-16","-16"
"2447","0","0","0"
"2753","-2","-2","-2"
"3059","-2","-2","-2"
"3365","0","0","0"
"3671","0","0","0"
"3977","0","0","0"
"4283","0","0","0"
"4589","0","0","0"
"4895","0","0","0"
"5201","0","0","0"
"5507","-3","-3","-3"
"5813","-8","-8","-8"
"6119","0","0","0"
"6425","1","1","1"
"6731","0","0","0"
"7037","-4","-4","-4"
"7343","0","0","0"
"7649","-4","-4","-4"
"7955","-5","-5","-5"
"8261","-3","-3","-3"
"8567","-1","-1","-1"
"8873","0","0","0"
"9179","-4","-4","-4"
"9485","0","0","0"
"9791","0","0","0"
"10097","0","0","0"
"10403","0","0","0"
"10709","2","2","2"
"11015","-2","-2","-2"
"11321","0","0","0"
"11627","-5","-5","-5"
"11933","0","0","0"
"12239","0","0","0"
"12545","0","0","0"
"12851","0","0","0"
"13157","0","0","0"
"13463","-2","-2","-2"
"13769","0","0","0"
"14075","0","0","0"
"14381","0","0","0"
"14687","0","0","0"
"14993","-1","-1","-1"
"15299","0","0","0"
"15605","0","0","0"
"15911","0","0","0"
"16217","0","0","0"
"16523","0","0","0"
"16829","0","0","0"
"17135","0","0","0"
"17441","0","0","0"
"17747","0","0","0"
"18053","0","0","0"
"18359","4","4","4"
"18665","0","0","0"
"18971","-5","-5","-5"
"19277","0","0","0"
"19583","-14","-14","-14"
"19889","0","0","0"
"20195","-3","-3","-3"
"20501","-3","-3","-3"
"20807","0","0","0"
"21113","2","2","2"
"21419","0","0","0"
"21725","-6","-6","-6"
"22031","0","0","0"
"22337","2","2","2"
"22643","0","0","0"
"22949","-5","-5","-5"
"23255","0","0","0"
"23561","-1","-1","-1"
"23867","0","0","0"
"24173","0","0","0"
"24479","0","0","0"
"24785","0","0","0"
"25091","-4","-4","-4"
"25397","0","0","0"
"25703","0","0","0"
"26009","0","0","0"
"26315","0","0","0"
"26621","0","0","0"
"26927","0","0","0"
"27233","-2","-2","-2"
"27539","8","8","8"
"27845","0","0","0"
"28151","0","0","0"
"28457","0","0","0"
"28763","0","0","0"
"29069","0","0","0"
"29375","0","0","0"
"29681","0","0","0"
"29987","0","0","0"
"30293","0","0","0"
"30599","0","0","0"
