"Step","SimpleQMIX_everything_random_blox_gamma0.995_lr0.0001_hidden64_target10__20241215_101427 - score","SimpleQMIX_everything_random_blox_gamma0.995_lr0.0001_hidden64_target10__20241215_101427 - score__MIN","SimpleQMIX_everything_random_blox_gamma0.995_lr0.0001_hidden64_target10__20241215_101427 - score__MAX"
"274","0","0","0"
"580","0","0","0"
"886","0","0","0"
"1192","0","0","0"
"1498","0","0","0"
"1804","0","0","0"
"2110","0","0","0"
"2416","0","0","0"
"2722","8","8","8"
"3028","0","0","0"
"3334","0","0","0"
"3640","0","0","0"
"3946","4","4","4"
"4252","-2","-2","-2"
"4558","0","0","0"
"4864","0","0","0"
"5170","0","0","0"
"5476","0","0","0"
"5782","-1","-1","-1"
"6088","0","0","0"
"6394","0","0","0"
"6700","0","0","0"
"7006","-2","-2","-2"
"7312","12","12","12"
"7618","2","2","2"
"7924","19","19","19"
"8230","4","4","4"
"8536","-4","-4","-4"
"8842","0","0","0"
"9148","-17","-17","-17"
"9454","0","0","0"
"9760","-3","-3","-3"
"10066","-10","-10","-10"
"10372","4","4","4"
"10678","0","0","0"
"10984","-12","-12","-12"
"11290","0","0","0"
"11596","1","1","1"
"11902","16","16","16"
"12208","1","1","1"
"12514","-4","-4","-4"
"12820","5","5","5"
"13126","-6","-6","-6"
"13432","0","0","0"
"13738","0","0","0"
"14044","-2","-2","-2"
"14350","0","0","0"
"14656","2","2","2"
"14962","0","0","0"
"15268","5","5","5"
"15574","0","0","0"
"15880","-5","-5","-5"
"16186","-1","-1","-1"
"16492","-6","-6","-6"
"16798","0","0","0"
"17104","0","0","0"
"17410","4","4","4"
"17716","-4","-4","-4"
"18022","9","9","9"
"18328","1","1","1"
"18634","-2","-2","-2"
"18940","9","9","9"
"19246","0","0","0"
"19552","0","0","0"
"19858","0","0","0"
"20164","6","6","6"
"20470","0","0","0"
"20776","3","3","3"
"21082","-3","-3","-3"
"21388","7","7","7"
"21694","-1","-1","-1"
"22000","16","16","16"
"22306","11","11","11"
"22612","-5","-5","-5"
"22918","0","0","0"
"23224","-2","-2","-2"
"23530","0","0","0"
"23836","8","8","8"
"24142","0","0","0"
"24448","0","0","0"
"24754","3","3","3"
"25060","13","13","13"
"25366","0","0","0"
"25672","4","4","4"
"25978","0","0","0"
"26284","0","0","0"
"26590","0","0","0"
"26896","-4","-4","-4"
"27202","0","0","0"
"27508","0","0","0"
"27814","8","8","8"
"28120","0","0","0"
"28426","11","11","11"
"28732","-2","-2","-2"
"29038","0","0","0"
"29344","0","0","0"
"29650","6","6","6"
"29956","-5","-5","-5"
"30262","0","0","0"
"30568","8","8","8"
"30874","1","1","1"
"31180","-3","-3","-3"
"31486","0","0","0"
"31792","27","27","27"
"32098","0","0","0"
"32404","0","0","0"
"32710","-4","-4","-4"
"33016","0","0","0"
"33322","0","0","0"
"33628","0","0","0"
"33934","6","6","6"
"34240","-6","-6","-6"
"34546","0","0","0"
"34852","0","0","0"
"35158","0","0","0"
"35464","0","0","0"
"35770","-4","-4","-4"
"36076","-1","-1","-1"
"36382","0","0","0"
"36688","-1","-1","-1"
"36994","-1","-1","-1"
"37300","23","23","23"
"37606","7","7","7"
"37912","-2","-2","-2"
"38218","0","0","0"
"38524","0","0","0"
"38830","0","0","0"
"39136","0","0","0"
"39442","0","0","0"
"39748","0","0","0"
"40054","0","0","0"
"40360","0","0","0"
"40666","0","0","0"
"40972","0","0","0"
"41278","0","0","0"
"41584","0","0","0"
"41890","0","0","0"
"42196","0","0","0"
"42502","5","5","5"
"42808","0","0","0"
"43114","0","0","0"
"43420","6","6","6"
"43726","0","0","0"
"44032","-3","-3","-3"
"44338","0","0","0"
"44644","-5","-5","-5"
"44950","0","0","0"
"45256","0","0","0"
"45562","0","0","0"
"45868","14","14","14"
"46174","0","0","0"
"46480","0","0","0"
"46786","11","11","11"
"47092","0","0","0"
"47398","0","0","0"
"47704","0","0","0"
"48010","0","0","0"
"48316","0","0","0"
"48622","0","0","0"
"48928","0","0","0"
"49234","0","0","0"
"49540","18","18","18"
"49846","0","0","0"
"50152","0","0","0"
"50458","0","0","0"
"50764","0","0","0"
"51070","0","0","0"
"51376","-1","-1","-1"
"51682","0","0","0"
"51988","11","11","11"
"52294","0","0","0"
"52600","0","0","0"
"52906","0","0","0"
"53212","0","0","0"
"53518","0","0","0"
"53824","0","0","0"
"54130","0","0","0"
"54436","0","0","0"
"54742","0","0","0"
"55048","0","0","0"
"55354","0","0","0"
"55660","0","0","0"
"55966","0","0","0"
"56272","0","0","0"
"56578","0","0","0"
"56884","-4","-4","-4"
"57190","0","0","0"
"57496","0","0","0"
"57802","0","0","0"
"58108","0","0","0"
"58414","0","0","0"
"58720","0","0","0"
"59026","0","0","0"
"59332","0","0","0"
"59638","0","0","0"
"59944","0","0","0"
"60250","0","0","0"
"60556","0","0","0"
"60862","0","0","0"
"61168","0","0","0"
