"Step","SimpleQMIX_everything_varying_blox_gamma0.995_lr0.001_hidden64_target10__20241215_125937 - blue_player1_reward","SimpleQMIX_everything_varying_blox_gamma0.995_lr0.001_hidden64_target10__20241215_125937 - blue_player1_reward__MIN","SimpleQMIX_everything_varying_blox_gamma0.995_lr0.001_hidden64_target10__20241215_125937 - blue_player1_reward__MAX"
"303","-7.929999999999994","-7.929999999999994","-7.929999999999994"
"610","-2.280000000000001","-2.280000000000001","-2.280000000000001"
"917","-10.38000000000003","-10.38000000000003","-10.38000000000003"
"1224","-5.020000000000006","-5.020000000000006","-5.020000000000006"
"1531","-22.38999999999995","-22.38999999999995","-22.38999999999995"
"1838","-9.810000000000018","-9.810000000000018","-9.810000000000018"
"2145","8.81999999999998","8.81999999999998","8.81999999999998"
"2249","-6.59","-6.59","-6.59"
"2556","-0.4700000000000003","-0.4700000000000003","-0.4700000000000003"
"2863","1.880000000000002","1.880000000000002","1.880000000000002"
"3170","-20.390000000000022","-20.390000000000022","-20.390000000000022"
"3477","-16.700000000000028","-16.700000000000028","-16.700000000000028"
"3784","-4.010000000000002","-4.010000000000002","-4.010000000000002"
"4091","1.129999999999994","1.129999999999994","1.129999999999994"
"4398","-18.24000000000002","-18.24000000000002","-18.24000000000002"
"4705","22.580000000000023","22.580000000000023","22.580000000000023"
"5012","-1.8800000000000003","-1.8800000000000003","-1.8800000000000003"
"5319","3.839999999999999","3.839999999999999","3.839999999999999"
"5626","-13.649999999999983","-13.649999999999983","-13.649999999999983"
"5933","-13.629999999999997","-13.629999999999997","-13.629999999999997"
"6240","-24.660000000000007","-24.660000000000007","-24.660000000000007"
"6547","-9.200000000000005","-9.200000000000005","-9.200000000000005"
"6854","1.8199999999999998","1.8199999999999998","1.8199999999999998"
"7161","2.5400000000000045","2.5400000000000045","2.5400000000000045"
"7468","-9.00000000000001","-9.00000000000001","-9.00000000000001"
"7574","-9.489999999999997","-9.489999999999997","-9.489999999999997"
"7881","-13.780000000000026","-13.780000000000026","-13.780000000000026"
"8188","-10.440000000000051","-10.440000000000051","-10.440000000000051"
"8294","-6.690000000000001","-6.690000000000001","-6.690000000000001"
"8601","-4.020000000000006","-4.020000000000006","-4.020000000000006"
"8908","-6.930000000000012","-6.930000000000012","-6.930000000000012"
"9008","-9.009999999999998","-9.009999999999998","-9.009999999999998"
"9102","-9.920000000000002","-9.920000000000002","-9.920000000000002"
"9409","-9.25","-9.25","-9.25"
"9512","-9.839999999999996","-9.839999999999996","-9.839999999999996"
"9819","-8.819999999999997","-8.819999999999997","-8.819999999999997"
"10126","-7.560000000000002","-7.560000000000002","-7.560000000000002"
"10218","-11.130000000000006","-11.130000000000006","-11.130000000000006"
"10525","-21.070000000000025","-21.070000000000025","-21.070000000000025"
"10832","-9.809999999999985","-9.809999999999985","-9.809999999999985"
"11139","-9.16000000000004","-9.16000000000004","-9.16000000000004"
"11231","-10.110000000000001","-10.110000000000001","-10.110000000000001"
"11538","-17.230000000000043","-17.230000000000043","-17.230000000000043"
"11845","-6.200000000000004","-6.200000000000004","-6.200000000000004"
"12152","-10.570000000000022","-10.570000000000022","-10.570000000000022"
"12266","-5.430000000000001","-5.430000000000001","-5.430000000000001"
"12573","-5.239999999999999","-5.239999999999999","-5.239999999999999"
"12880","-17.260000000000012","-17.260000000000012","-17.260000000000012"
"13187","-3.589999999999999","-3.589999999999999","-3.589999999999999"
"13494","-20.18000000000004","-20.18000000000004","-20.18000000000004"
"13583","-14.480000000000002","-14.480000000000002","-14.480000000000002"
"13890","-16.680000000000067","-16.680000000000067","-16.680000000000067"
"13988","-11.190000000000005","-11.190000000000005","-11.190000000000005"
"14295","-11.340000000000057","-11.340000000000057","-11.340000000000057"
"14602","-9.140000000000034","-9.140000000000034","-9.140000000000034"
"14909","-27.010000000000048","-27.010000000000048","-27.010000000000048"
"15001","-16.250000000000014","-16.250000000000014","-16.250000000000014"
"15308","-11.990000000000014","-11.990000000000014","-11.990000000000014"
"15615","-21.330000000000023","-21.330000000000023","-21.330000000000023"
"15922","-35.27000000000004","-35.27000000000004","-35.27000000000004"
"16229","-20.48999999999996","-20.48999999999996","-20.48999999999996"
"16536","-12.680000000000016","-12.680000000000016","-12.680000000000016"
"16843","-7.230000000000054","-7.230000000000054","-7.230000000000054"
"17150","-18.819999999999993","-18.819999999999993","-18.819999999999993"
"17457","-16.93000000000004","-16.93000000000004","-16.93000000000004"
"17764","-11.590000000000007","-11.590000000000007","-11.590000000000007"
"18071","-7.640000000000028","-7.640000000000028","-7.640000000000028"
"18378","-29.730000000000004","-29.730000000000004","-29.730000000000004"
"18685","-13.06999999999998","-13.06999999999998","-13.06999999999998"
"18776","-9.939999999999998","-9.939999999999998","-9.939999999999998"
"19083","-7.300000000000015","-7.300000000000015","-7.300000000000015"
"19390","-7.450000000000013","-7.450000000000013","-7.450000000000013"
"19697","-8.810000000000006","-8.810000000000006","-8.810000000000006"
"20004","-8.40999999999999","-8.40999999999999","-8.40999999999999"
"20311","-9.300000000000008","-9.300000000000008","-9.300000000000008"
"20618","-15.539999999999969","-15.539999999999969","-15.539999999999969"
"20925","-33.020000000000024","-33.020000000000024","-33.020000000000024"
"21232","-35.49999999999999","-35.49999999999999","-35.49999999999999"
"21334","-16.340000000000003","-16.340000000000003","-16.340000000000003"
"21641","-21.929999999999986","-21.929999999999986","-21.929999999999986"
"21948","-8.570000000000011","-8.570000000000011","-8.570000000000011"
"22255","-8.930000000000007","-8.930000000000007","-8.930000000000007"
"22562","-1.859999999999993","-1.859999999999993","-1.859999999999993"
"22869","-14.590000000000048","-14.590000000000048","-14.590000000000048"
"23176","-4.139999999999996","-4.139999999999996","-4.139999999999996"
"23483","-30.55000000000005","-30.55000000000005","-30.55000000000005"
"23790","-36.549999999999976","-36.549999999999976","-36.549999999999976"
"24097","-36.50999999999998","-36.50999999999998","-36.50999999999998"
"24404","-21.179999999999975","-21.179999999999975","-21.179999999999975"
"24711","-17.08000000000004","-17.08000000000004","-17.08000000000004"
"25018","-14.960000000000047","-14.960000000000047","-14.960000000000047"
"25325","-16.730000000000047","-16.730000000000047","-16.730000000000047"
"25632","-14.620000000000086","-14.620000000000086","-14.620000000000086"
"25939","-13.130000000000026","-13.130000000000026","-13.130000000000026"
"26246","-19.600000000000037","-19.600000000000037","-19.600000000000037"
"26553","-35.67000000000002","-35.67000000000002","-35.67000000000002"
"26860","-21.899999999999963","-21.899999999999963","-21.899999999999963"
"27167","-13.80000000000003","-13.80000000000003","-13.80000000000003"
"27474","-13.069999999999986","-13.069999999999986","-13.069999999999986"
"27781","-12.780000000000005","-12.780000000000005","-12.780000000000005"
