"Step","SimpleQMIX_everything_varying_blox_gamma0.95_lr0.0001_hidden128_target10__20241215_065336 - score","SimpleQMIX_everything_varying_blox_gamma0.95_lr0.0001_hidden128_target10__20241215_065336 - score__MIN","SimpleQMIX_everything_varying_blox_gamma0.95_lr0.0001_hidden128_target10__20241215_065336 - score__MAX"
"306","1","1","1"
"613","-8","-8","-8"
"920","10","10","10"
"1227","0","0","0"
"1534","9","9","9"
"1841","-23","-23","-23"
"2148","0","0","0"
"2455","16","16","16"
"2762","0","0","0"
"3069","0","0","0"
"3376","-27","-27","-27"
"3683","0","0","0"
"3990","-36","-36","-36"
"4253","-37","-37","-37"
"4560","-27","-27","-27"
"4662","-37","-37","-37"
"4969","0","0","0"
"5276","0","0","0"
"5583","0","0","0"
"5890","4","4","4"
"6197","0","0","0"
"6504","-27","-27","-27"
"6811","-35","-35","-35"
"6905","-37","-37","-37"
"7212","0","0","0"
"7519","0","0","0"
"7826","0","0","0"
"8133","-26","-26","-26"
"8440","-26","-26","-26"
"8747","-36","-36","-36"
"9054","-35","-35","-35"
"9361","-32","-32","-32"
"9532","-37","-37","-37"
"9632","-37","-37","-37"
"9939","-27","-27","-27"
"10246","-35","-35","-35"
"10553","-27","-27","-27"
"10647","-37","-37","-37"
"10954","-27","-27","-27"
"11051","-37","-37","-37"
"11358","-35","-35","-35"
"11531","-37","-37","-37"
"11838","-33","-33","-33"
"12145","-26","-26","-26"
"12452","-23","-23","-23"
"12759","-26","-26","-26"
"13066","-36","-36","-36"
"13373","-21","-21","-21"
"13680","-36","-36","-36"
"13782","-37","-37","-37"
"14089","-27","-27","-27"
"14396","0","0","0"
"14703","-18","-18","-18"
"15010","-27","-27","-27"
"15317","0","0","0"
"15411","-37","-37","-37"
"15718","-29","-29","-29"
"16025","-24","-24","-24"
"16332","-5","-5","-5"
"16639","-27","-27","-27"
"16946","-25","-25","-25"
"17253","-36","-36","-36"
"17560","-7","-7","-7"
"17867","-30","-30","-30"
"18174","-14","-14","-14"
"18481","0","0","0"
"18693","-37","-37","-37"
"19000","0","0","0"
"19307","-36","-36","-36"
"19614","-35","-35","-35"
"19745","-37","-37","-37"
"20052","-27","-27","-27"
"20359","-27","-27","-27"
"20456","-37","-37","-37"
"20763","-16","-16","-16"
"21070","-27","-27","-27"
"21170","-37","-37","-37"
"21477","-26","-26","-26"
"21631","-37","-37","-37"
"21726","-37","-37","-37"
"22033","-27","-27","-27"
"22340","-27","-27","-27"
"22647","-27","-27","-27"
"22954","-35","-35","-35"
"23261","-17","-17","-17"
"23568","-2","-2","-2"
"23875","-24","-24","-24"
"24182","-1","-1","-1"
"24282","-37","-37","-37"
"24589","-26","-26","-26"
"24896","-3","-3","-3"
"25203","0","0","0"
"25293","-37","-37","-37"
"25519","-37","-37","-37"
"25826","-18","-18","-18"
"26133","-27","-27","-27"
"26227","-37","-37","-37"
"26534","-26","-26","-26"
"26841","-26","-26","-26"
"27148","-25","-25","-25"
