"Step","SimpleQMIX_everything_later_blox_gamma0.95_lr0.0001_hidden128_target10__20241215_053215 - score","SimpleQMIX_everything_later_blox_gamma0.95_lr0.0001_hidden128_target10__20241215_053215 - score__MIN","SimpleQMIX_everything_later_blox_gamma0.95_lr0.0001_hidden128_target10__20241215_053215 - score__MAX"
"305","0","0","0"
"611","-3","-3","-3"
"917","-3","-3","-3"
"1223","8","8","8"
"1529","0","0","0"
"1835","0","0","0"
"2141","-2","-2","-2"
"2447","0","0","0"
"2753","0","0","0"
"3059","0","0","0"
"3365","0","0","0"
"3671","0","0","0"
"3977","0","0","0"
"4283","8","8","8"
"4589","0","0","0"
"4895","0","0","0"
"5201","15","15","15"
"5507","0","0","0"
"5813","-1","-1","-1"
"6119","0","0","0"
"6425","0","0","0"
"6731","0","0","0"
"7037","-1","-1","-1"
"7343","-3","-3","-3"
"7649","0","0","0"
"7955","3","3","3"
"8261","-2","-2","-2"
"8567","0","0","0"
"8873","0","0","0"
"9179","0","0","0"
"9485","-1","-1","-1"
"9791","-1","-1","-1"
"10097","2","2","2"
"10403","-2","-2","-2"
"10709","6","6","6"
"11015","0","0","0"
"11321","0","0","0"
"11627","-11","-11","-11"
"11933","0","0","0"
"12239","0","0","0"
"12545","0","0","0"
"12851","-13","-13","-13"
"13157","0","0","0"
"13463","0","0","0"
"13769","0","0","0"
"14075","0","0","0"
"14381","0","0","0"
"14687","-4","-4","-4"
"14993","0","0","0"
"15299","0","0","0"
"15605","0","0","0"
"15911","-1","-1","-1"
"16217","0","0","0"
"16523","0","0","0"
"16829","0","0","0"
"17135","0","0","0"
"17441","0","0","0"
"17747","0","0","0"
"18053","4","4","4"
"18359","0","0","0"
"18665","3","3","3"
"18971","0","0","0"
"19277","0","0","0"
"19583","0","0","0"
"19889","0","0","0"
"20195","0","0","0"
"20501","0","0","0"
"20807","0","0","0"
"21113","6","6","6"
"21419","-4","-4","-4"
"21725","-6","-6","-6"
"22031","0","0","0"
"22337","0","0","0"
"22643","0","0","0"
"22949","0","0","0"
"23255","0","0","0"
"23561","0","0","0"
"23867","-2","-2","-2"
"24173","0","0","0"
"24479","18","18","18"
"24785","0","0","0"
"25091","0","0","0"
"25397","0","0","0"
"25703","0","0","0"
"26009","0","0","0"
"26315","0","0","0"
"26621","-1","-1","-1"
"26927","0","0","0"
"27233","0","0","0"
"27539","0","0","0"
"27845","0","0","0"
"28151","-6","-6","-6"
"28457","0","0","0"
"28763","5","5","5"
"29069","0","0","0"
"29375","-7","-7","-7"
"29681","0","0","0"
"29987","0","0","0"
"30293","0","0","0"
"30599","0","0","0"
