"Step","SimpleQMIX_everything_random_blox_gamma0.95_lr0.0001_hidden128_target10__20241215_025034 - score","SimpleQMIX_everything_random_blox_gamma0.95_lr0.0001_hidden128_target10__20241215_025034 - score__MIN","SimpleQMIX_everything_random_blox_gamma0.95_lr0.0001_hidden128_target10__20241215_025034 - score__MAX"
"274","0","0","0"
"580","-1","-1","-1"
"886","0","0","0"
"1192","0","0","0"
"1498","-10","-10","-10"
"1804","0","0","0"
"2110","12","12","12"
"2416","0","0","0"
"2722","1","1","1"
"3028","0","0","0"
"3334","7","7","7"
"3640","0","0","0"
"3946","0","0","0"
"4252","0","0","0"
"4558","6","6","6"
"4864","0","0","0"
"5170","-10","-10","-10"
"5476","0","0","0"
"5782","0","0","0"
"6088","0","0","0"
"6394","1","1","1"
"6700","-5","-5","-5"
"7006","0","0","0"
"7312","0","0","0"
"7618","2","2","2"
"7924","0","0","0"
"8230","0","0","0"
"8536","10","10","10"
"8842","1","1","1"
"9148","-4","-4","-4"
"9454","0","0","0"
"9760","2","2","2"
"10066","0","0","0"
"10372","0","0","0"
"10678","2","2","2"
"10984","0","0","0"
"11290","2","2","2"
"11596","0","0","0"
"11902","2","2","2"
"12208","1","1","1"
"12514","0","0","0"
"12820","0","0","0"
"13126","11","11","11"
"13432","2","2","2"
"13738","4","4","4"
"14044","-5","-5","-5"
"14350","9","9","9"
"14656","10","10","10"
"14962","-5","-5","-5"
"15268","-1","-1","-1"
"15574","0","0","0"
"15880","0","0","0"
"16186","0","0","0"
"16492","0","0","0"
"16798","0","0","0"
"17104","-4","-4","-4"
"17410","0","0","0"
"17716","0","0","0"
"18022","7","7","7"
"18328","5","5","5"
"18634","-4","-4","-4"
"18940","6","6","6"
"19246","9","9","9"
"19552","0","0","0"
"19858","20","20","20"
"20164","-7","-7","-7"
"20470","8","8","8"
"20776","0","0","0"
"21082","0","0","0"
"21388","-4","-4","-4"
"21694","0","0","0"
"22000","0","0","0"
"22306","-4","-4","-4"
"22612","0","0","0"
"22918","7","7","7"
"23224","0","0","0"
"23530","3","3","3"
"23836","-15","-15","-15"
"24142","0","0","0"
"24448","0","0","0"
"24754","1","1","1"
"25060","0","0","0"
"25366","0","0","0"
"25672","0","0","0"
"25978","-4","-4","-4"
"26284","2","2","2"
"26590","0","0","0"
"26896","11","11","11"
"27202","0","0","0"
"27508","0","0","0"
"27814","4","4","4"
"28120","1","1","1"
"28426","0","0","0"
"28732","0","0","0"
"29038","0","0","0"
"29344","0","0","0"
"29650","12","12","12"
"29956","0","0","0"
"30262","12","12","12"
"30568","0","0","0"
"30874","0","0","0"
"31180","-3","-3","-3"
"31486","0","0","0"
"31792","0","0","0"
"32098","1","1","1"
"32404","-3","-3","-3"
"32710","1","1","1"
"33016","-4","-4","-4"
"33322","0","0","0"
"33628","12","12","12"
"33934","0","0","0"
"34240","-11","-11","-11"
"34546","0","0","0"
"34852","0","0","0"
"35158","0","0","0"
"35464","1","1","1"
"35770","0","0","0"
"36076","5","5","5"
"36382","-15","-15","-15"
"36688","-1","-1","-1"
"36994","0","0","0"
"37300","0","0","0"
"37606","0","0","0"
"37912","-4","-4","-4"
"38218","-7","-7","-7"
"38524","12","12","12"
"38830","0","0","0"
"39136","-1","-1","-1"
"39442","0","0","0"
"39748","20","20","20"
"40054","0","0","0"
"40360","0","0","0"
"40666","4","4","4"
"40972","12","12","12"
"41278","0","0","0"
"41584","0","0","0"
"41890","-2","-2","-2"
"42196","-2","-2","-2"
"42502","0","0","0"
"42808","0","0","0"
"43114","-6","-6","-6"
"43420","0","0","0"
"43726","0","0","0"
"44032","0","0","0"
"44338","0","0","0"
"44644","0","0","0"
"44950","0","0","0"
"45256","0","0","0"
"45562","0","0","0"
"45868","0","0","0"
"46174","0","0","0"
"46480","0","0","0"
"46786","0","0","0"
"47092","0","0","0"
"47398","-1","-1","-1"
"47704","0","0","0"
"48010","1","1","1"
"48316","0","0","0"
"48622","1","1","1"
"48928","2","2","2"
"49234","0","0","0"
"49540","0","0","0"
"49846","20","20","20"
"50152","25","25","25"
"50458","-2","-2","-2"
"50764","24","24","24"
"51070","-3","-3","-3"
"51376","5","5","5"
"51682","8","8","8"
"51988","0","0","0"
"52294","0","0","0"
"52600","-5","-5","-5"
"52906","0","0","0"
"53212","0","0","0"
"53518","0","0","0"
"53824","0","0","0"
"54130","1","1","1"
"54436","12","12","12"
"54742","0","0","0"
"55048","0","0","0"
"55354","-2","-2","-2"
"55660","0","0","0"
"55966","0","0","0"
"56272","20","20","20"
"56578","0","0","0"
"56884","-2","-2","-2"
"57190","0","0","0"
"57496","-1","-1","-1"
"57802","0","0","0"
"58108","0","0","0"
"58414","0","0","0"
"58720","-1","-1","-1"
"59026","-2","-2","-2"
"59332","14","14","14"
"59638","0","0","0"
"59944","-1","-1","-1"
"60250","-5","-5","-5"
"60556","0","0","0"
"60862","0","0","0"
"61168","27","27","27"
