"Step","IQL_CNN_blox_baseline__20241210_203307 - score","IQL_CNN_blox_baseline__20241210_203307 - score__MIN","IQL_CNN_blox_baseline__20241210_203307 - score__MAX"
"106","-37","-37","-37"
"301","-37","-37","-37"
"480","-37","-37","-37"
"649","-37","-37","-37"
"844","-37","-37","-37"
"1039","-37","-37","-37"
"1220","-37","-37","-37"
"1397","-37","-37","-37"
"1594","-37","-37","-37"
"1769","-37","-37","-37"
"1940","-37","-37","-37"
"2465","-37","-37","-37"
"2648","-37","-37","-37"
"2845","-37","-37","-37"
"3034","-37","-37","-37"
"3241","-37","-37","-37"
"3434","-37","-37","-37"
"3623","-37","-37","-37"
"3832","-37","-37","-37"
"4005","-37","-37","-37"
"4174","-37","-37","-37"
"4459","-37","-37","-37"
"4660","-37","-37","-37"
"4883","-37","-37","-37"
"5080","-37","-37","-37"
"5257","-37","-37","-37"
"5446","-37","-37","-37"
"5647","-37","-37","-37"
"5824","-37","-37","-37"
"6021","-37","-37","-37"
"6218","-37","-37","-37"
"6741","-37","-37","-37"
"6934","-37","-37","-37"
"7247","-37","-37","-37"
"7420","-37","-37","-37"
"7633","-37","-37","-37"
"7814","-37","-37","-37"
"8421","0","0","0"
"8614","-37","-37","-37"
"8811","-37","-37","-37"
"9262","-37","-37","-37"
"9463","-37","-37","-37"
"9656","-37","-37","-37"
"9989","-37","-37","-37"
"10520","-37","-37","-37"
"10717","-37","-37","-37"
"10914","-37","-37","-37"
"11111","-37","-37","-37"
"11718","0","0","0"
"11911","-37","-37","-37"
"12518","0","0","0"
"12699","-37","-37","-37"
"13140","-37","-37","-37"
"13341","-37","-37","-37"
"13542","-37","-37","-37"
"13715","-37","-37","-37"
"13892","-37","-37","-37"
"14067","-37","-37","-37"
"14450","-37","-37","-37"
"14631","-37","-37","-37"
"14824","-37","-37","-37"
"15431","0","0","0"
"15754","-37","-37","-37"
"15935","-37","-37","-37"
"16120","-37","-37","-37"
"16317","-37","-37","-37"
"16482","-37","-37","-37"
"16675","-37","-37","-37"
"17282","0","0","0"
"17447","-37","-37","-37"
"17616","-37","-37","-37"
"17947","-37","-37","-37"
"18144","-37","-37","-37"
"18317","-37","-37","-37"
"18514","-37","-37","-37"
"18787","-37","-37","-37"
"19008","-37","-37","-37"
"19615","0","0","0"
"19812","-37","-37","-37"
"20231","-37","-37","-37"
"20440","-37","-37","-37"
"20747","-37","-37","-37"
"20920","-37","-37","-37"
"21217","-37","-37","-37"
"21420","-37","-37","-37"
"21601","-37","-37","-37"
"21770","-37","-37","-37"
"21967","-37","-37","-37"
"22156","-37","-37","-37"
"22321","-37","-37","-37"
"22498","-37","-37","-37"
"22805","-37","-37","-37"
"23006","-37","-37","-37"
"23391","-37","-37","-37"
"23870","-37","-37","-37"
"24055","-37","-37","-37"
"24228","-37","-37","-37"
"24681","-37","-37","-37"
"25242","-37","-37","-37"
"25763","-37","-37","-37"
