"Step","SimpleQMIX_CNN_random_blox_basic__20241211_101837 - score","SimpleQMIX_CNN_random_blox_basic__20241211_101837 - score__MIN","SimpleQMIX_CNN_random_blox_basic__20241211_101837 - score__MAX"
"81364","-14","-14","-14"
"81670","0","0","0"
"81976","0","0","0"
"82282","5","5","5"
"82588","12","12","12"
"82894","-6","-6","-6"
"83200","8","8","8"
"83506","-5","-5","-5"
"83812","0","0","0"
"84118","0","0","0"
"84424","6","6","6"
"84730","0","0","0"
"85036","2","2","2"
"85342","13","13","13"
"85648","7","7","7"
"85954","0","0","0"
"86260","-3","-3","-3"
"86566","0","0","0"
"86872","0","0","0"
"87178","19","19","19"
"87484","8","8","8"
"87790","9","9","9"
"88096","3","3","3"
"88402","-6","-6","-6"
"88708","0","0","0"
"89014","20","20","20"
"89320","10","10","10"
"89626","7","7","7"
"89932","10","10","10"
"90238","11","11","11"
"90544","-3","-3","-3"
"90850","-2","-2","-2"
"91156","0","0","0"
"91462","10","10","10"
"91768","14","14","14"
