"Step","SimpleQMIX_everything_later_blox_gamma0.995_lr0.0001_hidden128_target10__20241215_172813 - score","SimpleQMIX_everything_later_blox_gamma0.995_lr0.0001_hidden128_target10__20241215_172813 - score__MIN","SimpleQMIX_everything_later_blox_gamma0.995_lr0.0001_hidden128_target10__20241215_172813 - score__MAX"
"305","0","0","0"
"611","8","8","8"
"917","20","20","20"
"1223","11","11","11"
"1529","0","0","0"
"1835","0","0","0"
"2141","-1","-1","-1"
"2447","0","0","0"
"2753","-3","-3","-3"
"3059","0","0","0"
"3365","-4","-4","-4"
"3671","0","0","0"
"3977","0","0","0"
"4283","0","0","0"
"4589","4","4","4"
"4895","0","0","0"
"5201","0","0","0"
"5507","1","1","1"
"5813","3","3","3"
"6119","0","0","0"
"6425","-1","-1","-1"
"6731","0","0","0"
"7037","0","0","0"
"7343","0","0","0"
"7649","0","0","0"
"7955","0","0","0"
"8261","-1","-1","-1"
"8567","0","0","0"
"8873","0","0","0"
"9179","4","4","4"
"9485","0","0","0"
"9791","0","0","0"
"10097","0","0","0"
"10403","0","0","0"
"10709","7","7","7"
"11015","0","0","0"
"11321","8","8","8"
"11627","-2","-2","-2"
"11933","-4","-4","-4"
"12239","6","6","6"
"12545","17","17","17"
"12851","0","0","0"
"13157","-4","-4","-4"
"13463","13","13","13"
"13769","4","4","4"
"14075","0","0","0"
"14381","10","10","10"
"14687","2","2","2"
"14993","-1","-1","-1"
"15299","0","0","0"
"15605","0","0","0"
"15911","0","0","0"
"16217","-2","-2","-2"
"16523","0","0","0"
"16829","2","2","2"
"17135","0","0","0"
"17441","0","0","0"
"17747","0","0","0"
"18053","0","0","0"
"18359","0","0","0"
"18665","0","0","0"
"18971","0","0","0"
"19277","0","0","0"
"19583","6","6","6"
"19889","0","0","0"
"20195","-1","-1","-1"
"20501","0","0","0"
"20807","0","0","0"
"21113","0","0","0"
"21419","0","0","0"
"21725","-1","-1","-1"
"22031","0","0","0"
"22337","0","0","0"
"22643","0","0","0"
"22949","1","1","1"
"23255","6","6","6"
"23561","0","0","0"
"23867","0","0","0"
"24173","0","0","0"
"24479","0","0","0"
"24785","4","4","4"
"25091","0","0","0"
"25397","5","5","5"
"25703","0","0","0"
"26009","5","5","5"
"26315","0","0","0"
"26621","0","0","0"
"26927","0","0","0"
"27233","9","9","9"
"27539","10","10","10"
"27845","0","0","0"
"28151","0","0","0"
"28457","4","4","4"
"28763","-1","-1","-1"
"29069","4","4","4"
"29375","6","6","6"
"29681","6","6","6"
"29987","0","0","0"
"30293","4","4","4"
"30599","3","3","3"
