"Step","SimpleQMIX_everything_random_blox_gamma0.995_lr0.0001_hidden128_target10__20241215_161447 - blue_player2_reward","SimpleQMIX_everything_random_blox_gamma0.995_lr0.0001_hidden128_target10__20241215_161447 - blue_player2_reward__MIN","SimpleQMIX_everything_random_blox_gamma0.995_lr0.0001_hidden128_target10__20241215_161447 - blue_player2_reward__MAX"
"272","13.310000000000002","13.310000000000002","13.310000000000002"
"578","7.480000000000012","7.480000000000012","7.480000000000012"
"884","2.2300000000000013","2.2300000000000013","2.2300000000000013"
"1190","6.290000000000009","6.290000000000009","6.290000000000009"
"1496","4.11999999999999","4.11999999999999","4.11999999999999"
"1802","18.03000000000001","18.03000000000001","18.03000000000001"
"2108","0.5599999999999956","0.5599999999999956","0.5599999999999956"
"2414","-4.679999999999996","-4.679999999999996","-4.679999999999996"
"2720","1.7599999999999951","1.7599999999999951","1.7599999999999951"
"3026","-8.500000000000027","-8.500000000000027","-8.500000000000027"
"3332","-3.3800000000000057","-3.3800000000000057","-3.3800000000000057"
"3638","-9.53000000000005","-9.53000000000005","-9.53000000000005"
"3944","-6.529999999999994","-6.529999999999994","-6.529999999999994"
"4250","2.3400000000000016","2.3400000000000016","2.3400000000000016"
"4556","5.0900000000000025","5.0900000000000025","5.0900000000000025"
"4862","0.7300000000000004","0.7300000000000004","0.7300000000000004"
"5168","5.49999999999998","5.49999999999998","5.49999999999998"
"5474","-9.380000000000036","-9.380000000000036","-9.380000000000036"
"5780","12.589999999999984","12.589999999999984","12.589999999999984"
"6086","21.32000000000006","21.32000000000006","21.32000000000006"
"6392","-4.1700000000000035","-4.1700000000000035","-4.1700000000000035"
"6698","15.989999999999947","15.989999999999947","15.989999999999947"
"7004","3.989999999999985","3.989999999999985","3.989999999999985"
"7310","6.19","6.19","6.19"
"7616","-0.35000000000000075","-0.35000000000000075","-0.35000000000000075"
"7922","-6.649999999999987","-6.649999999999987","-6.649999999999987"
"8228","-5.930000000000025","-5.930000000000025","-5.930000000000025"
"8534","-5.069999999999985","-5.069999999999985","-5.069999999999985"
"8840","6.81","6.81","6.81"
"9146","5.749999999999996","5.749999999999996","5.749999999999996"
"9452","6.529999999999999","6.529999999999999","6.529999999999999"
"9758","2.899999999999997","2.899999999999997","2.899999999999997"
"10064","16.629999999999974","16.629999999999974","16.629999999999974"
"10370","12.609999999999967","12.609999999999967","12.609999999999967"
"10676","23.370000000000033","23.370000000000033","23.370000000000033"
"10982","13.109999999999962","13.109999999999962","13.109999999999962"
"11288","8.509999999999955","8.509999999999955","8.509999999999955"
"11594","3.3099999999999903","3.3099999999999903","3.3099999999999903"
"11900","2.2599999999999945","2.2599999999999945","2.2599999999999945"
"12206","20.570000000000032","20.570000000000032","20.570000000000032"
