"Step","SimpleQMIX_everything_later_blox_gamma0.995_lr0.0001_hidden128_target10__20241215_172813 - blue_player2_reward","SimpleQMIX_everything_later_blox_gamma0.995_lr0.0001_hidden128_target10__20241215_172813 - blue_player2_reward__MIN","SimpleQMIX_everything_later_blox_gamma0.995_lr0.0001_hidden128_target10__20241215_172813 - blue_player2_reward__MAX"
"303","55.370000000000125","55.370000000000125","55.370000000000125"
"609","55.14000000000019","55.14000000000019","55.14000000000019"
"915","90.94000000000001","90.94000000000001","90.94000000000001"
"1221","48.000000000000306","48.000000000000306","48.000000000000306"
"1527","0.8699999999999803","0.8699999999999803","0.8699999999999803"
"1833","10.429999999999977","10.429999999999977","10.429999999999977"
"2139","-16.379999999999974","-16.379999999999974","-16.379999999999974"
"2445","-21.789999999999985","-21.789999999999985","-21.789999999999985"
"2751","-17.069999999999993","-17.069999999999993","-17.069999999999993"
"3057","-22.119999999999987","-22.119999999999987","-22.119999999999987"
"3363","-22.19000000000003","-22.19000000000003","-22.19000000000003"
"3669","-6.680000000000005","-6.680000000000005","-6.680000000000005"
"3975","-21.500000000000053","-21.500000000000053","-21.500000000000053"
"4281","-4.059999999999999","-4.059999999999999","-4.059999999999999"
"4587","-21.550000000000015","-21.550000000000015","-21.550000000000015"
"4893","-25.720000000000006","-25.720000000000006","-25.720000000000006"
"5199","-23.379999999999985","-23.379999999999985","-23.379999999999985"
"5505","-22.770000000000017","-22.770000000000017","-22.770000000000017"
"5811","-20.70000000000002","-20.70000000000002","-20.70000000000002"
"6117","-20.039999999999985","-20.039999999999985","-20.039999999999985"
"6423","-5.510000000000009","-5.510000000000009","-5.510000000000009"
"6729","-2.9700000000000184","-2.9700000000000184","-2.9700000000000184"
"7035","-1.4800000000000022","-1.4800000000000022","-1.4800000000000022"
"7341","0.15999999999999798","0.15999999999999798","0.15999999999999798"
"7647","4.659999999999996","4.659999999999996","4.659999999999996"
"7953","-10.190000000000005","-10.190000000000005","-10.190000000000005"
"8259","-1.640000000000001","-1.640000000000001","-1.640000000000001"
"8565","-0.35000000000000797","-0.35000000000000797","-0.35000000000000797"
"8871","-9.630000000000026","-9.630000000000026","-9.630000000000026"
"9177","0.5099999999999985","0.5099999999999985","0.5099999999999985"
"9483","1.3499999999999968","1.3499999999999968","1.3499999999999968"
"9789","9.079999999999965","9.079999999999965","9.079999999999965"
"10095","4.46999999999999","4.46999999999999","4.46999999999999"
"10401","-1.2600000000000071","-1.2600000000000071","-1.2600000000000071"
"10707","31.92000000000001","31.92000000000001","31.92000000000001"
"11013","12.469999999999976","12.469999999999976","12.469999999999976"
"11319","15.849999999999973","15.849999999999973","15.849999999999973"
"11625","18.94999999999999","18.94999999999999","18.94999999999999"
"11931","0.3299999999999974","0.3299999999999974","0.3299999999999974"
"12237","24.22000000000003","24.22000000000003","24.22000000000003"
"12543","32.18000000000009","32.18000000000009","32.18000000000009"
"12849","-25.049999999999986","-25.049999999999986","-25.049999999999986"
"13155","-23.779999999999966","-23.779999999999966","-23.779999999999966"
"13461","0.9899999999999707","0.9899999999999707","0.9899999999999707"
"13767","15.989999999999934","15.989999999999934","15.989999999999934"
"14073","-5.710000000000009","-5.710000000000009","-5.710000000000009"
"14379","40.06000000000012","40.06000000000012","40.06000000000012"
"14685","34.920000000000265","34.920000000000265","34.920000000000265"
"14991","-11.170000000000034","-11.170000000000034","-11.170000000000034"
"15297","-17.290000000000024","-17.290000000000024","-17.290000000000024"
"15603","-22.509999999999973","-22.509999999999973","-22.509999999999973"
"15909","-30.64000000000006","-30.64000000000006","-30.64000000000006"
"16215","-28.020000000000042","-28.020000000000042","-28.020000000000042"
"16521","-17.469999999999995","-17.469999999999995","-17.469999999999995"
"16827","-9.510000000000016","-9.510000000000016","-9.510000000000016"
"17133","-6.5300000000000065","-6.5300000000000065","-6.5300000000000065"
"17439","-1.2400000000000027","-1.2400000000000027","-1.2400000000000027"
"17745","-0.5199999999999995","-0.5199999999999995","-0.5199999999999995"
"18051","-0.2399999999999999","-0.2399999999999999","-0.2399999999999999"
"18357","-29.46999999999997","-29.46999999999997","-29.46999999999997"
"18663","-31.15999999999996","-31.15999999999996","-31.15999999999996"
"18969","-23.189999999999987","-23.189999999999987","-23.189999999999987"
"19275","-8.170000000000053","-8.170000000000053","-8.170000000000053"
"19581","15.869999999999997","15.869999999999997","15.869999999999997"
"19887","-3.7100000000000004","-3.7100000000000004","-3.7100000000000004"
"20193","2.9099999999999984","2.9099999999999984","2.9099999999999984"
"20499","3.2999999999999954","3.2999999999999954","3.2999999999999954"
"20805","2.170000000000001","2.170000000000001","2.170000000000001"
"21111","2.9099999999999984","2.9099999999999984","2.9099999999999984"
"21417","-3.6700000000000013","-3.6700000000000013","-3.6700000000000013"
