"Step","SimpleQMIX_everything_random_blox_gamma0.995_lr0.0001_hidden128_target10__20241215_161447 - score","SimpleQMIX_everything_random_blox_gamma0.995_lr0.0001_hidden128_target10__20241215_161447 - score__MIN","SimpleQMIX_everything_random_blox_gamma0.995_lr0.0001_hidden128_target10__20241215_161447 - score__MAX"
"274","10","10","10"
"580","0","0","0"
"886","0","0","0"
"1192","0","0","0"
"1498","0","0","0"
"1804","0","0","0"
"2110","-4","-4","-4"
"2416","0","0","0"
"2722","0","0","0"
"3028","0","0","0"
"3334","0","0","0"
"3640","4","4","4"
"3946","0","0","0"
"4252","0","0","0"
"4558","0","0","0"
"4864","0","0","0"
"5170","-4","-4","-4"
"5476","0","0","0"
"5782","-3","-3","-3"
"6088","1","1","1"
"6394","-4","-4","-4"
"6700","0","0","0"
"7006","0","0","0"
"7312","3","3","3"
"7618","0","0","0"
"7924","0","0","0"
"8230","0","0","0"
"8536","0","0","0"
"8842","-5","-5","-5"
"9148","0","0","0"
"9454","1","1","1"
"9760","2","2","2"
"10066","0","0","0"
"10372","6","6","6"
"10678","-10","-10","-10"
"10984","3","3","3"
"11290","2","2","2"
"11596","-2","-2","-2"
"11902","0","0","0"
"12208","4","4","4"
"12514","0","0","0"
"12820","0","0","0"
"13126","12","12","12"
"13432","0","0","0"
"13738","7","7","7"
"14044","4","4","4"
"14350","0","0","0"
"14656","0","0","0"
"14962","1","1","1"
"15268","1","1","1"
"15574","15","15","15"
"15880","9","9","9"
"16186","2","2","2"
"16492","6","6","6"
"16798","4","4","4"
"17104","0","0","0"
"17410","0","0","0"
"17716","0","0","0"
"18022","-4","-4","-4"
"18328","3","3","3"
"18634","5","5","5"
"18940","0","0","0"
"19246","8","8","8"
"19552","14","14","14"
"19858","2","2","2"
"20164","3","3","3"
"20470","11","11","11"
"20776","6","6","6"
"21082","0","0","0"
"21388","5","5","5"
"21694","0","0","0"
"22000","0","0","0"
"22306","6","6","6"
"22612","7","7","7"
"22918","-1","-1","-1"
"23224","25","25","25"
"23530","-5","-5","-5"
"23836","15","15","15"
"24142","1","1","1"
"24448","3","3","3"
"24754","5","5","5"
"25060","8","8","8"
"25366","0","0","0"
"25672","10","10","10"
"25978","0","0","0"
"26284","-1","-1","-1"
"26590","8","8","8"
"26896","3","3","3"
"27202","0","0","0"
"27508","5","5","5"
"27814","0","0","0"
"28120","0","0","0"
"28426","10","10","10"
"28732","3","3","3"
"29038","6","6","6"
"29344","3","3","3"
"29650","4","4","4"
"29956","4","4","4"
"30262","15","15","15"
"30568","3","3","3"
"30874","1","1","1"
"31180","4","4","4"
"31486","-9","-9","-9"
"31792","-1","-1","-1"
"32098","0","0","0"
"32404","1","1","1"
"32710","0","0","0"
"33016","0","0","0"
"33322","3","3","3"
"33628","0","0","0"
"33934","0","0","0"
"34240","7","7","7"
"34546","0","0","0"
"34852","1","1","1"
"35158","0","0","0"
"35464","-4","-4","-4"
"35770","5","5","5"
"36076","12","12","12"
"36382","-6","-6","-6"
"36688","11","11","11"
"36994","5","5","5"
"37300","8","8","8"
"37606","9","9","9"
"37912","3","3","3"
"38218","7","7","7"
"38524","1","1","1"
"38830","5","5","5"
"39136","8","8","8"
"39442","-5","-5","-5"
"39748","0","0","0"
"40054","0","0","0"
"40360","0","0","0"
"40666","0","0","0"
"40972","0","0","0"
"41278","-1","-1","-1"
"41584","2","2","2"
"41890","3","3","3"
"42196","9","9","9"
"42502","11","11","11"
"42808","12","12","12"
"43114","4","4","4"
"43420","0","0","0"
"43726","8","8","8"
"44032","1","1","1"
"44338","0","0","0"
"44644","5","5","5"
"44950","10","10","10"
"45256","0","0","0"
"45562","3","3","3"
"45868","9","9","9"
"46174","0","0","0"
"46480","0","0","0"
"46786","0","0","0"
"47092","3","3","3"
"47398","-3","-3","-3"
"47704","-1","-1","-1"
"48010","0","0","0"
"48316","2","2","2"
"48622","0","0","0"
"48928","0","0","0"
"49234","0","0","0"
"49540","14","14","14"
"49846","-1","-1","-1"
"50152","0","0","0"
"50458","0","0","0"
"50764","0","0","0"
"51070","0","0","0"
"51376","0","0","0"
"51682","0","0","0"
"51988","18","18","18"
"52294","-4","-4","-4"
"52600","3","3","3"
"52906","1","1","1"
"53212","-4","-4","-4"
"53518","11","11","11"
"53824","1","1","1"
"54130","0","0","0"
"54436","-4","-4","-4"
"54742","0","0","0"
"55048","0","0","0"
"55354","-7","-7","-7"
"55660","0","0","0"
"55966","0","0","0"
"56272","4","4","4"
"56578","-1","-1","-1"
"56884","2","2","2"
"57190","3","3","3"
"57496","4","4","4"
"57802","0","0","0"
"58108","0","0","0"
"58414","3","3","3"
"58720","0","0","0"
"59026","0","0","0"
"59332","5","5","5"
"59638","-1","-1","-1"
"59944","6","6","6"
"60250","-6","-6","-6"
"60556","8","8","8"
"60862","7","7","7"
"61168","15","15","15"
