"Step","SimpleQMIX_everything_later_blox_gamma0.95_lr0.0001_hidden64_target20__20241215_000737 - blue_player2_reward","SimpleQMIX_everything_later_blox_gamma0.95_lr0.0001_hidden64_target20__20241215_000737 - blue_player2_reward__MIN","SimpleQMIX_everything_later_blox_gamma0.95_lr0.0001_hidden64_target20__20241215_000737 - blue_player2_reward__MAX"
"303","13.430000000000017","13.430000000000017","13.430000000000017"
"609","-17.320000000000004","-17.320000000000004","-17.320000000000004"
"915","-4.500000000000003","-4.500000000000003","-4.500000000000003"
"1221","-14.870000000000033","-14.870000000000033","-14.870000000000033"
"1527","49.460000000000214","49.460000000000214","49.460000000000214"
"1833","11.79000000000001","11.79000000000001","11.79000000000001"
"2139","14.139999999999944","14.139999999999944","14.139999999999944"
"2445","-3.070000000000034","-3.070000000000034","-3.070000000000034"
"2751","4.389999999999993","4.389999999999993","4.389999999999993"
"3057","-6.830000000000006","-6.830000000000006","-6.830000000000006"
"3363","-12.920000000000073","-12.920000000000073","-12.920000000000073"
"3669","19.490000000000013","19.490000000000013","19.490000000000013"
"3975","11.739999999999936","11.739999999999936","11.739999999999936"
"4281","8.210000000000003","8.210000000000003","8.210000000000003"
"4587","22.69","22.69","22.69"
"4893","9.549999999999986","9.549999999999986","9.549999999999986"
"5199","22.930000000000053","22.930000000000053","22.930000000000053"
"5505","-16.98","-16.98","-16.98"
"5811","7.080000000000004","7.080000000000004","7.080000000000004"
"6117","20.61","20.61","20.61"
"6423","-10.700000000000001","-10.700000000000001","-10.700000000000001"
"6729","51.47000000000015","51.47000000000015","51.47000000000015"
"7035","22.15999999999996","22.15999999999996","22.15999999999996"
"7341","-0.9600000000000027","-0.9600000000000027","-0.9600000000000027"
"7647","18.020000000000035","18.020000000000035","18.020000000000035"
"7953","14.349999999999985","14.349999999999985","14.349999999999985"
"8259","5.350000000000014","5.350000000000014","5.350000000000014"
"8565","47.11000000000006","47.11000000000006","47.11000000000006"
"8871","19.740000000000098","19.740000000000098","19.740000000000098"
"9177","-6.8300000000000285","-6.8300000000000285","-6.8300000000000285"
"9483","-14.570000000000034","-14.570000000000034","-14.570000000000034"
"9789","-6.5999999999999845","-6.5999999999999845","-6.5999999999999845"
"10095","-11.930000000000064","-11.930000000000064","-11.930000000000064"
