"Step","SimpleQMIX_everything_varying_blox_gamma0.95_lr0.0001_hidden64_target20__20241215_010833 - blue_player1_reward","SimpleQMIX_everything_varying_blox_gamma0.95_lr0.0001_hidden64_target20__20241215_010833 - blue_player1_reward__MIN","SimpleQMIX_everything_varying_blox_gamma0.95_lr0.0001_hidden64_target20__20241215_010833 - blue_player1_reward__MAX"
"303","88.9499999999999","88.9499999999999","88.9499999999999"
"610","76.65999999999983","76.65999999999983","76.65999999999983"
"917","136.66000000000022","136.66000000000022","136.66000000000022"
"1224","104.06999999999982","104.06999999999982","104.06999999999982"
"1531","50.18000000000031","50.18000000000031","50.18000000000031"
"1838","5.689999999999956","5.689999999999956","5.689999999999956"
"2145","131.56000000000006","131.56000000000006","131.56000000000006"
"2452","114.47999999999995","114.47999999999995","114.47999999999995"
"2759","46.20000000000047","46.20000000000047","46.20000000000047"
"3066","68.41000000000032","68.41000000000032","68.41000000000032"
"3373","58.76000000000033","58.76000000000033","58.76000000000033"
"3680","75.56000000000016","75.56000000000016","75.56000000000016"
"3987","123.0000000000002","123.0000000000002","123.0000000000002"
"4294","80.47999999999995","80.47999999999995","80.47999999999995"
"4601","36.06000000000022","36.06000000000022","36.06000000000022"
"4706","12.430000000000014","12.430000000000014","12.430000000000014"
"5013","123.62999999999987","123.62999999999987","123.62999999999987"
"5320","17.83000000000003","17.83000000000003","17.83000000000003"
"5627","74.59000000000015","74.59000000000015","74.59000000000015"
"5934","126.67999999999994","126.67999999999994","126.67999999999994"
"6241","128.86999999999986","128.86999999999986","128.86999999999986"
"6548","22.830000000000037","22.830000000000037","22.830000000000037"
"6855","101.17999999999971","101.17999999999971","101.17999999999971"
"6955","11.309999999999999","11.309999999999999","11.309999999999999"
"7057","14.900000000000027","14.900000000000027","14.900000000000027"
"7364","85.82000000000009","85.82000000000009","85.82000000000009"
"7468","15.709999999999996","15.709999999999996","15.709999999999996"
"7775","88.4699999999998","88.4699999999998","88.4699999999998"
"8050","18.65999999999996","18.65999999999996","18.65999999999996"
"8357","66.82000000000014","66.82000000000014","66.82000000000014"
"8664","44.97000000000018","44.97000000000018","44.97000000000018"
"8763","3.6199999999999974","3.6199999999999974","3.6199999999999974"
"9070","66.45999999999995","66.45999999999995","66.45999999999995"
"9176","-0.360000000000003","-0.360000000000003","-0.360000000000003"
"9483","20.750000000000007","20.750000000000007","20.750000000000007"
"9790","65.73000000000003","65.73000000000003","65.73000000000003"
"9888","2.4500000000000055","2.4500000000000055","2.4500000000000055"
"10027","16.85999999999997","16.85999999999997","16.85999999999997"
"10334","64.8500000000003","64.8500000000003","64.8500000000003"
"10641","40.54000000000007","40.54000000000007","40.54000000000007"
"10743","50.66000000000001","50.66000000000001","50.66000000000001"
"10848","4.90000000000001","4.90000000000001","4.90000000000001"
"11155","75.85999999999983","75.85999999999983","75.85999999999983"
"11462","56.85000000000038","56.85000000000038","56.85000000000038"
"11565","32.610000000000035","32.610000000000035","32.610000000000035"
"11872","62.85000000000039","62.85000000000039","62.85000000000039"
"11970","0.8699999999999806","0.8699999999999806","0.8699999999999806"
"12277","59.74000000000042","59.74000000000042","59.74000000000042"
"12376","24.790000000000003","24.790000000000003","24.790000000000003"
"12683","48.820000000000555","48.820000000000555","48.820000000000555"
"12787","0.7300000000000031","0.7300000000000031","0.7300000000000031"
"13094","41.56000000000038","41.56000000000038","41.56000000000038"
"13401","21.90000000000004","21.90000000000004","21.90000000000004"
"13708","42.44000000000051","42.44000000000051","42.44000000000051"
"14015","46.61000000000052","46.61000000000052","46.61000000000052"
"14322","53.970000000000496","53.970000000000496","53.970000000000496"
"14629","52.29000000000042","52.29000000000042","52.29000000000042"
"14729","30.190000000000037","30.190000000000037","30.190000000000037"
"15036","48.83000000000045","48.83000000000045","48.83000000000045"
"15343","43.030000000000335","43.030000000000335","43.030000000000335"
"15650","39.420000000000385","39.420000000000385","39.420000000000385"
"15957","50.17000000000049","50.17000000000049","50.17000000000049"
"16264","47.48000000000046","47.48000000000046","47.48000000000046"
"16571","46.050000000000416","46.050000000000416","46.050000000000416"
"16878","55.54000000000058","55.54000000000058","55.54000000000058"
"17185","46.60000000000051","46.60000000000051","46.60000000000051"
"17492","36.870000000000545","36.870000000000545","36.870000000000545"
"17799","60.220000000000574","60.220000000000574","60.220000000000574"
"18056","49.00000000000045","49.00000000000045","49.00000000000045"
"18363","45.1300000000006","45.1300000000006","45.1300000000006"
"18670","52.86000000000064","52.86000000000064","52.86000000000064"
"18764","-1.0699999999999994","-1.0699999999999994","-1.0699999999999994"
"19071","43.620000000000594","43.620000000000594","43.620000000000594"
"19378","48.21000000000059","48.21000000000059","48.21000000000059"
"19685","39.66000000000054","39.66000000000054","39.66000000000054"
"19786","32.790000000000006","32.790000000000006","32.790000000000006"
"20093","53.100000000000634","53.100000000000634","53.100000000000634"
"20400","52.96000000000047","52.96000000000047","52.96000000000047"
"20707","47.13000000000045","47.13000000000045","47.13000000000045"
"21014","49.690000000000396","49.690000000000396","49.690000000000396"
"21321","56.43000000000056","56.43000000000056","56.43000000000056"
"21628","47.24000000000056","47.24000000000056","47.24000000000056"
"21935","49.890000000000576","49.890000000000576","49.890000000000576"
"22242","61.45000000000056","61.45000000000056","61.45000000000056"
"22549","56.450000000000635","56.450000000000635","56.450000000000635"
"22856","60.020000000000664","60.020000000000664","60.020000000000664"
"23163","16.919999999999913","16.919999999999913","16.919999999999913"
"23470","23.949999999999925","23.949999999999925","23.949999999999925"
"23777","21.569999999999986","21.569999999999986","21.569999999999986"
