Step,SimpleQMIX_everything_random_blox_gamma0.95_lr0.0001_hidden64_target20__20241214_222340 - score,SimpleQMIX_everything_random_blox_gamma0.95_lr0.0001_hidden64_target20__20241214_222340 - score__MIN,SimpleQMIX_everything_random_blox_gamma0.95_lr0.0001_hidden64_target20__20241214_222340 - score__MAX
274,0,0,0
580,0,0,0
886,0,0,0
1192,0,0,0
1498,0,0,0
1804,-2,-2,-2
2110,0,0,0
2416,0,0,0
2722,0,0,0
3028,0,0,0
3334,0,0,0
3640,-1,-1,-1
3946,0,0,0
4252,11,11,11
4558,0,0,0
4864,0,0,0
5170,-9,-9,-9
5476,0,0,0
5782,2,2,2
6088,6,6,6
6394,-7,-7,-7
6700,13,13,13
7006,6,6,6
7312,10,10,10
7618,7,7,7
7924,6,6,6
8230,0,0,0
8536,1,1,1
8842,0,0,0
9148,0,0,0
9454,0,0,0
9760,0,0,0
10066,0,0,0
10372,3,3,3
10678,7,7,7
10984,0,0,0
11290,1,1,1
11596,6,6,6
11902,3,3,3
12208,0,0,0
12514,-1,-1,-1
12820,6,6,6
13126,4,4,4
13432,3,3,3
13738,-3,-3,-3
14044,0,0,0
14350,1,1,1
14656,6,6,6
14962,0,0,0
15268,14,14,14
15574,11,11,11
15880,3,3,3
16186,0,0,0
16492,9,9,9
16798,0,0,0
17104,11,11,11
17410,0,0,0
17716,16,16,16
18022,7,7,7
18328,7,7,7
18634,0,0,0
18940,9,9,9
19246,5,5,5
19552,-11,-11,-11
19858,9,9,9
20164,6,6,6
20470,2,2,2
20776,-3,-3,-3
21082,19,19,19
21388,7,7,7
21694,17,17,17
22000,20,20,20
22306,8,8,8
22612,14,14,14
22918,14,14,14
23224,19,19,19
23530,2,2,2
23836,0,0,0
24142,2,2,2
24448,0,0,0
24754,1,1,1
25060,8,8,8
25366,0,0,0
25672,12,12,12
25978,14,14,14
26284,7,7,7
26590,11,11,11
26896,1,1,1
27202,4,4,4
27508,7,7,7
27814,9,9,9
28120,6,6,6
28426,11,11,11
28732,9,9,9
29038,6,6,6
29344,-9,-9,-9
29650,16,16,16
29956,5,5,5
30262,21,21,21
30568,13,13,13
30874,11,11,11
31180,7,7,7
31486,5,5,5
31792,8,8,8
32098,9,9,9
32404,7,7,7
32710,10,10,10
33016,20,20,20
33322,12,12,12
33628,20,20,20
33934,6,6,6
34240,10,10,10
34546,9,9,9
34852,10,10,10
35158,5,5,5
35464,6,6,6
35770,13,13,13
36076,15,15,15
36382,10,10,10
36688,4,4,4
36994,3,3,3
37300,19,19,19
37606,0,0,0
37912,-4,-4,-4
38218,8,8,8
38524,17,17,17
38830,-2,-2,-2
39136,28,28,28
39442,9,9,9
39748,8,8,8
40054,3,3,3
40360,12,12,12
40666,8,8,8
40972,5,5,5
41278,17,17,17
41584,15,15,15
41890,14,14,14
42196,23,23,23
42502,15,15,15
42808,14,14,14
43114,4,4,4
43420,11,11,11
43726,11,11,11
44032,6,6,6
44338,4,4,4
44644,7,7,7
44950,11,11,11
45256,6,6,6
45562,-5,-5,-5
45868,9,9,9
46174,10,10,10
46480,7,7,7
46786,17,17,17
47092,9,9,9
47398,6,6,6
47704,9,9,9
48010,9,9,9
48316,10,10,10
48622,9,9,9
48928,7,7,7
49234,11,11,11
49540,10,10,10
49846,3,3,3
50152,17,17,17
50458,-1,-1,-1
50764,9,9,9
51070,13,13,13
51376,13,13,13
51682,16,16,16
51988,11,11,11
52294,13,13,13
52600,15,15,15
52906,2,2,2
53212,14,14,14
53518,0,0,0
53824,0,0,0
54130,0,0,0
54436,16,16,16
54742,30,30,30
55048,0,0,0
55354,0,0,0
55660,-5,-5,-5
55966,5,5,5
56272,27,27,27
56578,13,13,13
56884,4,4,4
57190,5,5,5
57496,8,8,8
57802,10,10,10
58108,6,6,6
58414,0,0,0
58720,0,0,0
59026,5,5,5
59332,11,11,11
59638,11,11,11
59944,16,16,16
60250,22,22,22
60556,18,18,18
60862,6,6,6
61168,20,20,20
