Step,SimpleQMIX_everything_random_blox_gamma0.95_lr0.0001_hidden64_target20__20241214_222340 - blue_player2_reward,SimpleQMIX_everything_random_blox_gamma0.95_lr0.0001_hidden64_target20__20241214_222340 - blue_player2_reward__MIN,SimpleQMIX_everything_random_blox_gamma0.95_lr0.0001_hidden64_target20__20241214_222340 - blue_player2_reward__MAX
272,2.45,2.45,2.45
578,3.07,3.07,3.07
884,5.41,5.41,5.41
1190,4.74,4.74,4.74
1496,-1.19,-1.19,-1.19
1802,13.76,13.76,13.76
2108,-0.81,-0.81,-0.81
2414,-2.41,-2.41,-2.41
2720,7.35,7.35,7.35
3026,17.88,17.88,17.88
3332,4.98,4.98,4.98
3638,20.6,20.6,20.6
3944,-14.39,-14.39,-14.39
4250,-1.56,-1.56,-1.56
4556,-14.18,-14.18,-14.18
4862,-15.13,-15.13,-15.13
5168,-14.92,-14.92,-14.92
5474,-15.79,-15.79,-15.79
5780,-11.11,-11.11,-11.11
6086,6.65,6.65,6.65
6392,11,11,11
6698,29.25,29.25,29.25
7004,22.91,22.91,22.91
7310,6.18,6.18,6.18
7616,-9.21,-9.21,-9.21
7922,-4.44,-4.44,-4.44
8228,-16.22,-16.22,-16.22
8534,-9.97,-9.97,-9.97
8840,3.02,3.02,3.02
9146,3.9,3.9,3.9
9452,-12.72,-12.72,-12.72
9758,18.89,18.89,18.89
10064,-10.76,-10.76,-10.76
10370,9.6,9.6,9.6
10676,3.51,3.51,3.51
10982,0.31,0.31,0.31
11288,-12.7,-12.7,-12.7
11594,11.21,11.21,11.21
11900,-0.26,-0.26,-0.26
12206,2.23,2.23,2.23
12512,11.68,11.68,11.68
12818,6.43,6.43,6.43
13124,-11.42,-11.42,-11.42
13430,3.92,3.92,3.92
13736,0.83,0.83,0.83
14042,-9.16,-9.16,-9.16
14348,-10.43,-10.43,-10.43
14654,19.46,19.46,19.46
14960,-9.68,-9.68,-9.68
15266,12.76,12.76,12.76
15572,2.72,2.72,2.72
15878,18.72,18.72,18.72
16184,4.18,4.18,4.18
16490,42.13,42.13,42.13
16796,-4.51,-4.51,-4.51
17102,28.6,28.6,28.6
17408,4.26,4.26,4.26
17714,17.16,17.16,17.16
18020,9.53,9.53,9.53
18326,29.4,29.4,29.4
18632,-11.97,-11.97,-11.97
18938,18.02,18.02,18.02
19244,8.03,8.03,8.03
19550,5.89,5.89,5.89
19856,2.97,2.97,2.97
20162,-10.06,-10.06,-10.06
20468,5.25,5.25,5.25
20774,-4.57,-4.57,-4.57
21080,32.46,32.46,32.46
21386,31.85,31.85,31.85
21692,27.66,27.66,27.66
21998,31.35,31.35,31.35
22304,9.74,9.74,9.74
22610,-1.87,-1.87,-1.87
22916,15.88,15.88,15.88
23222,45.9,45.9,45.9
23528,9.9,9.9,9.9
23834,-22.03,-22.03,-22.03
24140,6.09,6.09,6.09
24446,-20.6,-20.6,-20.6
24752,10.01,10.01,10.01
25058,-10.63,-10.63,-10.63
25364,-13.22,-13.22,-13.22
25670,-5.51,-5.51,-5.51
25976,20.24,20.24,20.24
26282,-4.1,-4.1,-4.1
26588,-2.51,-2.51,-2.51
26894,-12.92,-12.92,-12.92
27200,-4.09,-4.09,-4.09
27506,7.07,7.07,7.07
27812,5.88,5.88,5.88
28118,7.36,7.36,7.36
28424,28.39,28.39,28.39
28730,36.67,36.67,36.67
29036,14.77,14.77,14.77
29342,-3.78,-3.78,-3.78
29648,49.29,49.29,49.29
29954,31.26,31.26,31.26
30260,77.26,77.26,77.26
30566,14.66,14.66,14.66
30872,-10.46,-10.46,-10.46
31178,7.19,7.19,7.19
31484,-4.03,-4.03,-4.03
31790,-14.96,-14.96,-14.96
32096,17.59,17.59,17.59
32402,-6.98,-6.98,-6.98
32708,6.9,6.9,6.9
33014,59.06,59.06,59.06
33320,-2.22,-2.22,-2.22
33626,-1.25,-1.25,-1.25
33932,-14.21,-14.21,-14.21
34238,-14.12,-14.12,-14.12
34544,-2.6,-2.6,-2.6
34850,-7.61,-7.61,-7.61
35156,-1.28,-1.28,-1.28
35462,9.97,9.97,9.97
35768,10.74,10.74,10.74
36074,43.4,43.4,43.4
36380,10.39,10.39,10.39
36686,6.27,6.27,6.27
36992,7.52,7.52,7.52
37298,80.03,80.03,80.03
37604,-15.06,-15.06,-15.06
37910,10.61,10.61,10.61
38216,8.03,8.03,8.03
38522,16.27,16.27,16.27
38828,1.78,1.78,1.78
39134,51.87,51.87,51.87
39440,4.06,4.06,4.06
39746,17.15,17.15,17.15
40052,0.86,0.86,0.86
40358,3.24,3.24,3.24
40664,6.42,6.42,6.42
40970,6.23,6.23,6.23
41276,38.64,38.64,38.64
41582,17.77,17.77,17.77
41888,13.15,13.15,13.15
42194,49.24,49.24,49.24
42500,18.49,18.49,18.49
42806,26.86,26.86,26.86
43112,-21.89,-21.89,-21.89
43418,-13.7,-13.7,-13.7
43724,10.81,10.81,10.81
44030,-17.98,-17.98,-17.98
44336,-2.99,-2.99,-2.99
44642,-8.64,-8.64,-8.64
44948,-15.68,-15.68,-15.68
45254,5.89,5.89,5.89
45560,-4.82,-4.82,-4.82
45866,10.65,10.65,10.65
46172,0.51,0.51,0.51
46478,4.73,4.73,4.73
46784,15.66,15.66,15.66
47090,5.51,5.51,5.51
47396,-20.3,-20.3,-20.3
47702,0.62,0.62,0.62
48008,31.53,31.53,31.53
48314,12.4,12.4,12.4
48620,0.5,0.5,0.5
48926,5.02,5.02,5.02
49232,-1.31,-1.31,-1.31
49538,14.06,14.06,14.06
49844,-6.48,-6.48,-6.48
50150,7.55,7.55,7.55
50456,9.91,9.91,9.91
50762,-11.19,-11.19,-11.19
51068,2.68,2.68,2.68
51374,-0.87,-0.87,-0.87
51680,6.26,6.26,6.26
51986,12.32,12.32,12.32
52292,11.3,11.3,11.3
52598,7.31,7.31,7.31
52904,4.05,4.05,4.05
53210,0.89,0.89,0.89
53516,-25.11,-25.11,-25.11
53822,-1.78,-1.78,-1.78
54128,0.13,0.13,0.13
54434,-0.86,-0.86,-0.86
54740,33.74,33.74,33.74
55046,-3.67,-3.67,-3.67
55352,1.25,1.25,1.25
55658,-24,-24,-24
55964,11.92,11.92,11.92
56270,42.58,42.58,42.58
56576,2.23,2.23,2.23
56882,0.39,0.39,0.39
57188,12.94,12.94,12.94
57494,-6.3,-6.3,-6.3
57800,3.06,3.06,3.06
58106,-2.02,-2.02,-2.02
58412,-2.37,-2.37,-2.37
58718,-2.18,-2.18,-2.18
59024,-2.56,-2.56,-2.56
59330,14.01,14.01,14.01
59636,17.28,17.28,17.28
59942,57.67,57.67,57.67
60248,8.39,8.39,8.39
60554,4.22,4.22,4.22
60860,21.63,21.63,21.63
61166,10.38,10.38,10.38
