"Step","SimpleQMIX_everything_later_blox_gamma0.95_lr0.0001_hidden64_target20__20241215_000737 - score","SimpleQMIX_everything_later_blox_gamma0.95_lr0.0001_hidden64_target20__20241215_000737 - score__MIN","SimpleQMIX_everything_later_blox_gamma0.95_lr0.0001_hidden64_target20__20241215_000737 - score__MAX"
"305","4","4","4"
"611","0","0","0"
"917","0","0","0"
"1223","0","0","0"
"1529","24","24","24"
"1835","6","6","6"
"2141","13","13","13"
"2447","10","10","10"
"2753","10","10","10"
"3059","0","0","0"
"3365","-3","-3","-3"
"3671","12","12","12"
"3977","10","10","10"
"4283","0","0","0"
"4589","0","0","0"
"4895","21","21","21"
"5201","22","22","22"
"5507","0","0","0"
"5813","3","3","3"
"6119","22","22","22"
"6425","0","0","0"
"6731","30","30","30"
"7037","24","24","24"
"7343","0","0","0"
"7649","19","19","19"
"7955","0","0","0"
"8261","9","9","9"
"8567","31","31","31"
"8873","0","0","0"
"9179","15","15","15"
"9485","0","0","0"
"9791","0","0","0"
"10097","-1","-1","-1"
"10403","0","0","0"
"10709","0","0","0"
"11015","0","0","0"
"11321","-11","-11","-11"
"11627","-3","-3","-3"
"11933","11","11","11"
"12239","2","2","2"
"12545","-2","-2","-2"
"12851","0","0","0"
"13157","-4","-4","-4"
"13463","-4","-4","-4"
"13769","0","0","0"
"14075","4","4","4"
"14381","0","0","0"
"14687","0","0","0"
"14993","0","0","0"
"15299","10","10","10"
"15605","0","0","0"
"15911","0","0","0"
"16217","0","0","0"
"16523","0","0","0"
"16829","12","12","12"
"17135","24","24","24"
"17441","0","0","0"
"17747","-2","-2","-2"
"18053","0","0","0"
"18359","0","0","0"
"18665","22","22","22"
"18971","0","0","0"
"19277","0","0","0"
"19583","28","28","28"
"19889","0","0","0"
"20195","22","22","22"
"20501","26","26","26"
"20807","5","5","5"
"21113","0","0","0"
"21419","4","4","4"
"21725","-10","-10","-10"
"22031","0","0","0"
"22337","0","0","0"
"22643","0","0","0"
"22949","1","1","1"
"23255","0","0","0"
"23561","16","16","16"
"23867","0","0","0"
"24173","16","16","16"
"24479","0","0","0"
"24785","0","0","0"
"25091","20","20","20"
"25397","0","0","0"
"25703","9","9","9"
"26009","-1","-1","-1"
"26315","-4","-4","-4"
"26621","-7","-7","-7"
"26927","0","0","0"
"27233","0","0","0"
"27539","0","0","0"
"27845","7","7","7"
"28151","1","1","1"
"28457","0","0","0"
"28763","15","15","15"
"29069","26","26","26"
"29375","24","24","24"
"29681","29","29","29"
"29987","11","11","11"
"30293","-2","-2","-2"
"30599","22","22","22"
