"Step","SimpleQMIX_everything_varying_blox_gamma0.95_lr0.0001_hidden64_target20__20241215_010833 - score","SimpleQMIX_everything_varying_blox_gamma0.95_lr0.0001_hidden64_target20__20241215_010833 - score__MIN","SimpleQMIX_everything_varying_blox_gamma0.95_lr0.0001_hidden64_target20__20241215_010833 - score__MAX"
"306","20","20","20"
"613","16","16","16"
"920","31","31","31"
"1227","22","22","22"
"1534","18","18","18"
"1841","-36","-36","-36"
"2148","28","28","28"
"2455","28","28","28"
"2762","8","8","8"
"3069","16","16","16"
"3376","13","13","13"
"3683","16","16","16"
"3990","22","22","22"
"4297","14","14","14"
"4604","0","0","0"
"4709","-37","-37","-37"
"5016","30","30","30"
"5323","4","4","4"
"5630","4","4","4"
"5937","-9","-9","-9"
"6244","30","30","30"
"6551","-26","-26","-26"
"6858","20","20","20"
"6958","-37","-37","-37"
"7060","-37","-37","-37"
"7367","-19","-19","-19"
"7471","-37","-37","-37"
"7778","-9","-9","-9"
"8053","-35","-35","-35"
"8360","10","10","10"
"8667","0","0","0"
"8766","-37","-37","-37"
"9073","-22","-22","-22"
"9179","-37","-37","-37"
"9486","-27","-27","-27"
"9793","-24","-24","-24"
"9891","-37","-37","-37"
"10030","-37","-37","-37"
"10337","-13","-13","-13"
"10644","-26","-26","-26"
"10746","-25","-25","-25"
"10851","-37","-37","-37"
"11158","-20","-20","-20"
"11465","-16","-16","-16"
"11568","-29","-29","-29"
"11875","7","7","7"
"11973","-37","-37","-37"
"12280","-16","-16","-16"
"12379","-29","-29","-29"
"12686","-19","-19","-19"
"12790","-37","-37","-37"
"13097","-19","-19","-19"
"13404","-31","-31","-31"
"13711","-17","-17","-17"
"14018","-17","-17","-17"
"14325","11","11","11"
"14632","-13","-13","-13"
"14732","-29","-29","-29"
"15039","-12","-12","-12"
"15346","-18","-18","-18"
"15653","-18","-18","-18"
"15960","3","3","3"
"16267","-11","-11","-11"
"16574","-18","-18","-18"
"16881","1","1","1"
"17188","-19","-19","-19"
"17495","-15","-15","-15"
"17802","-18","-18","-18"
"18059","-27","-27","-27"
"18366","-13","-13","-13"
"18673","3","3","3"
"18767","-37","-37","-37"
"19074","-25","-25","-25"
"19381","10","10","10"
"19688","-19","-19","-19"
"19789","-29","-29","-29"
"20096","-23","-23","-23"
"20403","-17","-17","-17"
"20710","10","10","10"
"21017","-17","-17","-17"
"21324","-14","-14","-14"
"21631","-4","-4","-4"
"21938","-15","-15","-15"
"22245","-17","-17","-17"
"22552","-16","-16","-16"
"22859","-24","-24","-24"
"23166","-15","-15","-15"
"23473","0","0","0"
"23780","0","0","0"
"24087","-17","-17","-17"
"24394","-18","-18","-18"
"24701","-16","-16","-16"
"25008","-17","-17","-17"
"25315","-18","-18","-18"
"25622","0","0","0"
"25724","-27","-27","-27"
"25819","-27","-27","-27"
"26126","-13","-13","-13"
"26433","10","10","10"
"26740","-27","-27","-27"
