"Step","SimpleQMIX_CNN_blox_VaryingEnemies__20241212_090453 - blue_player1_reward","SimpleQMIX_CNN_blox_VaryingEnemies__20241212_090453 - blue_player1_reward__MIN","SimpleQMIX_CNN_blox_VaryingEnemies__20241212_090453 - blue_player1_reward__MAX"
"271","4.079999999999992","4.079999999999992","4.079999999999992"
"577","4.129999999999988","4.129999999999988","4.129999999999988"
"883","4.449999999999983","4.449999999999983","4.449999999999983"
"1189","3.9299999999999886","3.9299999999999886","3.9299999999999886"
"1495","4.289999999999985","4.289999999999985","4.289999999999985"
"1801","5.209999999999981","5.209999999999981","5.209999999999981"
"2107","4.109999999999986","4.109999999999986","4.109999999999986"
"2413","4.059999999999987","4.059999999999987","4.059999999999987"
"2719","4.549999999999985","4.549999999999985","4.549999999999985"
"3025","4.089999999999987","4.089999999999987","4.089999999999987"
"3331","4.129999999999989","4.129999999999989","4.129999999999989"
"3637","4.349999999999984","4.349999999999984","4.349999999999984"
"3943","4.579999999999983","4.579999999999983","4.579999999999983"
"4249","4.1699999999999875","4.1699999999999875","4.1699999999999875"
"4555","4.479999999999985","4.479999999999985","4.479999999999985"
"4861","4.169999999999987","4.169999999999987","4.169999999999987"
"4962","1.3700000000000008","1.3700000000000008","1.3700000000000008"
"5268","4.229999999999985","4.229999999999985","4.229999999999985"
"5574","4.219999999999986","4.219999999999986","4.219999999999986"
"5880","4.579999999999982","4.579999999999982","4.579999999999982"
"6186","4.1999999999999895","4.1999999999999895","4.1999999999999895"
"6492","4.6299999999999795","4.6299999999999795","4.6299999999999795"
"6798","4.489999999999983","4.489999999999983","4.489999999999983"
"7104","4.359999999999982","4.359999999999982","4.359999999999982"
"7191","1.1300000000000008","1.1300000000000008","1.1300000000000008"
"7497","4.479999999999981","4.479999999999981","4.479999999999981"
"7803","4.439999999999984","4.439999999999984","4.439999999999984"
"8109","4.59999999999998","4.59999999999998","4.59999999999998"
"8415","4.369999999999983","4.369999999999983","4.369999999999983"
"8721","4.459999999999982","4.459999999999982","4.459999999999982"
"9027","4.689999999999979","4.689999999999979","4.689999999999979"
"9333","4.259999999999985","4.259999999999985","4.259999999999985"
"9639","4.529999999999982","4.529999999999982","4.529999999999982"
"9945","4.659999999999978","4.659999999999978","4.659999999999978"
"10251","4.379999999999982","4.379999999999982","4.379999999999982"
"10557","4.69999999999998","4.69999999999998","4.69999999999998"
"10863","5.5799999999999645","5.5799999999999645","5.5799999999999645"
"11169","4.7199999999999775","4.7199999999999775","4.7199999999999775"
"11475","4.299999999999987","4.299999999999987","4.299999999999987"
"11781","4.409999999999983","4.409999999999983","4.409999999999983"
"12087","4.949999999999975","4.949999999999975","4.949999999999975"
"12188","1.320000000000001","1.320000000000001","1.320000000000001"
"12494","4.769999999999978","4.769999999999978","4.769999999999978"
"12800","4.619999999999979","4.619999999999979","4.619999999999979"
"13106","4.5899999999999785","4.5899999999999785","4.5899999999999785"
"13412","4.419999999999984","4.419999999999984","4.419999999999984"
"13718","4.409999999999983","4.409999999999983","4.409999999999983"
"14024","4.449999999999985","4.449999999999985","4.449999999999985"
"14330","4.48999999999998","4.48999999999998","4.48999999999998"
"14636","4.279999999999981","4.279999999999981","4.279999999999981"
"14942","5.129999999999978","5.129999999999978","5.129999999999978"
"15248","4.76999999999998","4.76999999999998","4.76999999999998"
"15554","4.5799999999999805","4.5799999999999805","4.5799999999999805"
"15860","5.369999999999976","5.369999999999976","5.369999999999976"
"16166","11.189999999999959","11.189999999999959","11.189999999999959"
