"Step","SimpleQMIX_CNN_blox_VaryingEnemies__20241212_090453 - score","SimpleQMIX_CNN_blox_VaryingEnemies__20241212_090453 - score__MIN","SimpleQMIX_CNN_blox_VaryingEnemies__20241212_090453 - score__MAX"
"62345","-27","-27","-27"
"62651","-26","-26","-26"
"62957","0","0","0"
"63263","-28","-28","-28"
"63569","-27","-27","-27"
"63656","-37","-37","-37"
"63962","0","0","0"
"64268","-23","-23","-23"
"64574","-29","-29","-29"
"64880","-27","-27","-27"
"65186","-11","-11","-11"
"65492","-21","-21","-21"
"65595","-35","-35","-35"
"65901","-28","-28","-28"
"66207","-2","-2","-2"
"66513","-2","-2","-2"
"66819","-27","-27","-27"
"67125","0","0","0"
"67431","-5","-5","-5"
"67737","-26","-26","-26"
"68043","-27","-27","-27"
"68349","-27","-27","-27"
"68655","-35","-35","-35"
"68961","0","0","0"
"69267","2","2","2"
"69573","-27","-27","-27"
"69879","0","0","0"
"70185","-27","-27","-27"
"70491","-26","-26","-26"
"70797","-27","-27","-27"
"71103","-27","-27","-27"
"71409","5","5","5"
"71715","-25","-25","-25"
"72021","-27","-27","-27"
"72121","-37","-37","-37"
"72427","-32","-32","-32"
"72520","-37","-37","-37"
"72826","-27","-27","-27"
"73132","-35","-35","-35"
"73438","-23","-23","-23"
"73744","-22","-22","-22"
"73839","-37","-37","-37"
"74145","-25","-25","-25"
"74451","-31","-31","-31"
"74757","-27","-27","-27"
"75063","-29","-29","-29"
"75369","-29","-29","-29"
"75675","-26","-26","-26"
"75981","-27","-27","-27"
"76287","-27","-27","-27"
"76593","-25","-25","-25"
"76899","-27","-27","-27"
"77205","-22","-22","-22"
"77296","-37","-37","-37"
"77602","-27","-27","-27"
"77908","-35","-35","-35"
"78214","-25","-25","-25"
"78306","-37","-37","-37"
"78612","-25","-25","-25"
"78754","-37","-37","-37"
"78898","-37","-37","-37"
"79204","-27","-27","-27"
"79510","-18","-18","-18"
"79816","-26","-26","-26"
"79906","-37","-37","-37"
