"Step","SimpleQMIX_everything_varying_blox_gamma0.95_lr0.001_hidden128_target20__20241215_152016 - score","SimpleQMIX_everything_varying_blox_gamma0.95_lr0.001_hidden128_target20__20241215_152016 - score__MIN","SimpleQMIX_everything_varying_blox_gamma0.95_lr0.001_hidden128_target20__20241215_152016 - score__MAX"
"306","27","27","27"
"613","24","24","24"
"920","28","28","28"
"1227","16","16","16"
"1534","15","15","15"
"1631","-37","-37","-37"
"1938","16","16","16"
"2245","35","35","35"
"2552","10","10","10"
"2859","35","35","35"
"3166","32","32","32"
"3473","0","0","0"
"3780","12","12","12"
"4087","0","0","0"
"4384","2","2","2"
"4691","17","17","17"
"4901","-37","-37","-37"
"4998","-32","-32","-32"
"5305","25","25","25"
"5612","-3","-3","-3"
"5919","9","9","9"
"6011","-37","-37","-37"
"6318","-26","-26","-26"
"6416","-37","-37","-37"
"6521","-37","-37","-37"
"6828","-21","-21","-21"
"6944","-37","-37","-37"
"7251","-16","-16","-16"
"7558","-18","-18","-18"
"7865","0","0","0"
"8172","22","22","22"
"8274","-37","-37","-37"
"8403","-37","-37","-37"
"8710","0","0","0"
"9017","-19","-19","-19"
"9324","-27","-27","-27"
"9631","-15","-15","-15"
"9938","-2","-2","-2"
"10245","0","0","0"
"10552","3","3","3"
"10859","-19","-19","-19"
"11166","-16","-16","-16"
"11272","-23","-23","-23"
"11555","2","2","2"
"11862","-15","-15","-15"
"12169","-26","-26","-26"
"12476","-3","-3","-3"
"12655","-22","-22","-22"
"12962","-18","-18","-18"
"13269","11","11","11"
"13576","-2","-2","-2"
"13883","-12","-12","-12"
"14190","-16","-16","-16"
"14497","-27","-27","-27"
"14804","-3","-3","-3"
"15111","32","32","32"
"15418","-17","-17","-17"
"15597","2","2","2"
"15904","-1","-1","-1"
"16211","-5","-5","-5"
"16303","-37","-37","-37"
"16396","-34","-34","-34"
"16703","1","1","1"
"17010","-19","-19","-19"
"17317","-10","-10","-10"
"17624","26","26","26"
"17931","-5","-5","-5"
"18238","-10","-10","-10"
"18361","-17","-17","-17"
"18534","-30","-30","-30"
"18841","-14","-14","-14"
"19148","3","3","3"
"19455","-1","-1","-1"
"19553","-27","-27","-27"
"19860","17","17","17"
"20083","-19","-19","-19"
"20390","26","26","26"
"20697","-20","-20","-20"
"21004","-13","-13","-13"
"21092","-20","-20","-20"
"21399","5","5","5"
"21617","1","1","1"
"21924","-1","-1","-1"
"22217","2","2","2"
"22321","-27","-27","-27"
"22628","-10","-10","-10"
"22935","16","16","16"
"23242","-1","-1","-1"
"23549","-14","-14","-14"
"23856","-9","-9","-9"
"23958","-20","-20","-20"
"24265","1","1","1"
"24572","-21","-21","-21"
"24879","-15","-15","-15"
"25186","27","27","27"
"25493","0","0","0"
"25800","3","3","3"
"26098","30","30","30"
"26405","-13","-13","-13"
"26712","-14","-14","-14"
