"Step","SimpleQMIX_everything_random_blox_gamma0.95_lr0.001_hidden128_target20__20241215_135106 - score","SimpleQMIX_everything_random_blox_gamma0.95_lr0.001_hidden128_target20__20241215_135106 - score__MIN","SimpleQMIX_everything_random_blox_gamma0.95_lr0.001_hidden128_target20__20241215_135106 - score__MAX"
"274","-4","-4","-4"
"580","3","3","3"
"886","0","0","0"
"1192","0","0","0"
"1498","0","0","0"
"1804","0","0","0"
"2110","0","0","0"
"2416","0","0","0"
"2722","12","12","12"
"3028","-1","-1","-1"
"3334","5","5","5"
"3640","0","0","0"
"3946","0","0","0"
"4252","-4","-4","-4"
"4558","0","0","0"
"4864","2","2","2"
"5170","-5","-5","-5"
"5476","0","0","0"
"5782","0","0","0"
"6088","0","0","0"
"6394","0","0","0"
"6700","0","0","0"
"7006","0","0","0"
"7312","11","11","11"
"7618","8","8","8"
"7924","0","0","0"
"8230","0","0","0"
"8536","2","2","2"
"8842","0","0","0"
"9148","1","1","1"
"9454","5","5","5"
"9760","0","0","0"
"10066","13","13","13"
"10372","1","1","1"
"10678","3","3","3"
"10984","7","7","7"
"11290","0","0","0"
"11596","-1","-1","-1"
"11902","-4","-4","-4"
"12208","0","0","0"
"12514","-1","-1","-1"
"12820","3","3","3"
"13126","0","0","0"
"13432","-2","-2","-2"
"13738","-1","-1","-1"
"14044","0","0","0"
"14350","-1","-1","-1"
"14656","-1","-1","-1"
"14962","0","0","0"
"15268","17","17","17"
"15574","0","0","0"
"15880","7","7","7"
"16186","0","0","0"
"16492","-4","-4","-4"
"16798","-1","-1","-1"
"17104","4","4","4"
"17410","-2","-2","-2"
"17716","0","0","0"
"18022","0","0","0"
"18328","5","5","5"
"18634","-1","-1","-1"
"18940","8","8","8"
"19246","4","4","4"
"19552","3","3","3"
"19858","-4","-4","-4"
"20164","0","0","0"
"20470","0","0","0"
"20776","0","0","0"
"21082","5","5","5"
"21388","-2","-2","-2"
"21694","0","0","0"
"22000","-1","-1","-1"
"22306","8","8","8"
"22612","0","0","0"
"22918","0","0","0"
"23224","2","2","2"
"23530","0","0","0"
"23836","10","10","10"
"24142","8","8","8"
"24448","10","10","10"
"24754","-1","-1","-1"
"25060","0","0","0"
"25366","15","15","15"
"25672","1","1","1"
"25978","3","3","3"
"26284","-4","-4","-4"
"26590","0","0","0"
"26896","0","0","0"
"27202","11","11","11"
"27508","5","5","5"
"27814","0","0","0"
"28120","0","0","0"
"28426","2","2","2"
"28732","12","12","12"
"29038","0","0","0"
"29344","0","0","0"
"29650","4","4","4"
"29956","0","0","0"
"30262","25","25","25"
"30568","25","25","25"
"30874","-3","-3","-3"
"31180","0","0","0"
"31486","-2","-2","-2"
"31792","5","5","5"
"32098","7","7","7"
"32404","5","5","5"
"32710","0","0","0"
"33016","0","0","0"
"33322","4","4","4"
"33628","12","12","12"
"33934","6","6","6"
"34240","28","28","28"
"34546","4","4","4"
"34852","13","13","13"
"35158","0","0","0"
"35464","12","12","12"
"35770","0","0","0"
"36076","22","22","22"
"36382","10","10","10"
"36688","18","18","18"
"36994","0","0","0"
"37300","19","19","19"
"37606","-2","-2","-2"
"37912","14","14","14"
"38218","7","7","7"
"38524","0","0","0"
"38830","20","20","20"
"39136","17","17","17"
"39442","14","14","14"
"39748","22","22","22"
"40054","32","32","32"
"40360","0","0","0"
"40666","0","0","0"
"40972","4","4","4"
"41278","1","1","1"
"41584","9","9","9"
"41890","11","11","11"
"42196","11","11","11"
"42502","5","5","5"
"42808","10","10","10"
"43114","4","4","4"
"43420","18","18","18"
"43726","10","10","10"
"44032","9","9","9"
"44338","0","0","0"
"44644","3","3","3"
"44950","7","7","7"
"45256","15","15","15"
"45562","11","11","11"
"45868","15","15","15"
"46174","27","27","27"
"46480","21","21","21"
"46786","18","18","18"
"47092","3","3","3"
"47398","1","1","1"
"47704","6","6","6"
"48010","19","19","19"
"48316","17","17","17"
"48622","28","28","28"
"48928","10","10","10"
"49234","1","1","1"
"49540","9","9","9"
"49846","22","22","22"
"50152","26","26","26"
"50458","19","19","19"
"50764","32","32","32"
"51070","9","9","9"
"51376","22","22","22"
"51682","22","22","22"
"51988","12","12","12"
"52294","10","10","10"
"52600","7","7","7"
"52906","8","8","8"
"53212","11","11","11"
"53518","12","12","12"
"53824","29","29","29"
"54130","15","15","15"
"54436","8","8","8"
"54742","10","10","10"
"55048","11","11","11"
"55354","22","22","22"
"55660","3","3","3"
"55966","18","18","18"
"56272","22","22","22"
"56578","14","14","14"
"56884","20","20","20"
"57190","8","8","8"
"57496","24","24","24"
"57802","-1","-1","-1"
"58108","10","10","10"
"58414","22","22","22"
"58720","22","22","22"
"59026","25","25","25"
"59332","21","21","21"
"59638","13","13","13"
"59944","31","31","31"
"60250","21","21","21"
"60556","12","12","12"
"60862","20","20","20"
"61168","15","15","15"
