"Step","SimpleQMIX_everything_later_blox_gamma0.95_lr0.001_hidden128_target20__20241215_144947 - score","SimpleQMIX_everything_later_blox_gamma0.95_lr0.001_hidden128_target20__20241215_144947 - score__MIN","SimpleQMIX_everything_later_blox_gamma0.95_lr0.001_hidden128_target20__20241215_144947 - score__MAX"
"305","19","19","19"
"611","17","17","17"
"917","18","18","18"
"1223","15","15","15"
"1529","5","5","5"
"1835","14","14","14"
"2141","13","13","13"
"2447","19","19","19"
"2753","-3","-3","-3"
"3059","10","10","10"
"3365","12","12","12"
"3671","14","14","14"
"3977","4","4","4"
"4283","11","11","11"
"4589","18","18","18"
"4895","16","16","16"
"5201","14","14","14"
"5507","-3","-3","-3"
"5813","13","13","13"
"6119","4","4","4"
"6425","18","18","18"
"6731","22","22","22"
"7037","23","23","23"
"7343","21","21","21"
"7649","17","17","17"
"7955","30","30","30"
"8261","20","20","20"
"8567","17","17","17"
"8873","19","19","19"
"9179","11","11","11"
"9485","11","11","11"
"9791","17","17","17"
"10097","4","4","4"
"10403","15","15","15"
"10709","27","27","27"
"11015","14","14","14"
"11321","10","10","10"
"11627","17","17","17"
"11933","22","22","22"
"12239","13","13","13"
"12545","11","11","11"
"12851","33","33","33"
"13157","15","15","15"
"13463","17","17","17"
"13769","24","24","24"
"14075","12","12","12"
"14381","15","15","15"
"14687","18","18","18"
"14993","22","22","22"
"15299","13","13","13"
"15605","17","17","17"
"15911","28","28","28"
"16217","8","8","8"
"16523","13","13","13"
"16829","18","18","18"
"17135","9","9","9"
"17441","14","14","14"
"17747","12","12","12"
"18053","25","25","25"
"18359","26","26","26"
"18665","15","15","15"
"18971","36","36","36"
"19277","22","22","22"
"19583","30","30","30"
"19889","36","36","36"
"20195","12","12","12"
"20501","11","11","11"
"20807","21","21","21"
"21113","20","20","20"
"21419","16","16","16"
"21725","22","22","22"
"22031","5","5","5"
"22337","17","17","17"
"22643","31","31","31"
"22949","21","21","21"
"23255","7","7","7"
"23561","17","17","17"
"23867","32","32","32"
"24173","22","22","22"
"24479","28","28","28"
"24785","22","22","22"
"25091","18","18","18"
"25397","21","21","21"
"25703","21","21","21"
"26009","21","21","21"
"26315","35","35","35"
"26621","27","27","27"
"26927","0","0","0"
"27233","23","23","23"
"27539","34","34","34"
"27845","18","18","18"
"28151","20","20","20"
"28457","30","30","30"
"28763","22","22","22"
"29069","16","16","16"
"29375","28","28","28"
"29681","29","29","29"
"29987","29","29","29"
"30293","27","27","27"
"30599","35","35","35"
