"Step","SimpleQMIX_CNN_random_blox_schedule__20241212_112341 - blue_player1_reward","SimpleQMIX_CNN_random_blox_schedule__20241212_112341 - blue_player1_reward__MIN","SimpleQMIX_CNN_random_blox_schedule__20241212_112341 - blue_player1_reward__MAX"
"541","3.969999999999991","3.969999999999991","3.969999999999991"
"1148","3.92999999999999","3.92999999999999","3.92999999999999"
"1755","4.479999999999981","4.479999999999981","4.479999999999981"
"2362","4.459999999999984","4.459999999999984","4.459999999999984"
"2969","3.789999999999988","3.789999999999988","3.789999999999988"
"3576","4.599999999999986","4.599999999999986","4.599999999999986"
"4183","4.0499999999999865","4.0499999999999865","4.0499999999999865"
"4790","4.4799999999999836","4.4799999999999836","4.4799999999999836"
"5397","4.069999999999987","4.069999999999987","4.069999999999987"
"6004","4.169999999999988","4.169999999999988","4.169999999999988"
"6611","4.129999999999985","4.129999999999985","4.129999999999985"
"7218","4.639999999999981","4.639999999999981","4.639999999999981"
"7825","4.049999999999988","4.049999999999988","4.049999999999988"
"8432","4.349999999999986","4.349999999999986","4.349999999999986"
"9039","5.989999999999977","5.989999999999977","5.989999999999977"
"9646","4.199999999999986","4.199999999999986","4.199999999999986"
"10253","4.3099999999999845","4.3099999999999845","4.3099999999999845"
"10860","4.409999999999982","4.409999999999982","4.409999999999982"
"11467","4.449999999999982","4.449999999999982","4.449999999999982"
"12074","12.52999999999998","12.52999999999998","12.52999999999998"
"12681","3.869999999999989","3.869999999999989","3.869999999999989"
"13288","4.479999999999983","4.479999999999983","4.479999999999983"
"13895","4.339999999999983","4.339999999999983","4.339999999999983"
"14502","4.529999999999986","4.529999999999986","4.529999999999986"
"15109","4.309999999999984","4.309999999999984","4.309999999999984"
"15716","4.659999999999981","4.659999999999981","4.659999999999981"
"16323","4.529999999999981","4.529999999999981","4.529999999999981"
"16930","4.3899999999999855","4.3899999999999855","4.3899999999999855"
"17537","4.469999999999984","4.469999999999984","4.469999999999984"
"18144","4.339999999999983","4.339999999999983","4.339999999999983"
"18751","4.509999999999984","4.509999999999984","4.509999999999984"
"19358","4.4799999999999836","4.4799999999999836","4.4799999999999836"
"19965","4.119999999999988","4.119999999999988","4.119999999999988"
"20572","4.369999999999981","4.369999999999981","4.369999999999981"
"21179","5.0699999999999825","5.0699999999999825","5.0699999999999825"
"21786","4.529999999999982","4.529999999999982","4.529999999999982"
"22393","4.699999999999982","4.699999999999982","4.699999999999982"
"23000","4.779999999999976","4.779999999999976","4.779999999999976"
"23607","4.359999999999981","4.359999999999981","4.359999999999981"
"24214","4.659999999999981","4.659999999999981","4.659999999999981"
"24821","4.279999999999986","4.279999999999986","4.279999999999986"
"25428","4.139999999999985","4.139999999999985","4.139999999999985"
"26035","4.299999999999984","4.299999999999984","4.299999999999984"
"26642","4.419999999999983","4.419999999999983","4.419999999999983"
"27249","4.69999999999998","4.69999999999998","4.69999999999998"
"27856","4.609999999999979","4.609999999999979","4.609999999999979"
"28463","4.51999999999998","4.51999999999998","4.51999999999998"
"29070","4.629999999999982","4.629999999999982","4.629999999999982"
"29677","4.509999999999981","4.509999999999981","4.509999999999981"
"30284","4.449999999999981","4.449999999999981","4.449999999999981"
"30891","4.569999999999978","4.569999999999978","4.569999999999978"
"31498","4.829999999999979","4.829999999999979","4.829999999999979"
"32105","4.719999999999979","4.719999999999979","4.719999999999979"
"32712","4.549999999999981","4.549999999999981","4.549999999999981"
"33319","4.649999999999982","4.649999999999982","4.649999999999982"
"33926","5.899999999999964","5.899999999999964","5.899999999999964"
"34533","4.679999999999979","4.679999999999979","4.679999999999979"
"35140","4.199999999999988","4.199999999999988","4.199999999999988"
"35747","4.459999999999982","4.459999999999982","4.459999999999982"
"36354","4.549999999999983","4.549999999999983","4.549999999999983"
"36961","4.8499999999999766","4.8499999999999766","4.8499999999999766"
"37568","4.819999999999978","4.819999999999978","4.819999999999978"
"38175","4.4699999999999855","4.4699999999999855","4.4699999999999855"
"38782","4.55999999999998","4.55999999999998","4.55999999999998"
"39389","4.74999999999998","4.74999999999998","4.74999999999998"
"39996","4.999999999999973","4.999999999999973","4.999999999999973"
"40603","4.819999999999976","4.819999999999976","4.819999999999976"
"41210","4.689999999999976","4.689999999999976","4.689999999999976"
