"Step","SimpleQMIX_CNN_random_blox_schedule__20241212_112341 - score","SimpleQMIX_CNN_random_blox_schedule__20241212_112341 - score__MIN","SimpleQMIX_CNN_random_blox_schedule__20241212_112341 - score__MAX"
"161399","0","0","0"
"162006","-2","-2","-2"
"162613","0","0","0"
"163220","0","0","0"
"163827","0","0","0"
"164434","0","0","0"
"165041","0","0","0"
"165648","0","0","0"
"166255","1","1","1"
"166862","0","0","0"
"167469","0","0","0"
"168076","0","0","0"
"168683","0","0","0"
"169290","0","0","0"
"169897","0","0","0"
"170504","0","0","0"
"171111","0","0","0"
"171718","0","0","0"
"172325","0","0","0"
"172932","0","0","0"
"173539","-12","-12","-12"
"174146","0","0","0"
"174753","0","0","0"
"175360","-4","-4","-4"
"175967","0","0","0"
"176574","0","0","0"
"177181","0","0","0"
"177788","0","0","0"
"178395","0","0","0"
"179002","0","0","0"
"179609","0","0","0"
"180216","0","0","0"
"180823","0","0","0"
"181430","0","0","0"
"182037","0","0","0"
