"Step","SimpleQMIX_everything_later_blox_gamma0.95_lr0.0001_hidden64_target10__20241214_194314 - score","SimpleQMIX_everything_later_blox_gamma0.95_lr0.0001_hidden64_target10__20241214_194314 - score__MIN","SimpleQMIX_everything_later_blox_gamma0.95_lr0.0001_hidden64_target10__20241214_194314 - score__MAX"
"305","0","0","0"
"611","0","0","0"
"917","0","0","0"
"1223","-9","-9","-9"
"1529","4","4","4"
"1835","5","5","5"
"2141","-1","-1","-1"
"2447","5","5","5"
"2753","7","7","7"
"3059","6","6","6"
"3365","5","5","5"
"3671","10","10","10"
"3977","7","7","7"
"4283","7","7","7"
"4589","-1","-1","-1"
"4895","5","5","5"
"5201","1","1","1"
"5507","5","5","5"
"5813","9","9","9"
"6119","3","3","3"
"6425","8","8","8"
"6731","6","6","6"
"7037","7","7","7"
"7343","8","8","8"
"7649","0","0","0"
"7955","2","2","2"
"8261","-1","-1","-1"
"8567","5","5","5"
"8873","9","9","9"
"9179","5","5","5"
"9485","11","11","11"
"9791","6","6","6"
"10097","-5","-5","-5"
"10403","4","4","4"
"10709","1","1","1"
"11015","-3","-3","-3"
"11321","1","1","1"
"11627","0","0","0"
"11933","7","7","7"
"12239","0","0","0"
"12545","5","5","5"
"12851","2","2","2"
"13157","4","4","4"
"13463","3","3","3"
"13769","-4","-4","-4"
"14075","7","7","7"
"14381","0","0","0"
"14687","5","5","5"
"14993","-4","-4","-4"
"15299","3","3","3"
"15605","10","10","10"
"15911","6","6","6"
"16217","8","8","8"
"16523","7","7","7"
"16829","8","8","8"
"17135","10","10","10"
"17441","5","5","5"
"17747","9","9","9"
"18053","7","7","7"
"18359","7","7","7"
"18665","0","0","0"
"18971","0","0","0"
"19277","5","5","5"
"19583","5","5","5"
"19889","4","4","4"
"20195","-10","-10","-10"
"20501","12","12","12"
"20807","7","7","7"
"21113","7","7","7"
"21419","-1","-1","-1"
"21725","0","0","0"
"22031","6","6","6"
"22337","4","4","4"
"22643","-5","-5","-5"
"22949","0","0","0"
"23255","12","12","12"
"23561","-9","-9","-9"
"23867","3","3","3"
"24173","5","5","5"
"24479","3","3","3"
"24785","0","0","0"
"25091","0","0","0"
"25397","2","2","2"
"25703","-4","-4","-4"
"26009","0","0","0"
"26315","0","0","0"
"26621","10","10","10"
"26927","3","3","3"
"27233","5","5","5"
"27539","2","2","2"
"27845","-1","-1","-1"
"28151","-9","-9","-9"
"28457","0","0","0"
"28763","8","8","8"
"29069","11","11","11"
"29375","0","0","0"
"29681","-5","-5","-5"
"29987","0","0","0"
"30293","3","3","3"
"30599","2","2","2"
