"Step","SimpleQMIX_everything_random_blox_gamma0.95_lr0.0001_hidden64_target10__20241214_181511 - score","SimpleQMIX_everything_random_blox_gamma0.95_lr0.0001_hidden64_target10__20241214_181511 - score__MIN","SimpleQMIX_everything_random_blox_gamma0.95_lr0.0001_hidden64_target10__20241214_181511 - score__MAX"
"274","0","0","0"
"580","0","0","0"
"886","4","4","4"
"1192","-8","-8","-8"
"1498","-1","-1","-1"
"1804","0","0","0"
"2110","0","0","0"
"2416","2","2","2"
"2722","-2","-2","-2"
"3028","0","0","0"
"3334","6","6","6"
"3640","0","0","0"
"3946","0","0","0"
"4252","-1","-1","-1"
"4558","0","0","0"
"4864","0","0","0"
"5170","0","0","0"
"5476","0","0","0"
"5782","-1","-1","-1"
"6088","0","0","0"
"6394","0","0","0"
"6700","0","0","0"
"7006","0","0","0"
"7312","0","0","0"
"7618","0","0","0"
"7924","0","0","0"
"8230","0","0","0"
"8536","0","0","0"
"8842","-6","-6","-6"
"9148","0","0","0"
"9454","0","0","0"
"9760","0","0","0"
"10066","0","0","0"
"10372","3","3","3"
"10678","0","0","0"
"10984","2","2","2"
"11290","0","0","0"
"11596","0","0","0"
"11902","0","0","0"
"12208","9","9","9"
"12514","0","0","0"
"12820","0","0","0"
"13126","0","0","0"
"13432","0","0","0"
"13738","0","0","0"
"14044","0","0","0"
"14350","0","0","0"
"14656","2","2","2"
"14962","-4","-4","-4"
"15268","0","0","0"
"15574","1","1","1"
"15880","5","5","5"
"16186","0","0","0"
"16492","0","0","0"
"16798","0","0","0"
"17104","0","0","0"
"17410","0","0","0"
"17716","0","0","0"
"18022","0","0","0"
"18328","-3","-3","-3"
"18634","0","0","0"
"18940","0","0","0"
"19246","-11","-11","-11"
"19552","0","0","0"
"19858","0","0","0"
"20164","0","0","0"
"20470","0","0","0"
"20776","0","0","0"
"21082","0","0","0"
"21388","0","0","0"
"21694","2","2","2"
"22000","0","0","0"
"22306","15","15","15"
"22612","-5","-5","-5"
"22918","0","0","0"
"23224","0","0","0"
"23530","0","0","0"
"23836","0","0","0"
"24142","0","0","0"
"24448","-1","-1","-1"
"24754","-1","-1","-1"
"25060","0","0","0"
"25366","0","0","0"
"25672","-1","-1","-1"
"25978","0","0","0"
"26284","0","0","0"
"26590","0","0","0"
"26896","0","0","0"
"27202","-2","-2","-2"
"27508","0","0","0"
"27814","0","0","0"
"28120","1","1","1"
"28426","-13","-13","-13"
"28732","0","0","0"
"29038","0","0","0"
"29344","1","1","1"
"29650","1","1","1"
"29956","0","0","0"
"30262","-1","-1","-1"
"30568","0","0","0"
"30874","0","0","0"
"31180","-4","-4","-4"
"31486","-6","-6","-6"
"31792","0","0","0"
"32098","3","3","3"
"32404","0","0","0"
"32710","0","0","0"
"33016","14","14","14"
"33322","0","0","0"
"33628","-7","-7","-7"
"33934","0","0","0"
"34240","0","0","0"
"34546","3","3","3"
"34852","0","0","0"
"35158","-1","-1","-1"
"35464","6","6","6"
"35770","-4","-4","-4"
"36076","6","6","6"
"36382","7","7","7"
"36688","2","2","2"
"36994","9","9","9"
"37300","0","0","0"
"37606","0","0","0"
"37912","1","1","1"
"38218","0","0","0"
"38524","0","0","0"
"38830","12","12","12"
"39136","-1","-1","-1"
"39442","0","0","0"
"39748","0","0","0"
"40054","2","2","2"
"40360","0","0","0"
"40666","-18","-18","-18"
"40972","0","0","0"
"41278","0","0","0"
"41584","11","11","11"
"41890","3","3","3"
"42196","4","4","4"
"42502","-3","-3","-3"
"42808","10","10","10"
"43114","6","6","6"
"43420","0","0","0"
"43726","0","0","0"
"44032","0","0","0"
"44338","13","13","13"
"44644","-4","-4","-4"
"44950","1","1","1"
"45256","1","1","1"
"45562","9","9","9"
"45868","3","3","3"
"46174","0","0","0"
"46480","-2","-2","-2"
"46786","0","0","0"
"47092","-7","-7","-7"
"47398","5","5","5"
"47704","3","3","3"
"48010","0","0","0"
"48316","1","1","1"
"48622","7","7","7"
"48928","6","6","6"
"49234","2","2","2"
"49540","6","6","6"
"49846","9","9","9"
"50152","8","8","8"
"50458","4","4","4"
"50764","6","6","6"
"51070","3","3","3"
"51376","11","11","11"
"51682","1","1","1"
"51988","7","7","7"
"52294","6","6","6"
"52600","8","8","8"
"52906","-1","-1","-1"
"53212","-3","-3","-3"
"53518","4","4","4"
"53824","8","8","8"
"54130","4","4","4"
"54436","0","0","0"
"54742","0","0","0"
"55048","8","8","8"
"55354","7","7","7"
"55660","1","1","1"
"55966","5","5","5"
"56272","0","0","0"
"56578","4","4","4"
"56884","5","5","5"
"57190","4","4","4"
"57496","-7","-7","-7"
"57802","2","2","2"
"58108","8","8","8"
"58414","-2","-2","-2"
"58720","5","5","5"
"59026","5","5","5"
"59332","0","0","0"
"59638","5","5","5"
"59944","2","2","2"
"60250","0","0","0"
"60556","-3","-3","-3"
"60862","4","4","4"
"61168","0","0","0"
