"Step","SimpleQMIX_everything_random_blox_gamma0.95_lr0.001_hidden128_target10__20241215_113933 - score","SimpleQMIX_everything_random_blox_gamma0.95_lr0.001_hidden128_target10__20241215_113933 - score__MIN","SimpleQMIX_everything_random_blox_gamma0.95_lr0.001_hidden128_target10__20241215_113933 - score__MAX"
"274","0","0","0"
"580","-2","-2","-2"
"886","0","0","0"
"1192","0","0","0"
"1498","0","0","0"
"1804","0","0","0"
"2110","0","0","0"
"2416","0","0","0"
"2722","0","0","0"
"3028","-15","-15","-15"
"3334","0","0","0"
"3640","0","0","0"
"3946","0","0","0"
"4252","4","4","4"
"4558","0","0","0"
"4864","8","8","8"
"5170","-2","-2","-2"
"5476","0","0","0"
"5782","-4","-4","-4"
"6088","0","0","0"
"6394","0","0","0"
"6700","1","1","1"
"7006","0","0","0"
"7312","-1","-1","-1"
"7618","4","4","4"
"7924","8","8","8"
"8230","5","5","5"
"8536","7","7","7"
"8842","8","8","8"
"9148","17","17","17"
"9454","0","0","0"
"9760","0","0","0"
"10066","0","0","0"
"10372","3","3","3"
"10678","7","7","7"
"10984","11","11","11"
"11290","12","12","12"
"11596","0","0","0"
"11902","19","19","19"
"12208","17","17","17"
"12514","0","0","0"
"12820","8","8","8"
"13126","0","0","0"
"13432","8","8","8"
"13738","0","0","0"
"14044","10","10","10"
"14350","-3","-3","-3"
"14656","-2","-2","-2"
"14962","0","0","0"
"15268","0","0","0"
"15574","-5","-5","-5"
"15880","7","7","7"
"16186","-4","-4","-4"
"16492","2","2","2"
"16798","1","1","1"
"17104","0","0","0"
"17410","0","0","0"
"17716","0","0","0"
"18022","6","6","6"
"18328","2","2","2"
"18634","8","8","8"
"18940","-6","-6","-6"
"19246","5","5","5"
"19552","0","0","0"
"19858","7","7","7"
"20164","2","2","2"
"20470","5","5","5"
"20776","2","2","2"
"21082","5","5","5"
"21388","4","4","4"
"21694","6","6","6"
"22000","3","3","3"
"22306","0","0","0"
"22612","3","3","3"
"22918","0","0","0"
"23224","1","1","1"
"23530","0","0","0"
"23836","1","1","1"
"24142","4","4","4"
"24448","-1","-1","-1"
"24754","3","3","3"
"25060","3","3","3"
"25366","4","4","4"
"25672","1","1","1"
"25978","0","0","0"
"26284","7","7","7"
"26590","-3","-3","-3"
"26896","10","10","10"
"27202","0","0","0"
"27508","5","5","5"
"27814","8","8","8"
"28120","5","5","5"
"28426","6","6","6"
"28732","8","8","8"
"29038","0","0","0"
"29344","15","15","15"
"29650","0","0","0"
"29956","14","14","14"
"30262","4","4","4"
"30568","11","11","11"
"30874","9","9","9"
"31180","5","5","5"
"31486","13","13","13"
"31792","11","11","11"
"32098","15","15","15"
"32404","0","0","0"
"32710","0","0","0"
"33016","10","10","10"
"33322","0","0","0"
"33628","-4","-4","-4"
"33934","0","0","0"
"34240","6","6","6"
"34546","-7","-7","-7"
"34852","0","0","0"
"35158","10","10","10"
"35464","7","7","7"
"35770","0","0","0"
"36076","3","3","3"
"36382","15","15","15"
"36688","12","12","12"
"36994","0","0","0"
"37300","24","24","24"
"37606","0","0","0"
"37912","10","10","10"
"38218","0","0","0"
"38524","14","14","14"
"38830","9","9","9"
"39136","15","15","15"
"39442","17","17","17"
"39748","14","14","14"
"40054","22","22","22"
"40360","9","9","9"
"40666","17","17","17"
"40972","13","13","13"
"41278","11","11","11"
"41584","-6","-6","-6"
"41890","8","8","8"
"42196","4","4","4"
"42502","12","12","12"
"42808","15","15","15"
"43114","4","4","4"
"43420","10","10","10"
"43726","13","13","13"
"44032","10","10","10"
"44338","15","15","15"
"44644","16","16","16"
"44950","12","12","12"
"45256","12","12","12"
"45562","15","15","15"
"45868","12","12","12"
"46174","14","14","14"
"46480","16","16","16"
"46786","16","16","16"
"47092","13","13","13"
"47398","1","1","1"
"47704","2","2","2"
"48010","11","11","11"
"48316","7","7","7"
"48622","14","14","14"
"48928","13","13","13"
"49234","14","14","14"
"49540","11","11","11"
"49846","13","13","13"
"50152","21","21","21"
"50458","8","8","8"
"50764","18","18","18"
"51070","16","16","16"
"51376","19","19","19"
"51682","13","13","13"
"51988","26","26","26"
"52294","14","14","14"
"52600","20","20","20"
"52906","4","4","4"
"53212","15","15","15"
"53518","16","16","16"
"53824","6","6","6"
"54130","15","15","15"
"54436","33","33","33"
"54742","15","15","15"
"55048","33","33","33"
"55354","26","26","26"
"55660","15","15","15"
"55966","22","22","22"
"56272","11","11","11"
"56578","26","26","26"
"56884","22","22","22"
"57190","10","10","10"
"57496","22","22","22"
"57802","18","18","18"
"58108","22","22","22"
"58414","25","25","25"
"58720","29","29","29"
"59026","23","23","23"
"59332","28","28","28"
"59638","23","23","23"
"59944","14","14","14"
"60250","31","31","31"
"60556","18","18","18"
"60862","32","32","32"
"61168","18","18","18"
