"Step","SimpleQMIX_everything_later_blox_gamma0.95_lr0.001_hidden128_target10__20241215_123751 - score","SimpleQMIX_everything_later_blox_gamma0.95_lr0.001_hidden128_target10__20241215_123751 - score__MIN","SimpleQMIX_everything_later_blox_gamma0.95_lr0.001_hidden128_target10__20241215_123751 - score__MAX"
"305","27","27","27"
"611","9","9","9"
"917","14","14","14"
"1223","33","33","33"
"1529","19","19","19"
"1835","25","25","25"
"2141","28","28","28"
"2447","16","16","16"
"2753","12","12","12"
"3059","15","15","15"
"3365","20","20","20"
"3671","20","20","20"
"3977","0","0","0"
"4283","24","24","24"
"4589","6","6","6"
"4895","20","20","20"
"5201","28","28","28"
"5507","18","18","18"
"5813","3","3","3"
"6119","25","25","25"
"6425","-3","-3","-3"
"6731","16","16","16"
"7037","12","12","12"
"7343","29","29","29"
"7649","19","19","19"
"7955","31","31","31"
"8261","13","13","13"
"8488","37","37","37"
"8794","32","32","32"
"9100","31","31","31"
"9406","0","0","0"
"9712","8","8","8"
"10018","32","32","32"
"10324","32","32","32"
"10630","29","29","29"
"10936","35","35","35"
"11242","18","18","18"
"11548","29","29","29"
"11854","9","9","9"
"12160","27","27","27"
"12466","12","12","12"
"12772","30","30","30"
"13078","18","18","18"
"13384","35","35","35"
"13690","-2","-2","-2"
"13996","31","31","31"
"14302","32","32","32"
"14608","35","35","35"
"14914","30","30","30"
"15220","26","26","26"
"15526","34","34","34"
"15832","30","30","30"
"16138","34","34","34"
"16355","37","37","37"
"16661","32","32","32"
"16967","27","27","27"
"17273","32","32","32"
"17579","31","31","31"
"17885","33","33","33"
"18191","14","14","14"
"18497","28","28","28"
"18803","25","25","25"
"19109","30","30","30"
"19415","31","31","31"
"19721","28","28","28"
"20027","28","28","28"
"20333","28","28","28"
"20639","30","30","30"
"20945","32","32","32"
"21251","28","28","28"
"21557","32","32","32"
"21863","32","32","32"
"22169","27","27","27"
"22475","28","28","28"
"22781","32","32","32"
"23087","32","32","32"
"23393","25","25","25"
"23699","31","31","31"
"24005","34","34","34"
"24311","32","32","32"
"24617","33","33","33"
"24923","32","32","32"
"25229","0","0","0"
"25535","31","31","31"
"25841","29","29","29"
"26147","0","0","0"
"26453","14","14","14"
"26759","31","31","31"
"27065","17","17","17"
"27371","29","29","29"
"27677","33","33","33"
"27983","26","26","26"
"28289","30","30","30"
"28595","35","35","35"
"28901","30","30","30"
"29207","35","35","35"
"29513","34","34","34"
"29819","30","30","30"
"30125","24","24","24"
"30431","0","0","0"
