"Step","SimpleQMIX_everything_varying_blox_gamma0.95_lr0.001_hidden128_target10__20241215_130801 - score","SimpleQMIX_everything_varying_blox_gamma0.95_lr0.001_hidden128_target10__20241215_130801 - score__MIN","SimpleQMIX_everything_varying_blox_gamma0.95_lr0.001_hidden128_target10__20241215_130801 - score__MAX"
"306","27","27","27"
"613","34","34","34"
"920","34","34","34"
"1227","33","33","33"
"1534","31","31","31"
"1841","34","34","34"
"2070","-37","-37","-37"
"2377","34","34","34"
"2684","32","32","32"
"2991","35","35","35"
"3298","29","29","29"
"3483","-34","-34","-34"
"3790","26","26","26"
"4097","31","31","31"
"4404","15","15","15"
"4711","-26","-26","-26"
"5018","28","28","28"
"5325","-29","-29","-29"
"5632","36","36","36"
"5939","31","31","31"
"6246","34","34","34"
"6553","-27","-27","-27"
"6860","-15","-15","-15"
"6966","-37","-37","-37"
"7273","33","33","33"
"7580","-26","-26","-26"
"7887","32","32","32"
"7990","-37","-37","-37"
"8297","0","0","0"
"8604","-25","-25","-25"
"8911","-27","-27","-27"
"9104","-37","-37","-37"
"9411","30","30","30"
"9718","-28","-28","-28"
"10025","-27","-27","-27"
"10145","-37","-37","-37"
"10254","-37","-37","-37"
"10561","-5","-5","-5"
"10868","-9","-9","-9"
"11175","15","15","15"
"11482","7","7","7"
"11789","-27","-27","-27"
"12096","1","1","1"
"12403","-35","-35","-35"
"12710","-27","-27","-27"
"13017","-19","-19","-19"
"13324","-3","-3","-3"
"13631","-28","-28","-28"
"13938","10","10","10"
"14245","-23","-23","-23"
"14552","-23","-23","-23"
"14859","-22","-22","-22"
"14970","-25","-25","-25"
"15277","-8","-8","-8"
"15584","-27","-27","-27"
"15891","9","9","9"
"15997","-33","-33","-33"
"16245","-21","-21","-21"
"16552","-1","-1","-1"
"16859","5","5","5"
"17166","-20","-20","-20"
"17278","-25","-25","-25"
"17585","-3","-3","-3"
"17892","-3","-3","-3"
"18199","-3","-3","-3"
"18506","7","7","7"
"18610","-6","-6","-6"
"18790","-25","-25","-25"
"19097","-4","-4","-4"
"19404","-23","-23","-23"
"19711","6","6","6"
"19803","-16","-16","-16"
"20110","-2","-2","-2"
"20417","0","0","0"
"20525","-25","-25","-25"
"20832","5","5","5"
"20951","-13","-13","-13"
"21057","-25","-25","-25"
"21364","3","3","3"
"21671","16","16","16"
"21978","13","13","13"
"22102","-11","-11","-11"
"22200","-33","-33","-33"
"22507","5","5","5"
"22814","0","0","0"
"23121","14","14","14"
"23428","22","22","22"
"23735","3","3","3"
"24042","0","0","0"
"24349","3","3","3"
"24656","-27","-27","-27"
"24963","4","4","4"
"25270","6","6","6"
"25577","-12","-12","-12"
"25884","-3","-3","-3"
"26191","9","9","9"
"26498","28","28","28"
"26805","6","6","6"
"27112","9","9","9"
"27419","7","7","7"
