"Step","SimpleQMIX_CNN_random_blox_schedule2__20241212_184144 - blue_player1_reward","SimpleQMIX_CNN_random_blox_schedule2__20241212_184144 - blue_player1_reward__MIN","SimpleQMIX_CNN_random_blox_schedule2__20241212_184144 - blue_player1_reward__MAX"
"272","4.179999999999988","4.179999999999988","4.179999999999988"
"579","5.679999999999982","5.679999999999982","5.679999999999982"
"886","5.499999999999973","5.499999999999973","5.499999999999973"
"1193","5.139999999999976","5.139999999999976","5.139999999999976"
"1500","4.549999999999985","4.549999999999985","4.549999999999985"
"1807","3.669999999999985","3.669999999999985","3.669999999999985"
"2114","5.079999999999979","5.079999999999979","5.079999999999979"
"2421","4.849999999999988","4.849999999999988","4.849999999999988"
"2728","4.389999999999984","4.389999999999984","4.389999999999984"
"3035","3.8599999999999897","3.8599999999999897","3.8599999999999897"
"3342","4.06999999999999","4.06999999999999","4.06999999999999"
"3649","5.209999999999974","5.209999999999974","5.209999999999974"
"3956","4.739999999999981","4.739999999999981","4.739999999999981"
"4263","4.189999999999986","4.189999999999986","4.189999999999986"
"4570","4.219999999999985","4.219999999999985","4.219999999999985"
"4877","4.269999999999986","4.269999999999986","4.269999999999986"
"5184","4.449999999999982","4.449999999999982","4.449999999999982"
"5491","4.459999999999983","4.459999999999983","4.459999999999983"
"5798","4.329999999999985","4.329999999999985","4.329999999999985"
"6105","4.549999999999982","4.549999999999982","4.549999999999982"
"6412","4.219999999999982","4.219999999999982","4.219999999999982"
"6719","4.119999999999988","4.119999999999988","4.119999999999988"
"7026","3.9099999999999904","3.9099999999999904","3.9099999999999904"
"7333","4.249999999999982","4.249999999999982","4.249999999999982"
"7640","4.209999999999983","4.209999999999983","4.209999999999983"
"7947","4.33999999999998","4.33999999999998","4.33999999999998"
"8254","4.399999999999987","4.399999999999987","4.399999999999987"
"8561","4.559999999999984","4.559999999999984","4.559999999999984"
"8868","4.549999999999985","4.549999999999985","4.549999999999985"
"9175","4.269999999999986","4.269999999999986","4.269999999999986"
"9482","4.70999999999998","4.70999999999998","4.70999999999998"
"9789","4.419999999999984","4.419999999999984","4.419999999999984"
"10096","4.459999999999986","4.459999999999986","4.459999999999986"
"10403","4.309999999999984","4.309999999999984","4.309999999999984"
"10710","4.789999999999978","4.789999999999978","4.789999999999978"
"11017","4.419999999999984","4.419999999999984","4.419999999999984"
"11324","4.819999999999982","4.819999999999982","4.819999999999982"
"11631","5.939999999999978","5.939999999999978","5.939999999999978"
"11938","4.749999999999978","4.749999999999978","4.749999999999978"
"12245","4.439999999999982","4.439999999999982","4.439999999999982"
"12552","4.589999999999979","4.589999999999979","4.589999999999979"
"12859","4.899999999999976","4.899999999999976","4.899999999999976"
"13166","4.469999999999984","4.469999999999984","4.469999999999984"
"13473","4.599999999999981","4.599999999999981","4.599999999999981"
"13780","4.339999999999985","4.339999999999985","4.339999999999985"
"14087","4.609999999999983","4.609999999999983","4.609999999999983"
"14394","4.439999999999983","4.439999999999983","4.439999999999983"
"14701","4.4099999999999815","4.4099999999999815","4.4099999999999815"
"15008","4.639999999999981","4.639999999999981","4.639999999999981"
