"Step","SimpleQMIX_CNN_random_blox_schedule2__20241212_184144 - lr","SimpleQMIX_CNN_random_blox_schedule2__20241212_184144 - lr__MIN","SimpleQMIX_CNN_random_blox_schedule2__20241212_184144 - lr__MAX"
"270","0.0000995","0.0000995","0.0000995"
"577","0.0000990025","0.0000990025","0.0000990025"
"884","0.0000985074875","0.0000985074875","0.0000985074875"
"1191","0.0000980149500625","0.0000980149500625","0.0000980149500625"
"1498","0.0000975248753121875","0.0000975248753121875","0.0000975248753121875"
"1805","0.00009703725093562657","0.00009703725093562657","0.00009703725093562657"
"2112","0.00009655206468094843","0.00009655206468094843","0.00009655206468094843"
"2419","0.00009606930435754369","0.00009606930435754369","0.00009606930435754369"
"2726","0.00009558895783575598","0.00009558895783575598","0.00009558895783575598"
"3033","0.0000951110130465772","0.0000951110130465772","0.0000951110130465772"
"3340","0.00009463545798134431","0.00009463545798134431","0.00009463545798134431"
"3647","0.00009416228069143759","0.00009416228069143759","0.00009416228069143759"
"3954","0.0000936914692879804","0.0000936914692879804","0.0000936914692879804"
"4261","0.0000932230119415405","0.0000932230119415405","0.0000932230119415405"
"4568","0.0000927568968818328","0.0000927568968818328","0.0000927568968818328"
"4875","0.00009229311239742364","0.00009229311239742364","0.00009229311239742364"
"5182","0.00009183164683543651","0.00009183164683543651","0.00009183164683543651"
"5489","0.00009137248860125932","0.00009137248860125932","0.00009137248860125932"
"5796","0.00009091562615825302","0.00009091562615825302","0.00009091562615825302"
"6103","0.00009046104802746175","0.00009046104802746175","0.00009046104802746175"
"6410","0.00009000874278732444","0.00009000874278732444","0.00009000874278732444"
"6717","0.00008955869907338781","0.00008955869907338781","0.00008955869907338781"
"7024","0.00008911090557802087","0.00008911090557802087","0.00008911090557802087"
"7331","0.00008866535105013077","0.00008866535105013077","0.00008866535105013077"
"7638","0.00008822202429488011","0.00008822202429488011","0.00008822202429488011"
"7945","0.0000877809141734057","0.0000877809141734057","0.0000877809141734057"
"8252","0.00008734200960253867","0.00008734200960253867","0.00008734200960253867"
"8559","0.00008690529955452598","0.00008690529955452598","0.00008690529955452598"
"8866","0.00008647077305675335","0.00008647077305675335","0.00008647077305675335"
"9173","0.00008603841919146959","0.00008603841919146959","0.00008603841919146959"
"9480","0.00008560822709551223","0.00008560822709551223","0.00008560822709551223"
"9787","0.00008518018596003468","0.00008518018596003468","0.00008518018596003468"
"10094","0.0000847542850302345","0.0000847542850302345","0.0000847542850302345"
"10401","0.00008433051360508334","0.00008433051360508334","0.00008433051360508334"
"10708","0.00008390886103705792","0.00008390886103705792","0.00008390886103705792"
"11015","0.00008348931673187264","0.00008348931673187264","0.00008348931673187264"
"11322","0.00008307187014821327","0.00008307187014821327","0.00008307187014821327"
"11629","0.00008265651079747221","0.00008265651079747221","0.00008265651079747221"
"11936","0.00008224322824348484","0.00008224322824348484","0.00008224322824348484"
"12243","0.00008183201210226742","0.00008183201210226742","0.00008183201210226742"
"12550","0.00008142285204175607","0.00008142285204175607","0.00008142285204175607"
"12857","0.00008101573778154729","0.00008101573778154729","0.00008101573778154729"
"13164","0.00008061065909263956","0.00008061065909263956","0.00008061065909263956"
"13471","0.00008020760579717637","0.00008020760579717637","0.00008020760579717637"
"13778","0.00007980656776819048","0.00007980656776819048","0.00007980656776819048"
"14085","0.00007940753492934953","0.00007940753492934953","0.00007940753492934953"
"14392","0.00007901049725470279","0.00007901049725470279","0.00007901049725470279"
"14699","0.00007861544476842927","0.00007861544476842927","0.00007861544476842927"
"15006","0.00007822236754458713","0.00007822236754458713","0.00007822236754458713"
"15313","0.00007783125570686419","0.00007783125570686419","0.00007783125570686419"
"15620","0.00007744209942832988","0.00007744209942832988","0.00007744209942832988"
"15927","0.00007705488893118823","0.00007705488893118823","0.00007705488893118823"
"16234","0.00007666961448653229","0.00007666961448653229","0.00007666961448653229"
"16541","0.00007628626641409962","0.00007628626641409962","0.00007628626641409962"
"16848","0.00007590483508202913","0.00007590483508202913","0.00007590483508202913"
"17155","0.00007552531090661899","0.00007552531090661899","0.00007552531090661899"
"17462","0.0000751476843520859","0.0000751476843520859","0.0000751476843520859"
"17769","0.00007477194593032546","0.00007477194593032546","0.00007477194593032546"
"18076","0.00007439808620067384","0.00007439808620067384","0.00007439808620067384"
"18383","0.00007402609576967047","0.00007402609576967047","0.00007402609576967047"
"18690","0.00007365596529082211","0.00007365596529082211","0.00007365596529082211"
"18997","0.000073287685464368","0.000073287685464368","0.000073287685464368"
"19304","0.00007292124703704616","0.00007292124703704616","0.00007292124703704616"
"19611","0.00007255664080186093","0.00007255664080186093","0.00007255664080186093"
"19918","0.00007219385759785163","0.00007219385759785163","0.00007219385759785163"
"20225","0.00007183288830986237","0.00007183288830986237","0.00007183288830986237"
"20532","0.00007147372386831305","0.00007147372386831305","0.00007147372386831305"
"20839","0.00007111635524897149","0.00007111635524897149","0.00007111635524897149"
"21146","0.00007076077347272663","0.00007076077347272663","0.00007076077347272663"
"21453","0.00007040696960536299","0.00007040696960536299","0.00007040696960536299"
"21760","0.00007005493475733617","0.00007005493475733617","0.00007005493475733617"
"22067","0.00006970466008354949","0.00006970466008354949","0.00006970466008354949"
"22374","0.00006935613678313174","0.00006935613678313174","0.00006935613678313174"
"22681","0.00006900935609921608","0.00006900935609921608","0.00006900935609921608"
"22988","0.00006866430931871999","0.00006866430931871999","0.00006866430931871999"
"23295","0.00006832098777212639","0.00006832098777212639","0.00006832098777212639"
"23602","0.00006797938283326576","0.00006797938283326576","0.00006797938283326576"
"23909","0.00006763948591909943","0.00006763948591909943","0.00006763948591909943"
"24216","0.00006730128848950393","0.00006730128848950393","0.00006730128848950393"
"24523","0.00006696478204705642","0.00006696478204705642","0.00006696478204705642"
"24830","0.00006662995813682113","0.00006662995813682113","0.00006662995813682113"
"25137","0.00006629680834613703","0.00006629680834613703","0.00006629680834613703"
"25444","0.00006596532430440635","0.00006596532430440635","0.00006596532430440635"
"25751","0.00006563549768288432","0.00006563549768288432","0.00006563549768288432"
"26058","0.0000653073201944699","0.0000653073201944699","0.0000653073201944699"
"26365","0.00006498078359349755","0.00006498078359349755","0.00006498078359349755"
"26672","0.00006465587967553006","0.00006465587967553006","0.00006465587967553006"
"26979","0.00006433260027715241","0.00006433260027715241","0.00006433260027715241"
"27286","0.00006401093727576665","0.00006401093727576665","0.00006401093727576665"
"27593","0.00006369088258938781","0.00006369088258938781","0.00006369088258938781"
"27900","0.00006337242817644088","0.00006337242817644088","0.00006337242817644088"
"28207","0.00006305556603555867","0.00006305556603555867","0.00006305556603555867"
"28514","0.00006274028820538088","0.00006274028820538088","0.00006274028820538088"
"28821","0.00006242658676435397","0.00006242658676435397","0.00006242658676435397"
"29128","0.0000621144538305322","0.0000621144538305322","0.0000621144538305322"
"29435","0.00006180388156137954","0.00006180388156137954","0.00006180388156137954"
"29742","0.00006149486215357263","0.00006149486215357263","0.00006149486215357263"
"30049","0.00006118738784280477","0.00006118738784280477","0.00006118738784280477"
"30356","0.000060881450903590746","0.000060881450903590746","0.000060881450903590746"
"30663","0.00006057704364907279","0.00006057704364907279","0.00006057704364907279"
"30970","0.00006027415843082743","0.00006027415843082743","0.00006027415843082743"
"31277","0.00005997278763867329","0.00005997278763867329","0.00005997278763867329"
"31584","0.00005967292370047992","0.00005967292370047992","0.00005967292370047992"
"31891","0.00005937455908197752","0.00005937455908197752","0.00005937455908197752"
"32198","0.00005907768628656764","0.00005907768628656764","0.00005907768628656764"
"32505","0.0000587822978551348","0.0000587822978551348","0.0000587822978551348"
"32812","0.00005848838636585912","0.00005848838636585912","0.00005848838636585912"
"33119","0.00005819594443402982","0.00005819594443402982","0.00005819594443402982"
"33426","0.00005790496471185967","0.00005790496471185967","0.00005790496471185967"
"33733","0.000057615439888300376","0.000057615439888300376","0.000057615439888300376"
"34040","0.000057327362688858874","0.000057327362688858874","0.000057327362688858874"
"34347","0.00005704072587541458","0.00005704072587541458","0.00005704072587541458"
"34654","0.00005675552224603751","0.00005675552224603751","0.00005675552224603751"
"34961","0.00005647174463480732","0.00005647174463480732","0.00005647174463480732"
"35268","0.000056189385911633284","0.000056189385911633284","0.000056189385911633284"
"35575","0.00005590843898207512","0.00005590843898207512","0.00005590843898207512"
"35882","0.00005562889678716474","0.00005562889678716474","0.00005562889678716474"
"36189","0.00005535075230322892","0.00005535075230322892","0.00005535075230322892"
"36496","0.000055073998541712775","0.000055073998541712775","0.000055073998541712775"
"36803","0.00005479862854900421","0.00005479862854900421","0.00005479862854900421"
"37110","0.00005452463540625919","0.00005452463540625919","0.00005452463540625919"
"37417","0.0000542520122292279","0.0000542520122292279","0.0000542520122292279"
"37724","0.00005398075216808176","0.00005398075216808176","0.00005398075216808176"
"38031","0.00005371084840724135","0.00005371084840724135","0.00005371084840724135"
"38338","0.00005344229416520514","0.00005344229416520514","0.00005344229416520514"
"38645","0.000053175082694379114","0.000053175082694379114","0.000053175082694379114"
"38952","0.00005290920728090722","0.00005290920728090722","0.00005290920728090722"
"39259","0.00005264466124450268","0.00005264466124450268","0.00005264466124450268"
"39566","0.00005238143793828017","0.00005238143793828017","0.00005238143793828017"
"39873","0.00005211953074858877","0.00005211953074858877","0.00005211953074858877"
"40180","0.000051858933094845826","0.000051858933094845826","0.000051858933094845826"
"40487","0.000051599638429371596","0.000051599638429371596","0.000051599638429371596"
"40794","0.000051341640237224736","0.000051341640237224736","0.000051341640237224736"
