"Step","SimpleQMIX_everything_random_blox_gamma0.995_lr0.001_hidden64_target20__20241215_134149 - score","SimpleQMIX_everything_random_blox_gamma0.995_lr0.001_hidden64_target20__20241215_134149 - score__MIN","SimpleQMIX_everything_random_blox_gamma0.995_lr0.001_hidden64_target20__20241215_134149 - score__MAX"
"274","11","11","11"
"580","0","0","0"
"886","0","0","0"
"1192","0","0","0"
"1498","-3","-3","-3"
"1804","0","0","0"
"2110","-2","-2","-2"
"2416","0","0","0"
"2722","0","0","0"
"3028","0","0","0"
"3334","0","0","0"
"3640","0","0","0"
"3946","1","1","1"
"4252","0","0","0"
"4558","0","0","0"
"4864","0","0","0"
"5170","0","0","0"
"5476","0","0","0"
"5782","15","15","15"
"6088","1","1","1"
"6394","5","5","5"
"6700","5","5","5"
"7006","0","0","0"
"7312","6","6","6"
"7618","-5","-5","-5"
"7924","0","0","0"
"8230","0","0","0"
"8536","13","13","13"
"8842","4","4","4"
"9148","0","0","0"
"9454","0","0","0"
"9760","0","0","0"
"10066","13","13","13"
"10372","16","16","16"
"10678","1","1","1"
"10984","5","5","5"
"11290","0","0","0"
"11596","0","0","0"
"11902","3","3","3"
"12208","0","0","0"
"12514","0","0","0"
"12820","0","0","0"
"13126","0","0","0"
"13432","4","4","4"
"13738","0","0","0"
"14044","3","3","3"
"14350","0","0","0"
"14656","0","0","0"
"14962","0","0","0"
"15268","12","12","12"
"15574","-6","-6","-6"
"15880","0","0","0"
"16186","0","0","0"
"16492","-4","-4","-4"
"16798","0","0","0"
"17104","0","0","0"
"17410","7","7","7"
"17716","8","8","8"
"18022","0","0","0"
"18328","0","0","0"
"18634","0","0","0"
"18940","5","5","5"
"19246","0","0","0"
"19552","0","0","0"
"19858","1","1","1"
"20164","1","1","1"
"20470","-2","-2","-2"
"20776","0","0","0"
"21082","1","1","1"
"21388","-1","-1","-1"
"21694","0","0","0"
"22000","-4","-4","-4"
"22306","6","6","6"
"22612","5","5","5"
"22918","3","3","3"
"23224","0","0","0"
"23530","0","0","0"
"23836","5","5","5"
"24142","0","0","0"
"24448","0","0","0"
"24754","0","0","0"
"25060","-6","-6","-6"
"25366","3","3","3"
"25672","0","0","0"
"25978","1","1","1"
"26284","1","1","1"
"26590","0","0","0"
"26896","11","11","11"
"27202","-3","-3","-3"
"27508","-19","-19","-19"
"27814","1","1","1"
"28120","0","0","0"
"28426","0","0","0"
"28732","0","0","0"
"29038","1","1","1"
"29344","0","0","0"
"29650","0","0","0"
"29956","3","3","3"
"30262","7","7","7"
"30568","6","6","6"
"30874","1","1","1"
"31180","-3","-3","-3"
"31486","8","8","8"
"31792","0","0","0"
"32098","4","4","4"
"32404","-1","-1","-1"
"32710","1","1","1"
"33016","0","0","0"
"33322","1","1","1"
"33628","3","3","3"
"33934","1","1","1"
"34240","0","0","0"
"34546","1","1","1"
"34852","0","0","0"
"35158","0","0","0"
"35464","0","0","0"
"35770","-1","-1","-1"
"36076","0","0","0"
"36382","0","0","0"
"36688","0","0","0"
"36994","4","4","4"
"37300","-11","-11","-11"
"37606","1","1","1"
"37912","4","4","4"
"38218","0","0","0"
"38524","0","0","0"
"38830","0","0","0"
"39136","0","0","0"
"39442","0","0","0"
"39748","0","0","0"
"40054","0","0","0"
"40360","5","5","5"
"40666","0","0","0"
"40972","0","0","0"
"41278","0","0","0"
"41584","1","1","1"
"41890","5","5","5"
"42196","0","0","0"
"42502","0","0","0"
"42808","3","3","3"
"43114","-4","-4","-4"
"43420","4","4","4"
"43726","3","3","3"
"44032","-8","-8","-8"
"44338","1","1","1"
"44644","-1","-1","-1"
"44950","3","3","3"
"45256","0","0","0"
"45562","6","6","6"
"45868","4","4","4"
"46174","4","4","4"
"46480","1","1","1"
"46786","0","0","0"
"47092","2","2","2"
"47398","7","7","7"
"47704","0","0","0"
"48010","0","0","0"
"48316","4","4","4"
"48622","13","13","13"
"48928","9","9","9"
"49234","8","8","8"
"49540","9","9","9"
"49846","9","9","9"
"50152","14","14","14"
"50458","13","13","13"
"50764","0","0","0"
"51070","3","3","3"
"51376","7","7","7"
"51682","6","6","6"
"51988","5","5","5"
"52294","0","0","0"
"52600","3","3","3"
"52906","15","15","15"
"53212","14","14","14"
"53518","3","3","3"
"53824","13","13","13"
"54130","3","3","3"
"54436","0","0","0"
"54742","-4","-4","-4"
"55048","-3","-3","-3"
"55354","0","0","0"
"55660","18","18","18"
"55966","8","8","8"
"56272","3","3","3"
"56578","11","11","11"
"56884","0","0","0"
"57190","3","3","3"
"57496","10","10","10"
"57802","10","10","10"
"58108","7","7","7"
"58414","10","10","10"
"58720","-2","-2","-2"
"59026","-2","-2","-2"
"59332","4","4","4"
"59638","9","9","9"
"59944","5","5","5"
"60250","6","6","6"
"60556","10","10","10"
"60862","9","9","9"
"61168","6","6","6"
