"Step","Self_play_Qmix__20241211_193728 - blue_player1_reward","Self_play_Qmix__20241211_193728 - blue_player1_reward__MIN","Self_play_Qmix__20241211_193728 - blue_player1_reward__MAX"
"287","4.239999999999984","4.239999999999984","4.239999999999984"
"593","3.9899999999999896","3.9899999999999896","3.9899999999999896"
"899","3.929999999999987","3.929999999999987","3.929999999999987"
"1205","3.899999999999989","3.899999999999989","3.899999999999989"
"1511","4.139999999999984","4.139999999999984","4.139999999999984"
"1817","4.299999999999984","4.299999999999984","4.299999999999984"
"2123","4.2099999999999875","4.2099999999999875","4.2099999999999875"
"2429","4.019999999999989","4.019999999999989","4.019999999999989"
"2735","4.119999999999987","4.119999999999987","4.119999999999987"
"3041","4.639999999999979","4.639999999999979","4.639999999999979"
"3347","4.179999999999983","4.179999999999983","4.179999999999983"
"3653","4.389999999999986","4.389999999999986","4.389999999999986"
"3959","4.3399999999999865","4.3399999999999865","4.3399999999999865"
"4265","4.369999999999984","4.369999999999984","4.369999999999984"
"4571","4.219999999999987","4.219999999999987","4.219999999999987"
"4877","4.259999999999983","4.259999999999983","4.259999999999983"
"5183","4.009999999999991","4.009999999999991","4.009999999999991"
"5489","4.309999999999981","4.309999999999981","4.309999999999981"
"5795","4.259999999999984","4.259999999999984","4.259999999999984"
"6101","4.389999999999982","4.389999999999982","4.389999999999982"
"6407","3.9599999999999884","3.9599999999999884","3.9599999999999884"
"6713","4.689999999999978","4.689999999999978","4.689999999999978"
"7019","4.129999999999988","4.129999999999988","4.129999999999988"
"7325","4.49999999999998","4.49999999999998","4.49999999999998"
"7631","4.359999999999984","4.359999999999984","4.359999999999984"
"7937","4.409999999999986","4.409999999999986","4.409999999999986"
"8243","4.469999999999983","4.469999999999983","4.469999999999983"
"8549","4.50999999999998","4.50999999999998","4.50999999999998"
"8855","4.399999999999983","4.399999999999983","4.399999999999983"
"9161","4.65999999999998","4.65999999999998","4.65999999999998"
"9467","4.329999999999986","4.329999999999986","4.329999999999986"
"9773","4.50999999999998","4.50999999999998","4.50999999999998"
"10079","4.529999999999982","4.529999999999982","4.529999999999982"
"10385","4.7899999999999805","4.7899999999999805","4.7899999999999805"
"10691","4.549999999999984","4.549999999999984","4.549999999999984"
"10997","4.66999999999998","4.66999999999998","4.66999999999998"
"11303","4.459999999999985","4.459999999999985","4.459999999999985"
"11609","4.639999999999982","4.639999999999982","4.639999999999982"
"11915","4.399999999999982","4.399999999999982","4.399999999999982"
"12221","4.519999999999984","4.519999999999984","4.519999999999984"
"12527","4.499999999999983","4.499999999999983","4.499999999999983"
"12833","4.329999999999982","4.329999999999982","4.329999999999982"
"13139","4.399999999999983","4.399999999999983","4.399999999999983"
"13445","4.599999999999979","4.599999999999979","4.599999999999979"
"13751","4.579999999999983","4.579999999999983","4.579999999999983"
"14057","4.59999999999998","4.59999999999998","4.59999999999998"
"14363","4.759999999999978","4.759999999999978","4.759999999999978"
"14669","4.479999999999982","4.479999999999982","4.479999999999982"
"14975","5.8799999999999795","5.8799999999999795","5.8799999999999795"
"15281","4.529999999999981","4.529999999999981","4.529999999999981"
"15587","4.749999999999979","4.749999999999979","4.749999999999979"
"15893","4.329999999999982","4.329999999999982","4.329999999999982"
"16199","4.539999999999983","4.539999999999983","4.539999999999983"
"16505","4.66999999999998","4.66999999999998","4.66999999999998"
"16811","4.959999999999976","4.959999999999976","4.959999999999976"
"17117","4.649999999999978","4.649999999999978","4.649999999999978"
"17423","4.509999999999981","4.509999999999981","4.509999999999981"
"17729","4.439999999999982","4.439999999999982","4.439999999999982"
"18035","4.589999999999979","4.589999999999979","4.589999999999979"
