"Step","Self_play_Qmix__20241211_193728 - score","Self_play_Qmix__20241211_193728 - score__MIN","Self_play_Qmix__20241211_193728 - score__MAX"
"86888","0","0","0"
"87194","0","0","0"
"87500","0","0","0"
"87806","0","0","0"
"88112","0","0","0"
"88418","0","0","0"
"88724","0","0","0"
"89030","0","0","0"
"89336","0","0","0"
"89642","0","0","0"
"89948","0","0","0"
"90254","0","0","0"
"90560","0","0","0"
"90866","0","0","0"
"91172","0","0","0"
"91478","0","0","0"
"91784","0","0","0"
"92090","0","0","0"
"92396","0","0","0"
"92702","0","0","0"
"93008","0","0","0"
"93314","0","0","0"
"93620","0","0","0"
"93926","0","0","0"
"94232","0","0","0"
"94538","0","0","0"
"94844","0","0","0"
"95150","0","0","0"
"95456","0","0","0"
"95762","0","0","0"
"96068","0","0","0"
"96374","0","0","0"
"96680","0","0","0"
"96986","0","0","0"
"97292","0","0","0"
"97598","0","0","0"
"97904","0","0","0"
"98210","0","0","0"
"98516","0","0","0"
"98822","0","0","0"
"99128","0","0","0"
"99434","0","0","0"
"99740","0","0","0"
"100046","0","0","0"
"100352","0","0","0"
"100658","0","0","0"
"100964","0","0","0"
"101270","0","0","0"
"101576","0","0","0"
"101882","0","0","0"
"102188","0","0","0"
"102494","0","0","0"
"102800","0","0","0"
"103106","0","0","0"
"103412","0","0","0"
"103718","0","0","0"
"104024","0","0","0"
"104330","0","0","0"
"104636","0","0","0"
"104942","0","0","0"
"105248","0","0","0"
"105554","0","0","0"
"105860","0","0","0"
"106166","0","0","0"
"106472","0","0","0"
"106778","0","0","0"
"107084","0","0","0"
"107390","0","0","0"
"107696","0","0","0"
"108002","0","0","0"
"108308","0","0","0"
"108614","0","0","0"
"108920","0","0","0"
"109226","0","0","0"
"109532","0","0","0"
"109838","0","0","0"
"110144","0","0","0"
"110450","0","0","0"
"110756","0","0","0"
"111062","0","0","0"
"111368","0","0","0"
"111674","0","0","0"
"111980","0","0","0"
"112286","0","0","0"
"112592","0","0","0"
"112898","0","0","0"
"113204","0","0","0"
"113510","0","0","0"
"113816","0","0","0"
"114122","0","0","0"
"114428","0","0","0"
"114734","0","0","0"
"115040","0","0","0"
"115346","0","0","0"
"115652","0","0","0"
"115958","0","0","0"
"116264","0","0","0"
"116570","0","0","0"
"116876","0","0","0"
"117182","0","0","0"
"117488","0","0","0"
"117794","0","0","0"
"118100","0","0","0"
"118406","0","0","0"
"118712","0","0","0"
"119018","0","0","0"
"119324","0","0","0"
"119630","0","0","0"
"119936","0","0","0"
"120242","0","0","0"
"120548","0","0","0"
"120854","0","0","0"
"121160","0","0","0"
"121466","0","0","0"
"121772","0","0","0"
"122078","0","0","0"
"122384","0","0","0"
